<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IVL-JittaLine,20070101,3.0686,3.0686,3.0686,3.0686,null
IVL-JittaLine,20070201,3.1402,3.1402,3.1402,3.1402,null
IVL-JittaLine,20070301,3.2118,3.2118,3.2118,3.2118,null
IVL-JittaLine,20070401,3.2833,3.2833,3.2833,3.2833,null
IVL-JittaLine,20070501,3.3549,3.3549,3.3549,3.3549,null
IVL-JittaLine,20070601,3.4265,3.4265,3.4265,3.4265,null
IVL-JittaLine,20070701,3.4981,3.4981,3.4981,3.4981,null
IVL-JittaLine,20070801,3.5696,3.5696,3.5696,3.5696,null
IVL-JittaLine,20070901,3.6412,3.6412,3.6412,3.6412,null
IVL-JittaLine,20071001,3.7128,3.7128,3.7128,3.7128,null
IVL-JittaLine,20071101,3.7844,3.7844,3.7844,3.7844,null
IVL-JittaLine,20071201,3.8559,3.8559,3.8559,3.8559,null
IVL-JittaLine,20080101,4.5089,4.5089,4.5089,4.5089,null
IVL-JittaLine,20080201,5.1619,5.1619,5.1619,5.1619,null
IVL-JittaLine,20080301,5.8148,5.8148,5.8148,5.8148,null
IVL-JittaLine,20080401,6.4678,6.4678,6.4678,6.4678,null
IVL-JittaLine,20080501,7.1208,7.1208,7.1208,7.1208,null
IVL-JittaLine,20080601,7.7738,7.7738,7.7738,7.7738,null
IVL-JittaLine,20080701,8.4267,8.4267,8.4267,8.4267,null
IVL-JittaLine,20080801,9.0797,9.0797,9.0797,9.0797,null
IVL-JittaLine,20080901,9.7327,9.7327,9.7327,9.7327,null
IVL-JittaLine,20081001,10.3857,10.3857,10.3857,10.3857,null
IVL-JittaLine,20081101,11.0386,11.0386,11.0386,11.0386,null
IVL-JittaLine,20081201,11.6916,11.6916,11.6916,11.6916,null
IVL-JittaLine,20090101,12.9974,12.9974,12.9974,12.9974,null
IVL-JittaLine,20090201,14.3032,14.3032,14.3032,14.3032,null
IVL-JittaLine,20090301,15.609,15.609,15.609,15.609,null
IVL-JittaLine,20090401,16.9148,16.9148,16.9148,16.9148,null
IVL-JittaLine,20090501,18.2206,18.2206,18.2206,18.2206,null
IVL-JittaLine,20090601,19.5264,19.5264,19.5264,19.5264,null
IVL-JittaLine,20090701,20.8321,20.8321,20.8321,20.8321,null
IVL-JittaLine,20090801,22.1379,22.1379,22.1379,22.1379,null
IVL-JittaLine,20090901,23.4437,23.4437,23.4437,23.4437,null
IVL-JittaLine,20091001,24.7495,24.7495,24.7495,24.7495,null
IVL-JittaLine,20091101,26.0553,26.0553,26.0553,26.0553,null
IVL-JittaLine,20091201,27.3611,27.3611,27.3611,27.3611,null
IVL-JittaLine,20100101,29.0644,29.0644,29.0644,29.0644,null
IVL-JittaLine,20100201,30.7677,30.7677,30.7677,30.7677,null
IVL-JittaLine,20100301,32.471,32.471,32.471,32.471,null
IVL-JittaLine,20100401,34.1743,34.1743,34.1743,34.1743,null
IVL-JittaLine,20100501,35.8776,35.8776,35.8776,35.8776,null
IVL-JittaLine,20100601,37.5809,37.5809,37.5809,37.5809,null
IVL-JittaLine,20100701,39.2842,39.2842,39.2842,39.2842,null
IVL-JittaLine,20100801,40.9875,40.9875,40.9875,40.9875,null
IVL-JittaLine,20100901,42.6908,42.6908,42.6908,42.6908,null
IVL-JittaLine,20101001,44.3941,44.3941,44.3941,44.3941,null
IVL-JittaLine,20101101,46.0973,46.0973,46.0973,46.0973,null
IVL-JittaLine,20101201,47.8006,47.8006,47.8006,47.8006,null
IVL-JittaLine,20110101,49.039,49.039,49.039,49.039,null
IVL-JittaLine,20110201,50.2774,50.2774,50.2774,50.2774,null
IVL-JittaLine,20110301,51.5157,51.5157,51.5157,51.5157,null
IVL-JittaLine,20110401,52.7541,52.7541,52.7541,52.7541,null
IVL-JittaLine,20110501,53.9925,53.9925,53.9925,53.9925,null
IVL-JittaLine,20110601,55.2308,55.2308,55.2308,55.2308,null
IVL-JittaLine,20110701,56.4692,56.4692,56.4692,56.4692,null
IVL-JittaLine,20110801,57.7076,57.7076,57.7076,57.7076,null
IVL-JittaLine,20110901,58.9459,58.9459,58.9459,58.9459,null
IVL-JittaLine,20111001,60.1843,60.1843,60.1843,60.1843,null
IVL-JittaLine,20111101,61.4226,61.4226,61.4226,61.4226,null
IVL-JittaLine,20111201,62.661,62.661,62.661,62.661,null
IVL-JittaLine,20120101,58.9469,58.9469,58.9469,58.9469,null
IVL-JittaLine,20120201,55.2328,55.2328,55.2328,55.2328,null
IVL-JittaLine,20120301,51.5187,51.5187,51.5187,51.5187,null
IVL-JittaLine,20120401,47.8046,47.8046,47.8046,47.8046,null
IVL-JittaLine,20120501,44.0905,44.0905,44.0905,44.0905,null
IVL-JittaLine,20120601,40.3764,40.3764,40.3764,40.3764,null
IVL-JittaLine,20120701,36.6623,36.6623,36.6623,36.6623,null
IVL-JittaLine,20120801,32.9483,32.9483,32.9483,32.9483,null
IVL-JittaLine,20120901,29.2342,29.2342,29.2342,29.2342,null
IVL-JittaLine,20121001,25.5201,25.5201,25.5201,25.5201,null
IVL-JittaLine,20121101,21.806,21.806,21.806,21.806,null
IVL-JittaLine,20121201,18.0919,18.0919,18.0919,18.0919,null
IVL-JittaLine,20130101,18.1789,18.1789,18.1789,18.1789,null
IVL-JittaLine,20130201,18.2658,18.2658,18.2658,18.2658,null
IVL-JittaLine,20130301,18.3528,18.3528,18.3528,18.3528,null
IVL-JittaLine,20130401,18.4398,18.4398,18.4398,18.4398,null
IVL-JittaLine,20130501,18.5268,18.5268,18.5268,18.5268,null
IVL-JittaLine,20130601,18.6137,18.6137,18.6137,18.6137,null
IVL-JittaLine,20130701,18.7007,18.7007,18.7007,18.7007,null
IVL-JittaLine,20130801,18.7877,18.7877,18.7877,18.7877,null
IVL-JittaLine,20130901,18.8747,18.8747,18.8747,18.8747,null
IVL-JittaLine,20131001,18.9617,18.9617,18.9617,18.9617,null
IVL-JittaLine,20131101,19.0486,19.0486,19.0486,19.0486,null
IVL-JittaLine,20131201,19.1356,19.1356,19.1356,19.1356,null
IVL-JittaLine,20140101,18.1495,18.1495,18.1495,18.1495,null
IVL-JittaLine,20140201,17.1633,17.1633,17.1633,17.1633,null
IVL-JittaLine,20140301,16.1772,16.1772,16.1772,16.1772,null
IVL-JittaLine,20140401,15.191,15.191,15.191,15.191,null
IVL-JittaLine,20140501,14.2049,14.2049,14.2049,14.2049,null
IVL-JittaLine,20140601,13.2187,13.2187,13.2187,13.2187,null
IVL-JittaLine,20140701,12.2326,12.2326,12.2326,12.2326,null
IVL-JittaLine,20140801,11.2464,11.2464,11.2464,11.2464,null
IVL-JittaLine,20140901,10.2603,10.2603,10.2603,10.2603,null
IVL-JittaLine,20141001,9.2741,9.2741,9.2741,9.2741,null
IVL-JittaLine,20141101,8.288,8.288,8.288,8.288,null
IVL-JittaLine,20141201,7.3018,7.3018,7.3018,7.3018,null
IVL-JittaLine,20150101,7.5795,7.5795,7.5795,7.5795,null
IVL-JittaLine,20150201,7.8571,7.8571,7.8571,7.8571,null
IVL-JittaLine,20150301,8.1348,8.1348,8.1348,8.1348,null
IVL-JittaLine,20150401,8.4124,8.4124,8.4124,8.4124,null
IVL-JittaLine,20150501,8.6901,8.6901,8.6901,8.6901,null
IVL-JittaLine,20150601,8.9677,8.9677,8.9677,8.9677,null
