<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
JUTHA-JittaLine,20061201,32.9964,32.9964,32.9964,32.9964,null
JUTHA-JittaLine,20070101,31.8534,31.8534,31.8534,31.8534,null
JUTHA-JittaLine,20070201,30.7105,30.7105,30.7105,30.7105,null
JUTHA-JittaLine,20070301,29.5675,29.5675,29.5675,29.5675,null
JUTHA-JittaLine,20070401,28.4245,28.4245,28.4245,28.4245,null
JUTHA-JittaLine,20070501,27.2815,27.2815,27.2815,27.2815,null
JUTHA-JittaLine,20070601,26.1385,26.1385,26.1385,26.1385,null
JUTHA-JittaLine,20070701,24.9955,24.9955,24.9955,24.9955,null
JUTHA-JittaLine,20070801,23.8525,23.8525,23.8525,23.8525,null
JUTHA-JittaLine,20070901,22.7095,22.7095,22.7095,22.7095,null
JUTHA-JittaLine,20071001,21.5665,21.5665,21.5665,21.5665,null
JUTHA-JittaLine,20071101,20.4236,20.4236,20.4236,20.4236,null
JUTHA-JittaLine,20071201,19.2806,19.2806,19.2806,19.2806,null
JUTHA-JittaLine,20080101,20.4304,20.4304,20.4304,20.4304,null
JUTHA-JittaLine,20080201,21.5802,21.5802,21.5802,21.5802,null
JUTHA-JittaLine,20080301,22.73,22.73,22.73,22.73,null
JUTHA-JittaLine,20080401,23.8798,23.8798,23.8798,23.8798,null
JUTHA-JittaLine,20080501,25.0295,25.0295,25.0295,25.0295,null
JUTHA-JittaLine,20080601,26.1793,26.1793,26.1793,26.1793,null
JUTHA-JittaLine,20080701,27.3291,27.3291,27.3291,27.3291,null
JUTHA-JittaLine,20080801,28.4789,28.4789,28.4789,28.4789,null
JUTHA-JittaLine,20080901,29.6287,29.6287,29.6287,29.6287,null
JUTHA-JittaLine,20081001,30.7785,30.7785,30.7785,30.7785,null
JUTHA-JittaLine,20081101,31.9283,31.9283,31.9283,31.9283,null
JUTHA-JittaLine,20081201,33.0781,33.0781,33.0781,33.0781,null
JUTHA-JittaLine,20090101,32.6329,32.6329,32.6329,32.6329,null
JUTHA-JittaLine,20090201,32.1877,32.1877,32.1877,32.1877,null
JUTHA-JittaLine,20090301,31.7424,31.7424,31.7424,31.7424,null
JUTHA-JittaLine,20090401,31.2972,31.2972,31.2972,31.2972,null
JUTHA-JittaLine,20090501,30.852,30.852,30.852,30.852,null
JUTHA-JittaLine,20090601,30.4068,30.4068,30.4068,30.4068,null
JUTHA-JittaLine,20090701,29.9615,29.9615,29.9615,29.9615,null
JUTHA-JittaLine,20090801,29.5163,29.5163,29.5163,29.5163,null
JUTHA-JittaLine,20090901,29.0711,29.0711,29.0711,29.0711,null
JUTHA-JittaLine,20091001,28.6259,28.6259,28.6259,28.6259,null
JUTHA-JittaLine,20091101,28.1806,28.1806,28.1806,28.1806,null
JUTHA-JittaLine,20091201,27.7354,27.7354,27.7354,27.7354,null
JUTHA-JittaLine,20100101,28.2214,28.2214,28.2214,28.2214,null
JUTHA-JittaLine,20100201,28.7074,28.7074,28.7074,28.7074,null
JUTHA-JittaLine,20100301,29.1934,29.1934,29.1934,29.1934,null
JUTHA-JittaLine,20100401,29.6794,29.6794,29.6794,29.6794,null
