<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
JUTHA-JittaScore,20061201,2.75,2.75,2.75,2.75,null
JUTHA-JittaScore,20070101,2.75,2.75,2.75,2.75,null
JUTHA-JittaScore,20070201,2.75,2.75,2.75,2.75,null
JUTHA-JittaScore,20070301,2.75,2.75,2.75,2.75,null
JUTHA-JittaScore,20070401,2.85,2.85,2.85,2.85,null
JUTHA-JittaScore,20070501,2.85,2.85,2.85,2.85,null
JUTHA-JittaScore,20070601,2.85,2.85,2.85,2.85,null
JUTHA-JittaScore,20070701,2.95,2.95,2.95,2.95,null
JUTHA-JittaScore,20070801,2.95,2.95,2.95,2.95,null
JUTHA-JittaScore,20070901,2.95,2.95,2.95,2.95,null
JUTHA-JittaScore,20071001,2.85,2.85,2.85,2.85,null
JUTHA-JittaScore,20071101,2.85,2.85,2.85,2.85,null
JUTHA-JittaScore,20071201,2.85,2.85,2.85,2.85,null
JUTHA-JittaScore,20080101,0.70,0.70,0.70,0.70,null
JUTHA-JittaScore,20080201,0.70,0.70,0.70,0.70,null
JUTHA-JittaScore,20080301,0.70,0.70,0.70,0.70,null
JUTHA-JittaScore,20080401,0.57,0.57,0.57,0.57,null
JUTHA-JittaScore,20080501,0.57,0.57,0.57,0.57,null
JUTHA-JittaScore,20080601,0.57,0.57,0.57,0.57,null
JUTHA-JittaScore,20080701,0.45,0.45,0.45,0.45,null
JUTHA-JittaScore,20080801,0.45,0.45,0.45,0.45,null
JUTHA-JittaScore,20080901,0.45,0.45,0.45,0.45,null
JUTHA-JittaScore,20081001,0.45,0.45,0.45,0.45,null
JUTHA-JittaScore,20081101,0.45,0.45,0.45,0.45,null
JUTHA-JittaScore,20081201,0.45,0.45,0.45,0.45,null
JUTHA-JittaScore,20090101,1.95,1.95,1.95,1.95,null
JUTHA-JittaScore,20090201,1.95,1.95,1.95,1.95,null
JUTHA-JittaScore,20090301,1.95,1.95,1.95,1.95,null
JUTHA-JittaScore,20090401,1.55,1.55,1.55,1.55,null
JUTHA-JittaScore,20090501,1.55,1.55,1.55,1.55,null
JUTHA-JittaScore,20090601,1.55,1.55,1.55,1.55,null
JUTHA-JittaScore,20090701,1.63,1.63,1.63,1.63,null
JUTHA-JittaScore,20090801,1.63,1.63,1.63,1.63,null
JUTHA-JittaScore,20090901,1.63,1.63,1.63,1.63,null
JUTHA-JittaScore,20091001,1.43,1.43,1.43,1.43,null
JUTHA-JittaScore,20091101,1.43,1.43,1.43,1.43,null
JUTHA-JittaScore,20091201,1.43,1.43,1.43,1.43,null
JUTHA-JittaScore,20100101,0.42,0.42,0.42,0.42,null
JUTHA-JittaScore,20100201,0.42,0.42,0.42,0.42,null
JUTHA-JittaScore,20100301,0.42,0.42,0.42,0.42,null
JUTHA-JittaScore,20100401,0.30,0.30,0.30,0.30,null
JUTHA-JittaScore,20100501,0.30,0.30,0.30,0.30,null
JUTHA-JittaScore,20100601,0.30,0.30,0.30,0.30,null
JUTHA-JittaScore,20100701,0.01,0.01,0.01,0.01,null
JUTHA-JittaScore,20100801,0.01,0.01,0.01,0.01,null
JUTHA-JittaScore,20100901,0.01,0.01,0.01,0.01,null
