<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KAMART,20061201,0.75,0.75,0.75,0.75,5549541.89473684
KAMART,20070101,0.74,0.74,0.74,0.74,4141238.0952381
KAMART,20070201,0.72,0.72,0.72,0.72,9554760
KAMART,20070301,0.69,0.69,0.69,0.69,4876928.57142857
KAMART,20070401,0.70,0.70,0.70,0.70,1592972.22222222
KAMART,20070501,0.61,0.61,0.61,0.61,1622142.10526316
KAMART,20070601,0.63,0.63,0.63,0.63,3736252.38095238
KAMART,20070701,0.66,0.66,0.66,0.66,4518114.28571429
KAMART,20070801,0.57,0.57,0.57,0.57,1041247.61904762
KAMART,20070901,0.56,0.56,0.56,0.56,1634290
KAMART,20071001,0.50,0.50,0.50,0.50,1447009.09090909
KAMART,20071101,0.44,0.44,0.44,0.44,3035272.72727273
KAMART,20071201,0.46,0.46,0.46,0.46,2943294.11764706
KAMART,20080101,0.42,0.42,0.42,0.42,4219318.18181818
KAMART,20080201,0.47,0.47,0.47,0.47,4246115
KAMART,20080301,0.64,0.64,0.64,0.64,23424540
KAMART,20080401,0.96,0.96,0.96,0.96,78473184.2105263
KAMART,20080501,0.73,0.73,0.73,0.73,17938633.3333333
KAMART,20080601,0.80,0.80,0.80,0.80,19051023.8095238
KAMART,20080701,0.82,0.82,0.82,0.82,3449114.28571429
KAMART,20080801,0.57,0.57,0.57,0.57,26933194.7368421
KAMART,20080901,0.47,0.47,0.47,0.47,2147145.45454545
KAMART,20081001,0.28,0.28,0.28,0.28,1229054.54545455
KAMART,20081101,0.25,0.25,0.25,0.25,1176810
KAMART,20081201,0.27,0.27,0.27,0.27,706470
KAMART,20090101,0.32,0.32,0.32,0.32,3758650
KAMART,20090201,0.24,0.24,0.24,0.24,603642.10526316
KAMART,20090301,0.34,0.34,0.34,0.34,2857059.09090909
KAMART,20090401,0.36,0.36,0.36,0.36,3236127.77777778
KAMART,20090501,0.43,0.43,0.43,0.43,11798300
KAMART,20090601,0.40,0.40,0.40,0.40,6252945.45454545
KAMART,20090701,0.37,0.37,0.37,0.37,4974595
KAMART,20090801,0.35,0.35,0.35,0.35,3259945
KAMART,20090901,0.51,0.51,0.51,0.51,28762295.4545455
KAMART,20091001,0.48,0.48,0.48,0.48,13654661.9047619
KAMART,20091101,0.41,0.41,0.41,0.41,1857642.85714286
KAMART,20091201,0.45,0.45,0.45,0.45,2751165
KAMART,20100101,0.38,0.38,0.38,0.38,6202245
KAMART,20100201,0.39,0.39,0.39,0.39,819915
KAMART,20100301,0.34,0.34,0.34,0.34,2278700
KAMART,20100401,0.35,0.35,0.35,0.35,2105827.77777778
KAMART,20100501,0.34,0.34,0.34,0.34,3526906.25
KAMART,20100601,0.35,0.35,0.35,0.35,1289222.72727273
KAMART,20100701,0.48,0.48,0.48,0.48,12677450
KAMART,20100801,0.45,0.45,0.45,0.45,32503910
KAMART,20100901,0.44,0.44,0.44,0.44,2700404.54545455
KAMART,20101001,0.40,0.40,0.40,0.40,2136655
KAMART,20101101,0.42,0.42,0.42,0.42,4199995.45454545
KAMART,20101201,0.40,0.40,0.40,0.40,1795445
KAMART,20110101,0.36,0.36,0.36,0.36,1263395
KAMART,20110201,0.36,0.36,0.36,0.36,578005.2631579
KAMART,20110301,0.38,0.38,0.38,0.38,1354952.17391304
KAMART,20110401,0.41,0.41,0.41,0.41,3728511.76470588
KAMART,20110501,0.38,0.38,0.38,0.38,1791400
KAMART,20110601,0.92,0.92,0.92,0.92,94105522.7272727
KAMART,20110701,1.27,1.27,1.27,1.27,53319505.2631579
KAMART,20110801,2.28,2.28,2.28,2.28,35149940.9090909
KAMART,20110901,1.78,1.78,1.78,1.78,33340113.6363636
KAMART,20111001,1.79,1.79,1.79,1.79,9025775
KAMART,20111101,2.04,2.04,2.04,2.04,17150845.4545455
KAMART,20111201,3.84,3.84,3.84,3.84,58376515
KAMART,20120101,4.76,4.76,4.76,4.76,44481425
KAMART,20120201,5.20,5.20,5.20,5.20,27618580.952381
KAMART,20120301,4.70,4.70,4.70,4.70,13891971.4285714
KAMART,20120401,5.25,5.25,5.25,5.25,17108047.0588235
KAMART,20120501,4.64,4.64,4.64,4.64,10240038.0952381
KAMART,20120601,5.05,5.05,5.05,5.05,19729430
KAMART,20120701,6.95,6.95,6.95,6.95,23442104.5454545
KAMART,20120801,7.45,7.45,7.45,7.45,13577795.2380952
KAMART,20120901,7.30,7.30,7.30,7.30,8889800
KAMART,20121001,7.35,7.35,7.35,7.35,7112450
KAMART,20121101,7.30,7.30,7.30,7.30,4779690.90909091
KAMART,20121201,7.00,7.00,7.00,7.00,4624600
KAMART,20130101,7.35,7.35,7.35,7.35,6641968.18181818
KAMART,20130201,9.70,9.70,9.70,9.70,20788547.3684211
KAMART,20130301,10.30,10.30,10.30,10.30,23603909.5238095
KAMART,20130401,9.75,9.75,9.75,9.75,4010678.94736842
KAMART,20130501,9.30,9.30,9.30,9.30,3631980
KAMART,20130601,7.25,7.25,7.25,7.25,2111600
