<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KCM-JittaScore,20140701,4.20,4.20,4.20,4.20,null
KCM-JittaScore,20140801,4.20,4.20,4.20,4.20,null
KCM-JittaScore,20140901,4.20,4.20,4.20,4.20,null
KCM-JittaScore,20141001,4.20,4.20,4.20,4.20,null
KCM-JittaScore,20141101,4.20,4.20,4.20,4.20,null
KCM-JittaScore,20141201,4.20,4.20,4.20,4.20,null
KCM-JittaScore,20150101,1.15,1.15,1.15,1.15,null
KCM-JittaScore,20150201,1.15,1.15,1.15,1.15,null
KCM-JittaScore,20150301,1.15,1.15,1.15,1.15,null
KCM-JittaScore,20150401,1.02,1.02,1.02,1.02,null
KCM-JittaScore,20150501,1.02,1.02,1.02,1.02,null
KCM-JittaScore,20150601,1.02,1.02,1.02,1.02,null
KCM-JittaScore,20150701,1.02,1.02,1.02,1.02,null
KCM-JittaScore,20150801,1.02,1.02,1.02,1.02,null
KCM-JittaScore,20150901,1.02,1.02,1.02,1.02,null
KCM-JittaScore,20151001,1.65,1.65,1.65,1.65,null
KCM-JittaScore,20151101,1.65,1.65,1.65,1.65,null
KCM-JittaScore,20151201,1.65,1.65,1.65,1.65,null
KCM-JittaScore,20160101,0.95,0.95,0.95,0.95,null
KCM-JittaScore,20160201,0.95,0.95,0.95,0.95,null
KCM-JittaScore,20160301,0.95,0.95,0.95,0.95,null
KCM-JittaScore,20160401,0.95,0.95,0.95,0.95,null
KCM-JittaScore,20160501,0.95,0.95,0.95,0.95,null
KCM-JittaScore,20160601,0.95,0.95,0.95,0.95,null
