<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KTB-JittaLine,20061201,13.3697,13.3697,13.3697,13.3697,null
KTB-JittaLine,20070101,12.8826,12.8826,12.8826,12.8826,null
KTB-JittaLine,20070201,12.3956,12.3956,12.3956,12.3956,null
KTB-JittaLine,20070301,11.9085,11.9085,11.9085,11.9085,null
KTB-JittaLine,20070401,11.4215,11.4215,11.4215,11.4215,null
KTB-JittaLine,20070501,10.9344,10.9344,10.9344,10.9344,null
KTB-JittaLine,20070601,10.4474,10.4474,10.4474,10.4474,null
KTB-JittaLine,20070701,9.9603,9.9603,9.9603,9.9603,null
KTB-JittaLine,20070801,9.4733,9.4733,9.4733,9.4733,null
KTB-JittaLine,20070901,8.9862,8.9862,8.9862,8.9862,null
KTB-JittaLine,20071001,8.4992,8.4992,8.4992,8.4992,null
KTB-JittaLine,20071101,8.0121,8.0121,8.0121,8.0121,null
KTB-JittaLine,20071201,7.5251,7.5251,7.5251,7.5251,null
KTB-JittaLine,20080101,7.998,7.998,7.998,7.998,null
KTB-JittaLine,20080201,8.471,8.471,8.471,8.471,null
KTB-JittaLine,20080301,8.9439,8.9439,8.9439,8.9439,null
KTB-JittaLine,20080401,9.4169,9.4169,9.4169,9.4169,null
KTB-JittaLine,20080501,9.8898,9.8898,9.8898,9.8898,null
KTB-JittaLine,20080601,10.3628,10.3628,10.3628,10.3628,null
KTB-JittaLine,20080701,10.8358,10.8358,10.8358,10.8358,null
KTB-JittaLine,20080801,11.3087,11.3087,11.3087,11.3087,null
KTB-JittaLine,20080901,11.7817,11.7817,11.7817,11.7817,null
KTB-JittaLine,20081001,12.2546,12.2546,12.2546,12.2546,null
KTB-JittaLine,20081101,12.7276,12.7276,12.7276,12.7276,null
KTB-JittaLine,20081201,13.2005,13.2005,13.2005,13.2005,null
KTB-JittaLine,20090101,13.2089,13.2089,13.2089,13.2089,null
KTB-JittaLine,20090201,13.2172,13.2172,13.2172,13.2172,null
KTB-JittaLine,20090301,13.2255,13.2255,13.2255,13.2255,null
KTB-JittaLine,20090401,13.2338,13.2338,13.2338,13.2338,null
KTB-JittaLine,20090501,13.2421,13.2421,13.2421,13.2421,null
KTB-JittaLine,20090601,13.2504,13.2504,13.2504,13.2504,null
KTB-JittaLine,20090701,13.2588,13.2588,13.2588,13.2588,null
KTB-JittaLine,20090801,13.2671,13.2671,13.2671,13.2671,null
KTB-JittaLine,20090901,13.2754,13.2754,13.2754,13.2754,null
KTB-JittaLine,20091001,13.2837,13.2837,13.2837,13.2837,null
KTB-JittaLine,20091101,13.292,13.292,13.292,13.292,null
KTB-JittaLine,20091201,13.3004,13.3004,13.3004,13.3004,null
KTB-JittaLine,20100101,13.5221,13.5221,13.5221,13.5221,null
KTB-JittaLine,20100201,13.7438,13.7438,13.7438,13.7438,null
KTB-JittaLine,20100301,13.9655,13.9655,13.9655,13.9655,null
KTB-JittaLine,20100401,14.1872,14.1872,14.1872,14.1872,null
KTB-JittaLine,20100501,14.4089,14.4089,14.4089,14.4089,null
KTB-JittaLine,20100601,14.6306,14.6306,14.6306,14.6306,null
KTB-JittaLine,20100701,14.8523,14.8523,14.8523,14.8523,null
KTB-JittaLine,20100801,15.074,15.074,15.074,15.074,null
KTB-JittaLine,20100901,15.2958,15.2958,15.2958,15.2958,null
KTB-JittaLine,20101001,15.5175,15.5175,15.5175,15.5175,null
KTB-JittaLine,20101101,15.7392,15.7392,15.7392,15.7392,null
KTB-JittaLine,20101201,15.9609,15.9609,15.9609,15.9609,null
KTB-JittaLine,20110101,16.1356,16.1356,16.1356,16.1356,null
KTB-JittaLine,20110201,16.3103,16.3103,16.3103,16.3103,null
KTB-JittaLine,20110301,16.4851,16.4851,16.4851,16.4851,null
KTB-JittaLine,20110401,16.6598,16.6598,16.6598,16.6598,null
KTB-JittaLine,20110501,16.8345,16.8345,16.8345,16.8345,null
KTB-JittaLine,20110601,17.0093,17.0093,17.0093,17.0093,null
