<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KTIS-JittaScore,20140101,2.85,2.85,2.85,2.85,null
KTIS-JittaScore,20140201,2.85,2.85,2.85,2.85,null
KTIS-JittaScore,20140301,2.85,2.85,2.85,2.85,null
KTIS-JittaScore,20140401,2.73,2.73,2.73,2.73,null
KTIS-JittaScore,20140501,2.73,2.73,2.73,2.73,null
KTIS-JittaScore,20140601,2.73,2.73,2.73,2.73,null
KTIS-JittaScore,20140701,3.23,3.23,3.23,3.23,null
KTIS-JittaScore,20140801,3.23,3.23,3.23,3.23,null
KTIS-JittaScore,20140901,3.23,3.23,3.23,3.23,null
KTIS-JittaScore,20141001,5.08,5.08,5.08,5.08,null
KTIS-JittaScore,20141101,5.08,5.08,5.08,5.08,null
KTIS-JittaScore,20141201,5.08,5.08,5.08,5.08,null
KTIS-JittaScore,20150101,5.41,5.41,5.41,5.41,null
KTIS-JittaScore,20150201,5.41,5.41,5.41,5.41,null
KTIS-JittaScore,20150301,5.41,5.41,5.41,5.41,null
KTIS-JittaScore,20150401,5.11,5.11,5.11,5.11,null
KTIS-JittaScore,20150501,5.11,5.11,5.11,5.11,null
KTIS-JittaScore,20150601,5.11,5.11,5.11,5.11,null
KTIS-JittaScore,20150701,5.11,5.11,5.11,5.11,null
KTIS-JittaScore,20150801,5.11,5.11,5.11,5.11,null
KTIS-JittaScore,20150901,5.11,5.11,5.11,5.11,null
KTIS-JittaScore,20151001,3.84,3.84,3.84,3.84,null
KTIS-JittaScore,20151101,3.84,3.84,3.84,3.84,null
KTIS-JittaScore,20151201,3.84,3.84,3.84,3.84,null
KTIS-JittaScore,20160101,1.99,1.99,1.99,1.99,null
KTIS-JittaScore,20160201,1.99,1.99,1.99,1.99,null
KTIS-JittaScore,20160301,1.99,1.99,1.99,1.99,null
KTIS-JittaScore,20160401,1.99,1.99,1.99,1.99,null
KTIS-JittaScore,20160501,1.99,1.99,1.99,1.99,null
KTIS-JittaScore,20160601,1.99,1.99,1.99,1.99,null
