<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KTP,20061201,2.36,2.36,2.36,2.36,null
KTP,20070101,2.14,2.14,2.14,2.14,null
KTP,20070201,3.34,3.34,3.34,3.34,null
KTP,20070301,2.64,2.64,2.64,2.64,null
KTP,20070401,2.86,2.86,2.86,2.86,null
KTP,20070501,2.94,2.94,2.94,2.94,null
KTP,20070601,3.00,3.00,3.00,3.00,null
KTP,20070701,2.98,2.98,2.98,2.98,null
KTP,20070801,2.70,2.70,2.70,2.70,null
KTP,20070901,2.80,2.80,2.80,2.80,null
KTP,20071001,2.64,2.64,2.64,2.64,null
KTP,20071101,2.52,2.52,2.52,2.52,null
KTP,20071201,2.44,2.44,2.44,2.44,null
KTP,20080101,2.18,2.18,2.18,2.18,null
KTP,20080201,2.24,2.24,2.24,2.24,null
KTP,20080301,2.22,2.22,2.22,2.22,null
KTP,20080401,2.30,2.30,2.30,2.30,null
KTP,20080501,2.06,2.06,2.06,2.06,null
KTP,20080601,1.98,1.98,1.98,1.98,null
KTP,20080701,1.89,1.89,1.89,1.89,null
KTP,20080801,1.39,1.39,1.39,1.39,null
KTP,20080901,1.10,1.10,1.10,1.10,null
KTP,20081001,1.13,1.13,1.13,1.13,null
KTP,20081101,0.58,0.58,0.58,0.58,null
KTP,20081201,0.72,0.72,0.72,0.72,null
KTP,20090101,0.75,0.75,0.75,0.75,null
KTP,20090201,0.50,0.50,0.50,0.50,null
KTP,20090301,0.57,0.57,0.57,0.57,null
KTP,20090401,0.80,0.80,0.80,0.80,null
KTP,20090501,0.87,0.87,0.87,0.87,null
KTP,20090601,0.80,0.80,0.80,0.80,null
KTP,20090701,0.78,0.78,0.78,0.78,null
KTP,20090801,1.17,1.17,1.17,1.17,null
KTP,20090901,1.48,1.48,1.48,1.48,null
KTP,20091001,1.47,1.47,1.47,1.47,null
KTP,20091101,1.39,1.39,1.39,1.39,null
KTP,20091201,1.71,1.71,1.71,1.71,null
KTP,20100101,2.50,2.50,2.50,2.50,null
KTP,20100201,2.42,2.42,2.42,2.42,null
KTP,20100301,2.34,2.34,2.34,2.34,null
KTP,20100401,2.12,2.12,2.12,2.12,null
KTP,20100501,2.16,2.16,2.16,2.16,null
KTP,20100601,2.54,2.54,2.54,2.54,null
KTP,20100701,2.70,2.70,2.70,2.70,null
KTP,20100801,2.50,2.50,2.50,2.50,null
KTP,20100901,2.34,2.34,2.34,2.34,null
KTP,20101001,2.32,2.32,2.32,2.32,null
KTP,20101101,2.12,2.12,2.12,2.12,null
KTP,20101201,2.16,2.16,2.16,2.16,null
KTP,20110101,1.87,1.87,1.87,1.87,null
KTP,20110201,1.76,1.76,1.76,1.76,null
KTP,20110301,2.02,2.02,2.02,2.02,null
KTP,20110401,1.98,1.98,1.98,1.98,null
KTP,20110501,1.79,1.79,1.79,1.79,null
KTP,20110601,1.80,1.80,1.80,1.80,null
KTP,20110701,1.97,1.97,1.97,1.97,null
KTP,20110801,1.94,1.94,1.94,1.94,null
KTP,20110901,1.52,1.52,1.52,1.52,null
KTP,20111001,1.34,1.34,1.34,1.34,null
KTP,20111101,1.68,1.68,1.68,1.68,null
KTP,20111201,1.52,1.52,1.52,1.52,null
KTP,20120101,1.60,1.60,1.60,1.60,null
KTP,20120201,1.54,1.54,1.54,1.54,null
KTP,20120301,1.50,1.50,1.50,1.50,null
KTP,20120401,1.56,1.56,1.56,1.56,null
KTP,20120501,1.21,1.21,1.21,1.21,null
KTP,20120601,1.17,1.17,1.17,1.17,null
KTP,20120701,1.29,1.29,1.29,1.29,null
KTP,20120801,1.23,1.23,1.23,1.23,null
KTP,20120901,1.41,1.41,1.41,1.41,null
KTP,20121001,1.53,1.53,1.53,1.53,null
KTP,20121101,1.42,1.42,1.42,1.42,null
KTP,20121201,1.55,1.55,1.55,1.55,null
KTP,20130101,2.02,2.02,2.02,2.02,null
KTP,20130201,1.97,1.97,1.97,1.97,null
KTP,20130301,1.77,1.77,1.77,1.77,null
KTP,20130401,1.96,1.96,1.96,1.96,null
KTP,20130501,1.66,1.66,1.66,1.66,null
KTP,20130601,1.32,1.32,1.32,1.32,null
KTP,20130701,1.48,1.48,1.48,1.48,null
KTP,20130801,1.20,1.20,1.20,1.20,null
KTP,20130901,1.26,1.26,1.26,1.26,null
KTP,20131001,1.28,1.28,1.28,1.28,null
KTP,20131101,1.31,1.31,1.31,1.31,null
KTP,20131201,1.15,1.15,1.15,1.15,null
KTP,20140101,1.14,1.14,1.14,1.14,null
KTP,20140201,1.14,1.14,1.14,1.14,null
KTP,20140301,1.24,1.24,1.24,1.24,null
KTP,20140401,1.90,1.90,1.90,1.90,null
KTP,20140501,1.69,1.69,1.69,1.69,null
KTP,20140601,1.86,1.86,1.86,1.86,null
KTP,20140701,1.80,1.80,1.80,1.80,null
KTP,20140801,2.10,2.10,2.10,2.10,null
KTP,20140901,2.30,2.30,2.30,2.30,null
KTP,20141001,2.58,2.58,2.58,2.58,null
KTP,20141101,2.28,2.28,2.28,2.28,null
KTP,20141201,2.50,2.50,2.50,2.50,null
KTP,20150101,3.30,3.30,3.30,3.30,null
KTP,20150201,3.52,3.52,3.52,3.52,null
KTP,20150301,2.92,2.92,2.92,2.92,null
KTP,20150401,3.32,3.32,3.32,3.32,null
KTP,20150501,3.18,3.18,3.18,3.18,null
KTP,20150601,3.20,3.20,3.20,3.20,null
KTP,20150701,2.74,2.74,2.74,2.74,null
KTP,20150801,2.58,2.58,2.58,2.58,null
KTP,20150901,2.78,2.78,2.78,2.78,null
KTP,20151001,2.64,2.64,2.64,2.64,null
KTP,20151101,2.40,2.40,2.40,2.40,null
KTP,20151201,2.10,2.10,2.10,2.10,null
KTP,20160101,2.06,2.06,2.06,2.06,null
KTP,20160201,2.02,2.02,2.02,2.02,null
KTP,20160301,2.80,2.80,2.80,2.80,null
KTP,20160401,2.68,2.68,2.68,2.68,null
KTP,20160501,3.22,3.22,3.22,3.22,null
