<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
L&E,20061201,1.28630151,1.28630151,1.28630151,1.28630151,250067.23624453
L&E,20070101,1.24846912,1.24846912,1.24846912,1.24846912,74374.97875
L&E,20070201,1.37709927,1.37709927,1.37709927,1.37709927,673269.03840665
L&E,20070301,1.32413391,1.32413391,1.32413391,1.32413391,523254.9525394
L&E,20070401,1.33674471,1.33674471,1.33674471,1.33674471,163749.9532143
L&E,20070501,1.14127732,1.14127732,1.14127732,1.14127732,250907.07116941
L&E,20070601,1.17910972,1.17910972,1.17910972,1.17910972,160591.79085133
L&E,20070701,1.26107992,1.26107992,1.26107992,1.26107992,116602.00750147
L&E,20070801,1.09083413,1.09083413,1.09083413,1.09083413,227131.51405265
L&E,20070901,1.04669633,1.04669633,1.04669633,1.04669633,112571.39640817
L&E,20071001,1.11605573,1.11605573,1.11605573,1.11605573,219397.89649856
L&E,20071101,0.97103154,0.97103154,0.97103154,0.97103154,251999.92800002
L&E,20071201,1.00886393,1.00886393,1.00886393,1.00886393,81247.22953376
L&E,20080101,0.97733693,0.97733693,0.97733693,0.97733693,37406.2393125
L&E,20080201,0.98364233,0.98364233,0.98364233,0.98364233,261596.86403355
L&E,20080301,0.96472614,0.96472614,0.96472614,0.96472614,135338.30719657
L&E,20080401,1.03408553,1.03408553,1.03408553,1.03408553,52242.84221633
L&E,20080501,1.03408553,1.03408553,1.03408553,1.03408553,163035.66770409
L&E,20080601,1.00886393,1.00886393,1.00886393,1.00886393,275714.2069388
L&E,20080701,0.98364233,0.98364233,0.98364233,0.98364233,47755.0883965
L&E,20080801,1.00886393,1.00886393,1.00886393,1.00886393,34255.09225365
L&E,20080901,0.94580994,0.94580994,0.94580994,0.94580994,27642.8492449
L&E,20081001,0.76925875,0.76925875,0.76925875,0.76925875,52255.08711079
L&E,20081101,0.87014514,0.87014514,0.87014514,0.87014514,70874.97975001
L&E,20081201,0.90797754,0.90797754,0.90797754,0.90797754,2999.99914286
L&E,20090101,0.89536674,0.89536674,0.89536674,0.89536674,25553.56412755
L&E,20090201,0.88275594,0.88275594,0.88275594,0.88275594,4285.71306122
L&E,20090301,0.78817495,0.78817495,0.78817495,0.78817495,28735.70607551
L&E,20090401,0.89536674,0.89536674,0.89536674,0.89536674,25607.13554082
L&E,20090501,0.86383974,0.86383974,0.86383974,0.86383974,104825.8629069
L&E,20090601,0.84492354,0.84492354,0.84492354,0.84492354,21428.56530612
L&E,20090701,0.78817495,0.78817495,0.78817495,0.78817495,47691.95065944
L&E,20090801,0.75664795,0.75664795,0.75664795,0.75664795,170392.8084592
L&E,20090901,0.77556415,0.77556415,0.77556415,0.77556415,75171.40709388
L&E,20091001,0.73142635,0.73142635,0.73142635,0.73142635,339191.63241141
L&E,20091101,0.68098315,0.68098315,0.68098315,0.68098315,111948.94760642
L&E,20091201,0.69989935,0.69989935,0.69989935,0.69989935,118691.6954114
L&E,20100101,0.70620475,0.70620475,0.70620475,0.70620475,145227.23123378
L&E,20100201,0.70620475,0.70620475,0.70620475,0.70620475,108514.25471021
L&E,20100301,0.73142635,0.73142635,0.73142635,0.73142635,64102.02250146
L&E,20100401,0.74403715,0.74403715,0.74403715,0.74403715,48115.37086813
L&E,20100501,0.71881555,0.71881555,0.71881555,0.71881555,52961.52332967
