<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LEE,20061201,3.40,3.40,3.40,3.40,null
LEE,20070101,3.26,3.26,3.26,3.26,null
LEE,20070201,3.46,3.46,3.46,3.46,null
LEE,20070301,3.46,3.46,3.46,3.46,null
LEE,20070401,3.34,3.34,3.34,3.34,null
LEE,20070501,3.42,3.42,3.42,3.42,null
LEE,20070601,3.62,3.62,3.62,3.62,null
LEE,20070701,3.72,3.72,3.72,3.72,null
LEE,20070801,3.62,3.62,3.62,3.62,null
LEE,20070901,3.58,3.58,3.58,3.58,null
LEE,20071001,3.52,3.52,3.52,3.52,null
LEE,20071101,3.30,3.30,3.30,3.30,null
LEE,20071201,3.26,3.26,3.26,3.26,null
LEE,20080101,3.06,3.06,3.06,3.06,null
LEE,20080201,3.10,3.10,3.10,3.10,null
LEE,20080301,3.08,3.08,3.08,3.08,null
LEE,20080401,2.98,2.98,2.98,2.98,null
LEE,20080501,2.74,2.74,2.74,2.74,null
LEE,20080601,2.70,2.70,2.70,2.70,null
LEE,20080701,2.66,2.66,2.66,2.66,null
LEE,20080801,2.68,2.68,2.68,2.68,null
LEE,20080901,2.64,2.64,2.64,2.64,null
LEE,20081001,2.02,2.02,2.02,2.02,null
LEE,20081101,1.84,1.84,1.84,1.84,null
LEE,20081201,1.84,1.84,1.84,1.84,null
LEE,20090101,1.92,1.92,1.92,1.92,null
LEE,20090201,1.88,1.88,1.88,1.88,null
LEE,20090301,2.08,2.08,2.08,2.08,null
LEE,20090401,2.42,2.42,2.42,2.42,null
LEE,20090501,2.68,2.68,2.68,2.68,null
LEE,20090601,2.80,2.80,2.80,2.80,null
LEE,20090701,2.74,2.74,2.74,2.74,null
LEE,20090801,3.02,3.02,3.02,3.02,null
LEE,20090901,3.56,3.56,3.56,3.56,null
LEE,20091001,3.44,3.44,3.44,3.44,null
LEE,20091101,3.76,3.76,3.76,3.76,null
LEE,20091201,3.78,3.78,3.78,3.78,null
LEE,20100101,3.56,3.56,3.56,3.56,null
LEE,20100201,3.60,3.60,3.60,3.60,null
LEE,20100301,4.14,4.14,4.14,4.14,null
LEE,20100401,3.80,3.80,3.80,3.80,null
LEE,20100501,3.04,3.04,3.04,3.04,null
LEE,20100601,3.10,3.10,3.10,3.10,null
LEE,20100701,3.16,3.16,3.16,3.16,null
LEE,20100801,3.10,3.10,3.10,3.10,null
LEE,20100901,3.10,3.10,3.10,3.10,null
LEE,20101001,3.06,3.06,3.06,3.06,null
LEE,20101101,3.10,3.10,3.10,3.10,null
LEE,20101201,3.24,3.24,3.24,3.24,null
LEE,20110101,3.16,3.16,3.16,3.16,null
LEE,20110201,3.26,3.26,3.26,3.26,null
LEE,20110301,3.32,3.32,3.32,3.32,null
LEE,20110401,3.16,3.16,3.16,3.16,null
LEE,20110501,3.16,3.16,3.16,3.16,null
LEE,20110601,3.04,3.04,3.04,3.04,null
LEE,20110701,3.12,3.12,3.12,3.12,null
LEE,20110801,3.08,3.08,3.08,3.08,null
LEE,20110901,2.96,2.96,2.96,2.96,null
LEE,20111001,2.90,2.90,2.90,2.90,null
LEE,20111101,3.06,3.06,3.06,3.06,null
LEE,20111201,3.26,3.26,3.26,3.26,null
LEE,20120101,4.02,4.02,4.02,4.02,null
LEE,20120201,4.16,4.16,4.16,4.16,null
LEE,20120301,3.92,3.92,3.92,3.92,null
LEE,20120401,3.70,3.70,3.70,3.70,null
LEE,20120501,3.56,3.56,3.56,3.56,null
LEE,20120601,3.64,3.64,3.64,3.64,null
LEE,20120701,3.68,3.68,3.68,3.68,null
LEE,20120801,3.70,3.70,3.70,3.70,null
LEE,20120901,3.78,3.78,3.78,3.78,null
LEE,20121001,3.76,3.76,3.76,3.76,null
LEE,20121101,3.62,3.62,3.62,3.62,null
LEE,20121201,3.66,3.66,3.66,3.66,null
LEE,20130101,3.66,3.66,3.66,3.66,null
LEE,20130201,3.66,3.66,3.66,3.66,null
LEE,20130301,3.32,3.32,3.32,3.32,null
LEE,20130401,3.18,3.18,3.18,3.18,null
LEE,20130501,3.06,3.06,3.06,3.06,null
LEE,20130601,2.76,2.76,2.76,2.76,null
LEE,20130701,2.64,2.64,2.64,2.64,null
LEE,20130801,2.38,2.38,2.38,2.38,null
LEE,20130901,2.72,2.72,2.72,2.72,null
LEE,20131001,2.74,2.74,2.74,2.74,null
LEE,20131101,2.74,2.74,2.74,2.74,null
LEE,20131201,2.70,2.70,2.70,2.70,null
LEE,20140101,2.84,2.84,2.84,2.84,null
LEE,20140201,2.98,2.98,2.98,2.98,null
LEE,20140301,2.86,2.86,2.86,2.86,null
LEE,20140401,2.90,2.90,2.90,2.90,null
LEE,20140501,2.82,2.82,2.82,2.82,null
LEE,20140601,3.04,3.04,3.04,3.04,null
LEE,20140701,2.96,2.96,2.96,2.96,null
LEE,20140801,3.00,3.00,3.00,3.00,null
LEE,20140901,3.02,3.02,3.02,3.02,null
LEE,20141001,2.96,2.96,2.96,2.96,null
LEE,20141101,2.94,2.94,2.94,2.94,null
LEE,20141201,2.88,2.88,2.88,2.88,null
LEE,20150101,3.12,3.12,3.12,3.12,null
LEE,20150201,3.08,3.08,3.08,3.08,null
LEE,20150301,2.80,2.80,2.80,2.80,null
LEE,20150401,3.02,3.02,3.02,3.02,null
LEE,20150501,2.94,2.94,2.94,2.94,null
LEE,20150601,2.90,2.90,2.90,2.90,null
LEE,20150701,2.82,2.82,2.82,2.82,null
LEE,20150801,2.66,2.66,2.66,2.66,null
LEE,20150901,2.80,2.80,2.80,2.80,null
LEE,20151001,2.80,2.80,2.80,2.80,null
LEE,20151101,2.74,2.74,2.74,2.74,null
LEE,20151201,2.62,2.62,2.62,2.62,null
LEE,20160101,2.66,2.66,2.66,2.66,null
LEE,20160201,2.74,2.74,2.74,2.74,null
LEE,20160301,2.68,2.68,2.68,2.68,null
LEE,20160401,2.68,2.68,2.68,2.68,null
LEE,20160501,2.68,2.68,2.68,2.68,null
