<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LPH-JittaLine,20120101,0.672,0.672,0.672,0.672,null
LPH-JittaLine,20120201,0.8094,0.8094,0.8094,0.8094,null
LPH-JittaLine,20120301,0.9469,0.9469,0.9469,0.9469,null
LPH-JittaLine,20120401,1.0843,1.0843,1.0843,1.0843,null
LPH-JittaLine,20120501,1.2217,1.2217,1.2217,1.2217,null
LPH-JittaLine,20120601,1.3592,1.3592,1.3592,1.3592,null
LPH-JittaLine,20120701,1.4966,1.4966,1.4966,1.4966,null
LPH-JittaLine,20120801,1.6341,1.6341,1.6341,1.6341,null
LPH-JittaLine,20120901,1.7715,1.7715,1.7715,1.7715,null
LPH-JittaLine,20121001,1.9089,1.9089,1.9089,1.9089,null
LPH-JittaLine,20121101,2.0464,2.0464,2.0464,2.0464,null
LPH-JittaLine,20121201,2.1838,2.1838,2.1838,2.1838,null
LPH-JittaLine,20130101,2.2745,2.2745,2.2745,2.2745,null
LPH-JittaLine,20130201,2.3652,2.3652,2.3652,2.3652,null
LPH-JittaLine,20130301,2.4558,2.4558,2.4558,2.4558,null
LPH-JittaLine,20130401,2.5465,2.5465,2.5465,2.5465,null
LPH-JittaLine,20130501,2.6372,2.6372,2.6372,2.6372,null
LPH-JittaLine,20130601,2.7278,2.7278,2.7278,2.7278,null
LPH-JittaLine,20130701,2.8185,2.8185,2.8185,2.8185,null
LPH-JittaLine,20130801,2.9091,2.9091,2.9091,2.9091,null
LPH-JittaLine,20130901,2.9998,2.9998,2.9998,2.9998,null
LPH-JittaLine,20131001,3.0905,3.0905,3.0905,3.0905,null
LPH-JittaLine,20131101,3.1811,3.1811,3.1811,3.1811,null
LPH-JittaLine,20131201,3.2718,3.2718,3.2718,3.2718,null
LPH-JittaLine,20140101,3.2515,3.2515,3.2515,3.2515,null
LPH-JittaLine,20140201,3.2312,3.2312,3.2312,3.2312,null
LPH-JittaLine,20140301,3.211,3.211,3.211,3.211,null
LPH-JittaLine,20140401,3.1907,3.1907,3.1907,3.1907,null
LPH-JittaLine,20140501,3.1704,3.1704,3.1704,3.1704,null
LPH-JittaLine,20140601,3.1502,3.1502,3.1502,3.1502,null
LPH-JittaLine,20140701,3.1299,3.1299,3.1299,3.1299,null
LPH-JittaLine,20140801,3.1096,3.1096,3.1096,3.1096,null
LPH-JittaLine,20140901,3.0893,3.0893,3.0893,3.0893,null
LPH-JittaLine,20141001,3.0691,3.0691,3.0691,3.0691,null
LPH-JittaLine,20141101,3.0488,3.0488,3.0488,3.0488,null
LPH-JittaLine,20141201,3.0285,3.0285,3.0285,3.0285,null
LPH-JittaLine,20150101,3.0354,3.0354,3.0354,3.0354,null
LPH-JittaLine,20150201,3.0424,3.0424,3.0424,3.0424,null
LPH-JittaLine,20150301,3.0493,3.0493,3.0493,3.0493,null
LPH-JittaLine,20150401,3.0562,3.0562,3.0562,3.0562,null
LPH-JittaLine,20150501,3.0631,3.0631,3.0631,3.0631,null
LPH-JittaLine,20150601,3.0701,3.0701,3.0701,3.0701,null
LPH-JittaLine,20150701,3.077,3.077,3.077,3.077,null
LPH-JittaLine,20150801,3.0839,3.0839,3.0839,3.0839,null
LPH-JittaLine,20150901,3.0908,3.0908,3.0908,3.0908,null
LPH-JittaLine,20151001,3.0978,3.0978,3.0978,3.0978,null
LPH-JittaLine,20151101,3.1047,3.1047,3.1047,3.1047,null
LPH-JittaLine,20151201,3.1116,3.1116,3.1116,3.1116,null
LPH-JittaLine,20160101,3.1894,3.1894,3.1894,3.1894,null
LPH-JittaLine,20160201,3.2672,3.2672,3.2672,3.2672,null
LPH-JittaLine,20160301,3.345,3.345,3.345,3.345,null
LPH-JittaLine,20160401,3.4228,3.4228,3.4228,3.4228,null
LPH-JittaLine,20160501,3.5006,3.5006,3.5006,3.5006,null
LPH-JittaLine,20160601,3.5784,3.5784,3.5784,3.5784,null
LPH-JittaLine,20160701,3.6561,3.6561,3.6561,3.6561,null
LPH-JittaLine,20160801,3.7339,3.7339,3.7339,3.7339,null
LPH-JittaLine,20160901,3.8117,3.8117,3.8117,3.8117,null
LPH-JittaLine,20161001,3.8895,3.8895,3.8895,3.8895,null
LPH-JittaLine,20161101,3.9673,3.9673,3.9673,3.9673,null
LPH-JittaLine,20161201,4.0451,4.0451,4.0451,4.0451,null
