<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LPN-JittaScore,20061201,3.20,3.20,3.20,3.20,null
LPN-JittaScore,20070101,5.75,5.75,5.75,5.75,null
LPN-JittaScore,20070201,5.75,5.75,5.75,5.75,null
LPN-JittaScore,20070301,5.75,5.75,5.75,5.75,null
LPN-JittaScore,20070401,5.92,5.92,5.92,5.92,null
LPN-JittaScore,20070501,5.92,5.92,5.92,5.92,null
LPN-JittaScore,20070601,5.92,5.92,5.92,5.92,null
LPN-JittaScore,20070701,5.38,5.38,5.38,5.38,null
LPN-JittaScore,20070801,5.38,5.38,5.38,5.38,null
LPN-JittaScore,20070901,5.38,5.38,5.38,5.38,null
LPN-JittaScore,20071001,5.92,5.92,5.92,5.92,null
LPN-JittaScore,20071101,5.92,5.92,5.92,5.92,null
LPN-JittaScore,20071201,5.92,5.92,5.92,5.92,null
LPN-JittaScore,20080101,5.28,5.28,5.28,5.28,null
LPN-JittaScore,20080201,5.28,5.28,5.28,5.28,null
LPN-JittaScore,20080301,5.28,5.28,5.28,5.28,null
LPN-JittaScore,20080401,5.28,5.28,5.28,5.28,null
LPN-JittaScore,20080501,5.28,5.28,5.28,5.28,null
LPN-JittaScore,20080601,5.28,5.28,5.28,5.28,null
LPN-JittaScore,20080701,5.35,5.35,5.35,5.35,null
LPN-JittaScore,20080801,5.35,5.35,5.35,5.35,null
LPN-JittaScore,20080901,5.35,5.35,5.35,5.35,null
LPN-JittaScore,20081001,5.75,5.75,5.75,5.75,null
LPN-JittaScore,20081101,5.75,5.75,5.75,5.75,null
LPN-JittaScore,20081201,5.75,5.75,5.75,5.75,null
LPN-JittaScore,20090101,5.90,5.90,5.90,5.90,null
LPN-JittaScore,20090201,5.90,5.90,5.90,5.90,null
LPN-JittaScore,20090301,5.90,5.90,5.90,5.90,null
LPN-JittaScore,20090401,6.10,6.10,6.10,6.10,null
LPN-JittaScore,20090501,6.10,6.10,6.10,6.10,null
LPN-JittaScore,20090601,6.10,6.10,6.10,6.10,null
LPN-JittaScore,20090701,6.10,6.10,6.10,6.10,null
LPN-JittaScore,20090801,6.10,6.10,6.10,6.10,null
LPN-JittaScore,20090901,6.10,6.10,6.10,6.10,null
LPN-JittaScore,20091001,6.97,6.97,6.97,6.97,null
LPN-JittaScore,20091101,6.97,6.97,6.97,6.97,null
LPN-JittaScore,20091201,6.97,6.97,6.97,6.97,null
LPN-JittaScore,20100101,7.28,7.28,7.28,7.28,null
LPN-JittaScore,20100201,7.28,7.28,7.28,7.28,null
LPN-JittaScore,20100301,7.28,7.28,7.28,7.28,null
LPN-JittaScore,20100401,6.33,6.33,6.33,6.33,null
LPN-JittaScore,20100501,6.33,6.33,6.33,6.33,null
LPN-JittaScore,20100601,6.33,6.33,6.33,6.33,null
LPN-JittaScore,20100701,6.33,6.33,6.33,6.33,null
LPN-JittaScore,20100801,6.33,6.33,6.33,6.33,null
LPN-JittaScore,20100901,6.33,6.33,6.33,6.33,null
LPN-JittaScore,20101001,5.65,5.65,5.65,5.65,null
LPN-JittaScore,20101101,5.65,5.65,5.65,5.65,null
LPN-JittaScore,20101201,5.65,5.65,5.65,5.65,null
LPN-JittaScore,20110101,7.75,7.75,7.75,7.75,null
LPN-JittaScore,20110201,7.75,7.75,7.75,7.75,null
LPN-JittaScore,20110301,7.75,7.75,7.75,7.75,null
LPN-JittaScore,20110401,7.95,7.95,7.95,7.95,null
LPN-JittaScore,20110501,7.95,7.95,7.95,7.95,null
LPN-JittaScore,20110601,7.95,7.95,7.95,7.95,null
LPN-JittaScore,20110701,7.95,7.95,7.95,7.95,null
LPN-JittaScore,20110801,7.95,7.95,7.95,7.95,null
LPN-JittaScore,20110901,7.95,7.95,7.95,7.95,null
LPN-JittaScore,20111001,8.60,8.60,8.60,8.60,null
LPN-JittaScore,20111101,8.60,8.60,8.60,8.60,null
LPN-JittaScore,20111201,8.60,8.60,8.60,8.60,null
LPN-JittaScore,20120101,8.45,8.45,8.45,8.45,null
LPN-JittaScore,20120201,8.45,8.45,8.45,8.45,null
LPN-JittaScore,20120301,8.45,8.45,8.45,8.45,null
LPN-JittaScore,20120401,7.60,7.60,7.60,7.60,null
LPN-JittaScore,20120501,7.60,7.60,7.60,7.60,null
LPN-JittaScore,20120601,7.60,7.60,7.60,7.60,null
LPN-JittaScore,20120701,7.60,7.60,7.60,7.60,null
LPN-JittaScore,20120801,7.60,7.60,7.60,7.60,null
LPN-JittaScore,20120901,7.60,7.60,7.60,7.60,null
LPN-JittaScore,20121001,4.80,4.80,4.80,4.80,null
LPN-JittaScore,20121101,4.80,4.80,4.80,4.80,null
LPN-JittaScore,20121201,4.80,4.80,4.80,4.80,null
LPN-JittaScore,20130101,7.30,7.30,7.30,7.30,null
LPN-JittaScore,20130201,7.30,7.30,7.30,7.30,null
LPN-JittaScore,20130301,7.30,7.30,7.30,7.30,null
LPN-JittaScore,20130401,7.40,7.40,7.40,7.40,null
LPN-JittaScore,20130501,7.40,7.40,7.40,7.40,null
LPN-JittaScore,20130601,7.40,7.40,7.40,7.40,null
LPN-JittaScore,20130701,7.50,7.50,7.50,7.50,null
LPN-JittaScore,20130801,7.50,7.50,7.50,7.50,null
LPN-JittaScore,20130901,7.50,7.50,7.50,7.50,null
LPN-JittaScore,20131001,8.65,8.65,8.65,8.65,null
LPN-JittaScore,20131101,8.65,8.65,8.65,8.65,null
LPN-JittaScore,20131201,8.65,8.65,8.65,8.65,null
LPN-JittaScore,20140101,7.45,7.45,7.45,7.45,null
LPN-JittaScore,20140201,7.45,7.45,7.45,7.45,null
LPN-JittaScore,20140301,7.45,7.45,7.45,7.45,null
LPN-JittaScore,20140401,7.15,7.15,7.15,7.15,null
LPN-JittaScore,20140501,7.15,7.15,7.15,7.15,null
LPN-JittaScore,20140601,7.15,7.15,7.15,7.15,null
LPN-JittaScore,20140701,6.90,6.90,6.90,6.90,null
LPN-JittaScore,20140801,6.90,6.90,6.90,6.90,null
LPN-JittaScore,20140901,6.90,6.90,6.90,6.90,null
LPN-JittaScore,20141001,4.80,4.80,4.80,4.80,null
LPN-JittaScore,20141101,4.80,4.80,4.80,4.80,null
