<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
M-CHAI-JittaScore,20090101,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20090201,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20090301,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20090401,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20090501,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20090601,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20090701,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20090801,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20090901,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20091001,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20091101,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20091201,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20100101,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20100201,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20100301,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20100401,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20100501,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20100601,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20100701,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20100801,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20100901,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20101001,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20101101,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20101201,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20110101,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20110201,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20110301,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20110401,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20110501,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20110601,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20110701,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20110801,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20110901,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20111001,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20111101,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20111201,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20120101,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20120201,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20120301,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20120401,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20120501,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20120601,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20120701,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20120801,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20120901,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20121001,6.25,6.25,6.25,6.25,null
M-CHAI-JittaScore,20121101,6.25,6.25,6.25,6.25,null
M-CHAI-JittaScore,20121201,6.25,6.25,6.25,6.25,null
M-CHAI-JittaScore,20130101,6.25,6.25,6.25,6.25,null
M-CHAI-JittaScore,20130201,6.25,6.25,6.25,6.25,null
M-CHAI-JittaScore,20130301,6.25,6.25,6.25,6.25,null
M-CHAI-JittaScore,20130401,6.33,6.33,6.33,6.33,null
M-CHAI-JittaScore,20130501,6.33,6.33,6.33,6.33,null
M-CHAI-JittaScore,20130601,6.33,6.33,6.33,6.33,null
M-CHAI-JittaScore,20130701,5.70,5.70,5.70,5.70,null
M-CHAI-JittaScore,20130801,5.70,5.70,5.70,5.70,null
M-CHAI-JittaScore,20130901,5.70,5.70,5.70,5.70,null
M-CHAI-JittaScore,20131001,6.30,6.30,6.30,6.30,null
M-CHAI-JittaScore,20131101,6.30,6.30,6.30,6.30,null
M-CHAI-JittaScore,20131201,6.30,6.30,6.30,6.30,null
M-CHAI-JittaScore,20140101,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20140201,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20140301,6.00,6.00,6.00,6.00,null
M-CHAI-JittaScore,20140401,6.17,6.17,6.17,6.17,null
M-CHAI-JittaScore,20140501,6.17,6.17,6.17,6.17,null
M-CHAI-JittaScore,20140601,6.17,6.17,6.17,6.17,null
M-CHAI-JittaScore,20140701,6.17,6.17,6.17,6.17,null
M-CHAI-JittaScore,20140801,6.17,6.17,6.17,6.17,null
M-CHAI-JittaScore,20140901,6.17,6.17,6.17,6.17,null
M-CHAI-JittaScore,20141001,3.25,3.25,3.25,3.25,null
M-CHAI-JittaScore,20141101,3.25,3.25,3.25,3.25,null
M-CHAI-JittaScore,20141201,3.25,3.25,3.25,3.25,null
M-CHAI-JittaScore,20150101,4.65,4.65,4.65,4.65,null
M-CHAI-JittaScore,20150201,4.65,4.65,4.65,4.65,null
M-CHAI-JittaScore,20150301,4.65,4.65,4.65,4.65,null
M-CHAI-JittaScore,20150401,4.78,4.78,4.78,4.78,null
M-CHAI-JittaScore,20150501,4.78,4.78,4.78,4.78,null
M-CHAI-JittaScore,20150601,4.78,4.78,4.78,4.78,null
M-CHAI-JittaScore,20150701,4.10,4.10,4.10,4.10,null
M-CHAI-JittaScore,20150801,4.10,4.10,4.10,4.10,null
