<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MACO-JittaScore,20061201,4.25,4.25,4.25,4.25,null
MACO-JittaScore,20070101,3.70,3.70,3.70,3.70,null
MACO-JittaScore,20070201,3.70,3.70,3.70,3.70,null
MACO-JittaScore,20070301,3.70,3.70,3.70,3.70,null
MACO-JittaScore,20070401,3.15,3.15,3.15,3.15,null
MACO-JittaScore,20070501,3.15,3.15,3.15,3.15,null
MACO-JittaScore,20070601,3.15,3.15,3.15,3.15,null
MACO-JittaScore,20070701,3.15,3.15,3.15,3.15,null
MACO-JittaScore,20070801,3.15,3.15,3.15,3.15,null
MACO-JittaScore,20070901,3.15,3.15,3.15,3.15,null
MACO-JittaScore,20071001,2.45,2.45,2.45,2.45,null
MACO-JittaScore,20071101,2.45,2.45,2.45,2.45,null
MACO-JittaScore,20071201,2.45,2.45,2.45,2.45,null
MACO-JittaScore,20080101,2.20,2.20,2.20,2.20,null
MACO-JittaScore,20080201,2.20,2.20,2.20,2.20,null
MACO-JittaScore,20080301,2.20,2.20,2.20,2.20,null
MACO-JittaScore,20080401,1.65,1.65,1.65,1.65,null
MACO-JittaScore,20080501,1.65,1.65,1.65,1.65,null
MACO-JittaScore,20080601,1.65,1.65,1.65,1.65,null
MACO-JittaScore,20080701,1.65,1.65,1.65,1.65,null
MACO-JittaScore,20080801,1.65,1.65,1.65,1.65,null
MACO-JittaScore,20080901,1.65,1.65,1.65,1.65,null
MACO-JittaScore,20081001,3.00,3.00,3.00,3.00,null
MACO-JittaScore,20081101,3.00,3.00,3.00,3.00,null
MACO-JittaScore,20081201,3.00,3.00,3.00,3.00,null
MACO-JittaScore,20090101,4.00,4.00,4.00,4.00,null
MACO-JittaScore,20090201,4.00,4.00,4.00,4.00,null
MACO-JittaScore,20090301,4.00,4.00,4.00,4.00,null
MACO-JittaScore,20090401,3.45,3.45,3.45,3.45,null
MACO-JittaScore,20090501,3.45,3.45,3.45,3.45,null
MACO-JittaScore,20090601,3.45,3.45,3.45,3.45,null
MACO-JittaScore,20090701,3.45,3.45,3.45,3.45,null
MACO-JittaScore,20090801,3.45,3.45,3.45,3.45,null
MACO-JittaScore,20090901,3.45,3.45,3.45,3.45,null
MACO-JittaScore,20091001,3.00,3.00,3.00,3.00,null
MACO-JittaScore,20091101,3.00,3.00,3.00,3.00,null
MACO-JittaScore,20091201,3.00,3.00,3.00,3.00,null
MACO-JittaScore,20100101,3.25,3.25,3.25,3.25,null
MACO-JittaScore,20100201,3.25,3.25,3.25,3.25,null
MACO-JittaScore,20100301,3.25,3.25,3.25,3.25,null
MACO-JittaScore,20100401,3.45,3.45,3.45,3.45,null
MACO-JittaScore,20100501,3.45,3.45,3.45,3.45,null
MACO-JittaScore,20100601,3.45,3.45,3.45,3.45,null
MACO-JittaScore,20100701,3.42,3.42,3.42,3.42,null
MACO-JittaScore,20100801,3.42,3.42,3.42,3.42,null
MACO-JittaScore,20100901,3.42,3.42,3.42,3.42,null
MACO-JittaScore,20101001,4.50,4.50,4.50,4.50,null
MACO-JittaScore,20101101,4.50,4.50,4.50,4.50,null
MACO-JittaScore,20101201,4.50,4.50,4.50,4.50,null
MACO-JittaScore,20110101,5.40,5.40,5.40,5.40,null
MACO-JittaScore,20110201,5.40,5.40,5.40,5.40,null
MACO-JittaScore,20110301,5.40,5.40,5.40,5.40,null
MACO-JittaScore,20110401,5.65,5.65,5.65,5.65,null
MACO-JittaScore,20110501,5.65,5.65,5.65,5.65,null
MACO-JittaScore,20110601,5.65,5.65,5.65,5.65,null
MACO-JittaScore,20110701,5.65,5.65,5.65,5.65,null
MACO-JittaScore,20110801,5.65,5.65,5.65,5.65,null
MACO-JittaScore,20110901,5.65,5.65,5.65,5.65,null
MACO-JittaScore,20111001,7.50,7.50,7.50,7.50,null
MACO-JittaScore,20111101,7.50,7.50,7.50,7.50,null
MACO-JittaScore,20111201,7.50,7.50,7.50,7.50,null
MACO-JittaScore,20120101,7.40,7.40,7.40,7.40,null
MACO-JittaScore,20120201,7.40,7.40,7.40,7.40,null
