<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MAKRO-JittaScore,20061201,4.55,4.55,4.55,4.55,null
MAKRO-JittaScore,20070101,4.55,4.55,4.55,4.55,null
MAKRO-JittaScore,20070201,4.55,4.55,4.55,4.55,null
MAKRO-JittaScore,20070301,4.55,4.55,4.55,4.55,null
MAKRO-JittaScore,20070401,4.65,4.65,4.65,4.65,null
MAKRO-JittaScore,20070501,4.65,4.65,4.65,4.65,null
MAKRO-JittaScore,20070601,4.65,4.65,4.65,4.65,null
MAKRO-JittaScore,20070701,4.65,4.65,4.65,4.65,null
MAKRO-JittaScore,20070801,4.65,4.65,4.65,4.65,null
MAKRO-JittaScore,20070901,4.65,4.65,4.65,4.65,null
MAKRO-JittaScore,20071001,5.20,5.20,5.20,5.20,null
MAKRO-JittaScore,20071101,5.20,5.20,5.20,5.20,null
MAKRO-JittaScore,20071201,5.20,5.20,5.20,5.20,null
MAKRO-JittaScore,20080101,4.65,4.65,4.65,4.65,null
MAKRO-JittaScore,20080201,4.65,4.65,4.65,4.65,null
MAKRO-JittaScore,20080301,4.65,4.65,4.65,4.65,null
MAKRO-JittaScore,20080401,4.80,4.80,4.80,4.80,null
MAKRO-JittaScore,20080501,4.80,4.80,4.80,4.80,null
MAKRO-JittaScore,20080601,4.80,4.80,4.80,4.80,null
MAKRO-JittaScore,20080701,4.83,4.83,4.83,4.83,null
MAKRO-JittaScore,20080801,4.83,4.83,4.83,4.83,null
MAKRO-JittaScore,20080901,4.83,4.83,4.83,4.83,null
MAKRO-JittaScore,20081001,5.25,5.25,5.25,5.25,null
MAKRO-JittaScore,20081101,5.25,5.25,5.25,5.25,null
MAKRO-JittaScore,20081201,5.25,5.25,5.25,5.25,null
MAKRO-JittaScore,20090101,5.25,5.25,5.25,5.25,null
MAKRO-JittaScore,20090201,5.25,5.25,5.25,5.25,null
MAKRO-JittaScore,20090301,5.25,5.25,5.25,5.25,null
MAKRO-JittaScore,20090401,4.50,4.50,4.50,4.50,null
MAKRO-JittaScore,20090501,4.50,4.50,4.50,4.50,null
MAKRO-JittaScore,20090601,4.50,4.50,4.50,4.50,null
MAKRO-JittaScore,20090701,4.80,4.80,4.80,4.80,null
MAKRO-JittaScore,20090801,4.80,4.80,4.80,4.80,null
MAKRO-JittaScore,20090901,4.80,4.80,4.80,4.80,null
MAKRO-JittaScore,20091001,4.05,4.05,4.05,4.05,null
MAKRO-JittaScore,20091101,4.05,4.05,4.05,4.05,null
MAKRO-JittaScore,20091201,4.05,4.05,4.05,4.05,null
MAKRO-JittaScore,20100101,4.05,4.05,4.05,4.05,null
MAKRO-JittaScore,20100201,4.05,4.05,4.05,4.05,null
MAKRO-JittaScore,20100301,4.05,4.05,4.05,4.05,null
MAKRO-JittaScore,20100401,4.25,4.25,4.25,4.25,null
MAKRO-JittaScore,20100501,4.25,4.25,4.25,4.25,null
MAKRO-JittaScore,20100601,4.25,4.25,4.25,4.25,null
MAKRO-JittaScore,20100701,4.22,4.22,4.22,4.22,null
MAKRO-JittaScore,20100801,4.22,4.22,4.22,4.22,null
MAKRO-JittaScore,20100901,4.22,4.22,4.22,4.22,null
MAKRO-JittaScore,20101001,6.30,6.30,6.30,6.30,null
MAKRO-JittaScore,20101101,6.30,6.30,6.30,6.30,null
MAKRO-JittaScore,20101201,6.30,6.30,6.30,6.30,null
MAKRO-JittaScore,20110101,6.35,6.35,6.35,6.35,null
MAKRO-JittaScore,20110201,6.35,6.35,6.35,6.35,null
MAKRO-JittaScore,20110301,6.35,6.35,6.35,6.35,null
MAKRO-JittaScore,20110401,6.38,6.38,6.38,6.38,null
MAKRO-JittaScore,20110501,6.38,6.38,6.38,6.38,null
MAKRO-JittaScore,20110601,6.38,6.38,6.38,6.38,null
MAKRO-JittaScore,20110701,6.38,6.38,6.38,6.38,null
MAKRO-JittaScore,20110801,6.38,6.38,6.38,6.38,null
MAKRO-JittaScore,20110901,6.38,6.38,6.38,6.38,null
MAKRO-JittaScore,20111001,6.30,6.30,6.30,6.30,null
MAKRO-JittaScore,20111101,6.30,6.30,6.30,6.30,null
MAKRO-JittaScore,20111201,6.30,6.30,6.30,6.30,null
MAKRO-JittaScore,20120101,7.00,7.00,7.00,7.00,null
MAKRO-JittaScore,20120201,7.00,7.00,7.00,7.00,null
MAKRO-JittaScore,20120301,7.00,7.00,7.00,7.00,null
MAKRO-JittaScore,20120401,7.10,7.10,7.10,7.10,null
