<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MALEE,20110601,8.50,8.50,8.50,8.50,102388285.714286
MALEE,20110701,8.00,8.00,8.00,8.00,13975610.5263158
MALEE,20110801,6.70,6.70,6.70,6.70,2604227.27272727
MALEE,20110901,4.775,4.775,4.775,4.775,3432800
MALEE,20111001,5.70,5.70,5.70,5.70,9669180
MALEE,20111101,7.15,7.15,7.15,7.15,6614163.63636364
MALEE,20111201,10.80,10.80,10.80,10.80,11544980
MALEE,20120101,14.00,14.00,14.00,14.00,12005520
MALEE,20120201,17.75,17.75,17.75,17.75,6909942.85714286
MALEE,20120301,24.125,24.125,24.125,24.125,7370666.66666667
MALEE,20120401,27.00,27.00,27.00,27.00,7329164.70588235
MALEE,20120501,36.50,36.50,36.50,36.50,10566676.1904762
MALEE,20120601,38.125,38.125,38.125,38.125,6500140
MALEE,20120701,39.50,39.50,39.50,39.50,3888263.63636364
MALEE,20120801,40.625,40.625,40.625,40.625,5163742.85714286
MALEE,20120901,43.50,43.50,43.50,43.50,2556320
MALEE,20121001,51.25,51.25,51.25,51.25,3347709.09090909
MALEE,20121101,49.00,49.00,49.00,49.00,2095954.54545455
MALEE,20121201,56.75,56.75,56.75,56.75,2549022.22222222
MALEE,20130101,70.50,70.50,70.50,70.50,1347318.18181818
MALEE,20130201,65.75,65.75,65.75,65.75,1369505.26315789
MALEE,20130301,71.50,71.50,71.50,71.50,1030885.71428571
MALEE,20130401,69.00,69.00,69.00,69.00,575878.94736842
MALEE,20130501,55.75,55.75,55.75,55.75,1547425
MALEE,20130601,34.00,34.00,34.00,34.00,915875
MALEE,20130701,33.75,33.75,33.75,33.75,1561904.76190476
MALEE,20130801,29.50,29.50,29.50,29.50,978857.14285714
MALEE,20130901,33.25,33.25,33.25,33.25,731295.23809524
MALEE,20131001,36.00,36.00,36.00,36.00,445809.09090909
MALEE,20131101,32.50,32.50,32.50,32.50,329547.61904762
MALEE,20131201,30.00,30.00,30.00,30.00,319911.11111111
MALEE,20140101,30.25,30.25,30.25,30.25,66750
MALEE,20140201,32.75,32.75,32.75,32.75,255089.47368421
MALEE,20140301,32.50,32.50,32.50,32.50,98895.23809524
MALEE,20140401,38.75,38.75,38.75,38.75,509936.84210526
MALEE,20140501,39.75,39.75,39.75,39.75,921542.10526316
MALEE,20140601,44.75,44.75,44.75,44.75,742352.38095238
MALEE,20140701,37.50,37.50,37.50,37.50,395195.23809524
MALEE,20140801,40.50,40.50,40.50,40.50,537110.52631579
MALEE,20140901,37.25,37.25,37.25,37.25,263036.36363636
MALEE,20141001,35.25,35.25,35.25,35.25,114131.81818182
MALEE,20141101,29.25,29.25,29.25,29.25,259020
MALEE,20141201,27.50,27.50,27.50,27.50,402400
MALEE,20150101,34.00,34.00,34.00,34.00,268075
MALEE,20150201,32.50,32.50,32.50,32.50,160810
MALEE,20150301,35.50,35.50,35.50,35.50,530480.95238095
MALEE,20150401,34.00,34.00,34.00,34.00,635072.22222222
MALEE,20150501,32.00,32.00,32.00,32.00,107272.22222222
MALEE,20150601,32.00,32.00,32.00,32.00,107733.33333333
MALEE,20150701,31.25,31.25,31.25,31.25,102380.95238095
MALEE,20150801,28.25,28.25,28.25,28.25,79200
MALEE,20150901,29.00,29.00,29.00,29.00,120177.27272727
MALEE,20151001,30.50,30.50,30.50,30.50,67680.95238095
MALEE,20151101,29.50,29.50,29.50,29.50,72871.42857143
MALEE,20151201,28.50,28.50,28.50,28.50,202680
MALEE,20160101,31.75,31.75,31.75,31.75,null
MALEE,20160201,32.50,32.50,32.50,32.50,null
MALEE,20160301,34.50,34.50,34.50,34.50,null
MALEE,20160401,38.50,38.50,38.50,38.50,null
MALEE,20160501,45.00,45.00,45.00,45.00,null
