<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MATI-JittaLine,20061201,10.6511,10.6511,10.6511,10.6511,null
MATI-JittaLine,20070101,11.2695,11.2695,11.2695,11.2695,null
MATI-JittaLine,20070201,11.888,11.888,11.888,11.888,null
MATI-JittaLine,20070301,12.5064,12.5064,12.5064,12.5064,null
MATI-JittaLine,20070401,13.1249,13.1249,13.1249,13.1249,null
MATI-JittaLine,20070501,13.7433,13.7433,13.7433,13.7433,null
MATI-JittaLine,20070601,14.3618,14.3618,14.3618,14.3618,null
MATI-JittaLine,20070701,14.9803,14.9803,14.9803,14.9803,null
MATI-JittaLine,20070801,15.5987,15.5987,15.5987,15.5987,null
MATI-JittaLine,20070901,16.2172,16.2172,16.2172,16.2172,null
MATI-JittaLine,20071001,16.8356,16.8356,16.8356,16.8356,null
MATI-JittaLine,20071101,17.4541,17.4541,17.4541,17.4541,null
MATI-JittaLine,20071201,18.0725,18.0725,18.0725,18.0725,null
MATI-JittaLine,20080101,17.8013,17.8013,17.8013,17.8013,null
MATI-JittaLine,20080201,17.53,17.53,17.53,17.53,null
MATI-JittaLine,20080301,17.2588,17.2588,17.2588,17.2588,null
MATI-JittaLine,20080401,16.9876,16.9876,16.9876,16.9876,null
MATI-JittaLine,20080501,16.7163,16.7163,16.7163,16.7163,null
MATI-JittaLine,20080601,16.4451,16.4451,16.4451,16.4451,null
MATI-JittaLine,20080701,16.1739,16.1739,16.1739,16.1739,null
MATI-JittaLine,20080801,15.9026,15.9026,15.9026,15.9026,null
MATI-JittaLine,20080901,15.6314,15.6314,15.6314,15.6314,null
MATI-JittaLine,20081001,15.3601,15.3601,15.3601,15.3601,null
MATI-JittaLine,20081101,15.0889,15.0889,15.0889,15.0889,null
MATI-JittaLine,20081201,14.8177,14.8177,14.8177,14.8177,null
MATI-JittaLine,20090101,14.5577,14.5577,14.5577,14.5577,null
MATI-JittaLine,20090201,14.2977,14.2977,14.2977,14.2977,null
MATI-JittaLine,20090301,14.0377,14.0377,14.0377,14.0377,null
MATI-JittaLine,20090401,13.7777,13.7777,13.7777,13.7777,null
MATI-JittaLine,20090501,13.5177,13.5177,13.5177,13.5177,null
MATI-JittaLine,20090601,13.2577,13.2577,13.2577,13.2577,null
MATI-JittaLine,20090701,12.9977,12.9977,12.9977,12.9977,null
MATI-JittaLine,20090801,12.7377,12.7377,12.7377,12.7377,null
MATI-JittaLine,20090901,12.4777,12.4777,12.4777,12.4777,null
MATI-JittaLine,20091001,12.2177,12.2177,12.2177,12.2177,null
MATI-JittaLine,20091101,11.9577,11.9577,11.9577,11.9577,null
MATI-JittaLine,20091201,11.6977,11.6977,11.6977,11.6977,null
MATI-JittaLine,20100101,11.7085,11.7085,11.7085,11.7085,null
MATI-JittaLine,20100201,11.7194,11.7194,11.7194,11.7194,null
MATI-JittaLine,20100301,11.7302,11.7302,11.7302,11.7302,null
MATI-JittaLine,20100401,11.7411,11.7411,11.7411,11.7411,null
