<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MAX,20080501,0.61769242,0.61769242,0.61769242,0.61769242,47327082.3041668
MAX,20080601,0.43153854,0.43153854,0.43153854,0.43153854,9659043.26545534
MAX,20080701,0.43153854,0.43153854,0.43153854,0.43153854,992918.43418799
MAX,20080801,0.35961545,0.35961545,0.35961545,0.35961545,376172.6588777
MAX,20080901,0.33000006,0.33000006,0.33000006,0.33000006,1417188.83323839
MAX,20081001,0.19461542,0.19461542,0.19461542,0.19461542,395423.85154973
MAX,20081101,0.2115385,0.2115385,0.2115385,0.2115385,719051.81731525
MAX,20081201,0.19038465,0.19038465,0.19038465,0.19038465,103140.47711495
MAX,20090101,0.20730773,0.20730773,0.20730773,0.20730773,259096.20957609
MAX,20090201,0.17769234,0.17769234,0.17769234,0.17769234,99884.4738178
MAX,20090301,0.16500003,0.16500003,0.16500003,0.16500003,461117.56321927
MAX,20090401,0.15653849,0.15653849,0.15653849,0.15653849,24419.31374194
MAX,20090501,0.13961541,0.13961541,0.13961541,0.13961541,266115.86070621
MAX,20090601,0.15653849,0.15653849,0.15653849,0.15653849,1084436.16646615
MAX,20090701,0.15230772,0.15230772,0.15230772,0.15230772,328707.89478038
MAX,20090801,0.30038467,0.30038467,0.30038467,0.30038467,15946990.7369108
MAX,20090901,0.28769236,0.28769236,0.28769236,0.28769236,3862524.91755746
MAX,20091001,0.28346159,0.28346159,0.28346159,0.28346159,7891741.42228079
MAX,20091101,0.24538466,0.24538466,0.24538466,0.24538466,11281386.1306571
MAX,20091201,0.22846158,0.22846158,0.22846158,0.22846158,1509973.36182302
MAX,20100101,0.23692312,0.23692312,0.23692312,0.23692312,27881886.7487478
MAX,20100201,0.20730773,0.20730773,0.20730773,0.20730773,5963098.91580019
MAX,20100301,0.21576927,0.21576927,0.21576927,0.21576927,8018699.36850094
MAX,20100401,0.27500005,0.27500005,0.27500005,0.27500005,62434655.3149111
