<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MK,20061201,2.62,2.62,2.62,2.62,null
MK,20070101,2.48,2.48,2.48,2.48,null
MK,20070201,2.64,2.64,2.64,2.64,null
MK,20070301,2.56,2.56,2.56,2.56,null
MK,20070401,2.42,2.42,2.42,2.42,null
MK,20070501,2.38,2.38,2.38,2.38,null
MK,20070601,2.38,2.38,2.38,2.38,null
MK,20070701,2.66,2.66,2.66,2.66,null
MK,20070801,2.48,2.48,2.48,2.48,null
MK,20070901,2.50,2.50,2.50,2.50,null
MK,20071001,2.48,2.48,2.48,2.48,null
MK,20071101,2.34,2.34,2.34,2.34,null
MK,20071201,2.32,2.32,2.32,2.32,null
MK,20080101,2.24,2.24,2.24,2.24,null
MK,20080201,2.36,2.36,2.36,2.36,null
MK,20080301,2.44,2.44,2.44,2.44,null
MK,20080401,2.34,2.34,2.34,2.34,null
MK,20080501,2.18,2.18,2.18,2.18,null
MK,20080601,2.12,2.12,2.12,2.12,null
MK,20080701,1.93,1.93,1.93,1.93,null
MK,20080801,2.02,2.02,2.02,2.02,null
MK,20080901,1.85,1.85,1.85,1.85,null
MK,20081001,1.30,1.30,1.30,1.30,null
MK,20081101,1.02,1.02,1.02,1.02,null
MK,20081201,1.04,1.04,1.04,1.04,null
MK,20090101,1.15,1.15,1.15,1.15,null
MK,20090201,1.25,1.25,1.25,1.25,null
MK,20090301,1.32,1.32,1.32,1.32,null
MK,20090401,1.33,1.33,1.33,1.33,null
MK,20090501,1.97,1.97,1.97,1.97,null
MK,20090601,1.94,1.94,1.94,1.94,null
MK,20090701,2.02,2.02,2.02,2.02,null
MK,20090801,2.28,2.28,2.28,2.28,null
MK,20090901,2.60,2.60,2.60,2.60,null
MK,20091001,2.50,2.50,2.50,2.50,null
MK,20091101,2.50,2.50,2.50,2.50,null
MK,20091201,2.68,2.68,2.68,2.68,null
MK,20100101,2.52,2.52,2.52,2.52,null
MK,20100201,2.60,2.60,2.60,2.60,null
MK,20100301,2.90,2.90,2.90,2.90,null
MK,20100401,2.62,2.62,2.62,2.62,null
MK,20100501,2.62,2.62,2.62,2.62,null
MK,20100601,2.80,2.80,2.80,2.80,null
MK,20100701,3.24,3.24,3.24,3.24,null
MK,20100801,3.10,3.10,3.10,3.10,null
MK,20100901,3.12,3.12,3.12,3.12,null
MK,20101001,3.02,3.02,3.02,3.02,null
MK,20101101,2.96,2.96,2.96,2.96,null
MK,20101201,2.92,2.92,2.92,2.92,null
MK,20110101,2.82,2.82,2.82,2.82,null
MK,20110201,2.96,2.96,2.96,2.96,null
MK,20110301,3.08,3.08,3.08,3.08,null
MK,20110401,3.02,3.02,3.02,3.02,null
MK,20110501,2.92,2.92,2.92,2.92,null
MK,20110601,2.90,2.90,2.90,2.90,null
MK,20110701,2.98,2.98,2.98,2.98,null
MK,20110801,2.86,2.86,2.86,2.86,null
MK,20110901,2.68,2.68,2.68,2.68,null
MK,20111001,2.52,2.52,2.52,2.52,null
MK,20111101,2.60,2.60,2.60,2.60,null
MK,20111201,2.62,2.62,2.62,2.62,null
MK,20120101,2.72,2.72,2.72,2.72,null
MK,20120201,2.72,2.72,2.72,2.72,null
MK,20120301,2.68,2.68,2.68,2.68,null
MK,20120401,2.78,2.78,2.78,2.78,null
MK,20120501,2.66,2.66,2.66,2.66,null
MK,20120601,2.70,2.70,2.70,2.70,null
MK,20120701,2.82,2.82,2.82,2.82,null
MK,20120801,2.78,2.78,2.78,2.78,null
MK,20120901,3.48,3.48,3.48,3.48,null
MK,20121001,3.64,3.64,3.64,3.64,null
MK,20121101,3.44,3.44,3.44,3.44,null
MK,20121201,3.44,3.44,3.44,3.44,null
MK,20130101,4.04,4.04,4.04,4.04,null
MK,20130201,4.84,4.84,4.84,4.84,null
MK,20130301,4.60,4.60,4.60,4.60,null
MK,20130401,4.58,4.58,4.58,4.58,null
MK,20130501,4.50,4.50,4.50,4.50,null
MK,20130601,3.90,3.90,3.90,3.90,null
MK,20130701,3.84,3.84,3.84,3.84,null
MK,20130801,3.04,3.04,3.04,3.04,null
MK,20130901,3.28,3.28,3.28,3.28,null
MK,20131001,3.38,3.38,3.38,3.38,null
MK,20131101,3.36,3.36,3.36,3.36,null
MK,20131201,3.36,3.36,3.36,3.36,null
MK,20140101,3.46,3.46,3.46,3.46,null
MK,20140201,3.44,3.44,3.44,3.44,null
MK,20140301,3.68,3.68,3.68,3.68,null
MK,20140401,3.48,3.48,3.48,3.48,null
MK,20140501,3.62,3.62,3.62,3.62,null
MK,20140601,3.98,3.98,3.98,3.98,null
MK,20140701,4.12,4.12,4.12,4.12,null
MK,20140801,4.14,4.14,4.14,4.14,null
MK,20140901,4.34,4.34,4.34,4.34,null
MK,20141001,4.30,4.30,4.30,4.30,null
MK,20141101,4.34,4.34,4.34,4.34,null
MK,20141201,4.24,4.24,4.24,4.24,null
MK,20150101,5.30,5.30,5.30,5.30,null
MK,20150201,6.05,6.05,6.05,6.05,null
MK,20150301,5.15,5.15,5.15,5.15,null
MK,20150401,5.70,5.70,5.70,5.70,null
