<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MSC,20061201,4.14,4.14,4.14,4.14,38973.94736842
MSC,20070101,5.10,5.10,5.10,5.10,202360
MSC,20070201,4.90,4.90,4.90,4.90,9800
MSC,20070301,4.80,4.80,4.80,4.80,14350
MSC,20070401,4.84,4.84,4.84,4.84,14166.66666667
MSC,20070501,4.58,4.58,4.58,4.58,19493.75
MSC,20070601,4.40,4.40,4.40,4.40,18740
MSC,20070701,4.22,4.22,4.22,4.22,31557.14285714
MSC,20070801,4.20,4.20,4.20,4.20,26036.84210526
MSC,20070901,4.24,4.24,4.24,4.24,9590.90909091
MSC,20071001,4.26,4.26,4.26,4.26,9784.61538462
MSC,20071101,4.10,4.10,4.10,4.10,24907.69230769
MSC,20071201,4.04,4.04,4.04,4.04,7520
MSC,20080101,3.98,3.98,3.98,3.98,24657.89473684
MSC,20080201,3.90,3.90,3.90,3.90,21605.55555556
MSC,20080301,3.06,3.06,3.06,3.06,81360
MSC,20080401,3.06,3.06,3.06,3.06,71331.57894737
MSC,20080501,2.86,2.86,2.86,2.86,73073.68421053
MSC,20080601,2.80,2.80,2.80,2.80,42700
MSC,20080701,2.92,2.92,2.92,2.92,5180
MSC,20080801,2.76,2.76,2.76,2.76,3231.25
MSC,20080901,2.60,2.60,2.60,2.60,6784.61538462
MSC,20081001,2.30,2.30,2.30,2.30,21427.27272727
MSC,20081101,2.20,2.20,2.20,2.20,104200
MSC,20081201,2.22,2.22,2.22,2.22,1400
MSC,20090101,2.52,2.52,2.52,2.52,1300
MSC,20090201,2.40,2.40,2.40,2.40,4900
MSC,20090301,2.30,2.30,2.30,2.30,10218.18181818
MSC,20090401,2.30,2.30,2.30,2.30,16466.66666667
MSC,20090501,2.20,2.20,2.20,2.20,14918.18181818
MSC,20090601,2.72,2.72,2.72,2.72,11620
MSC,20090701,2.40,2.40,2.40,2.40,8120
MSC,20090801,2.80,2.80,2.80,2.80,10455.55555556
MSC,20090901,2.76,2.76,2.76,2.76,28818.75
MSC,20091001,2.80,2.80,2.80,2.80,50964.28571429
MSC,20091101,3.00,3.00,3.00,3.00,49342.85714286
MSC,20091201,2.66,2.66,2.66,2.66,33628.57142857
MSC,20100101,2.78,2.78,2.78,2.78,46636.84210526
MSC,20100201,2.60,2.60,2.60,2.60,14560
MSC,20100301,2.50,2.50,2.50,2.50,20700
MSC,20100401,2.44,2.44,2.44,2.44,29533.33333333
MSC,20100501,2.46,2.46,2.46,2.46,23592.30769231
MSC,20100601,2.64,2.64,2.64,2.64,23145
MSC,20100701,2.86,2.86,2.86,2.86,52525
MSC,20100801,2.96,2.96,2.96,2.96,23011.11111111
MSC,20100901,2.82,2.82,2.82,2.82,39375
MSC,20101001,2.98,2.98,2.98,2.98,5758.82352941
MSC,20101101,2.98,2.98,2.98,2.98,28742.85714286
MSC,20101201,2.96,2.96,2.96,2.96,34168.75
MSC,20110101,2.84,2.84,2.84,2.84,29572.72727273
MSC,20110201,3.02,3.02,3.02,3.02,18050
MSC,20110301,2.98,2.98,2.98,2.98,11040.90909091
MSC,20110401,2.92,2.92,2.92,2.92,13666.66666667
MSC,20110501,3.16,3.16,3.16,3.16,23258.82352941
MSC,20110601,3.10,3.10,3.10,3.10,13735.71428571
MSC,20110701,3.18,3.18,3.18,3.18,4720
MSC,20110801,3.50,3.50,3.50,3.50,19831.25
MSC,20110901,3.18,3.18,3.18,3.18,9290.90909091
MSC,20111001,3.50,3.50,3.50,3.50,8900
MSC,20111101,3.58,3.58,3.58,3.58,8990
MSC,20111201,3.70,3.70,3.70,3.70,7125
MSC,20120101,3.70,3.70,3.70,3.70,63921.05263158
MSC,20120201,4.40,4.40,4.40,4.40,40400
MSC,20120301,4.00,4.00,4.00,4.00,90045
MSC,20120401,3.76,3.76,3.76,3.76,15213.33333333
MSC,20120501,4.00,4.00,4.00,4.00,12323.52941176
MSC,20120601,3.44,3.44,3.44,3.44,16427.77777778
MSC,20120701,3.44,3.44,3.44,3.44,35856.25
MSC,20120801,3.54,3.54,3.54,3.54,19610
MSC,20120901,3.38,3.38,3.38,3.38,22985
MSC,20121001,3.50,3.50,3.50,3.50,34395.45454545
MSC,20121101,5.05,5.05,5.05,5.05,3524390.90909091
MSC,20121201,5.25,5.25,5.25,5.25,1369922.22222222
MSC,20130101,5.75,5.75,5.75,5.75,1286427.27272727
MSC,20130201,6.30,6.30,6.30,6.30,2689847.36842105
MSC,20130301,6.05,6.05,6.05,6.05,2130423.80952381
