<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NC,20061201,2.84,2.84,2.84,2.84,3100
NC,20070101,3.30,3.30,3.30,3.30,920
NC,20070201,3.00,3.00,3.00,3.00,900
NC,20070301,3.10,3.10,3.10,3.10,3833.33333333
NC,20070401,4.00,4.00,4.00,4.00,5820
NC,20070501,3.30,3.30,3.30,3.30,55975
NC,20070601,4.00,4.00,4.00,4.00,2344.44444444
NC,20070701,3.60,3.60,3.60,3.60,685.71428571
NC,20070801,4.40,4.40,4.40,4.40,1080
NC,20070901,3.32,3.32,3.32,3.32,4275
NC,20071001,4.00,4.00,4.00,4.00,6088.88888889
NC,20071101,3.72,3.72,3.72,3.72,2638.46153846
NC,20071201,4.48,4.48,4.48,4.48,3937.5
NC,20080101,3.70,3.70,3.70,3.70,1050
NC,20080201,3.98,3.98,3.98,3.98,1257.14285714
NC,20080301,3.80,3.80,3.80,3.80,1950
NC,20080401,3.70,3.70,3.70,3.70,3550
NC,20080501,4.10,4.10,4.10,4.10,2866.66666667
NC,20080601,3.90,3.90,3.90,3.90,1558.33333333
NC,20080701,4.10,4.10,4.10,4.10,383.33333333
NC,20080801,3.90,3.90,3.90,3.90,266.66666667
NC,20080901,3.90,3.90,3.90,3.90,1800
NC,20081001,3.98,3.98,3.98,3.98,1753.84615385
NC,20081101,3.50,3.50,3.50,3.50,575
NC,20081201,3.80,3.80,3.80,3.80,200
NC,20090101,3.50,3.50,3.50,3.50,2000
NC,20090301,3.90,3.90,3.90,3.90,340
NC,20090401,4.08,4.08,4.08,4.08,3533.33333333
NC,20090501,4.00,4.00,4.00,4.00,460
NC,20090601,4.00,4.00,4.00,4.00,8533.33333333
NC,20090701,4.48,4.48,4.48,4.48,100
NC,20090801,4.90,4.90,4.90,4.90,100
NC,20090901,4.20,4.20,4.20,4.20,1060
NC,20091001,4.50,4.50,4.50,4.50,3071.42857143
NC,20091101,6.90,6.90,6.90,6.90,10445.45454545
NC,20091201,6.70,6.70,6.70,6.70,1172.22222222
NC,20100101,8.60,8.60,8.60,8.60,2505.88235294
NC,20100201,10.00,10.00,10.00,10.00,1825
NC,20100301,9.75,9.75,9.75,9.75,19344.44444444
NC,20100401,9.20,9.20,9.20,9.20,1000
NC,20100501,10.90,10.90,10.90,10.90,2925
NC,20100601,14.50,14.50,14.50,14.50,5905
NC,20100701,16.90,16.90,16.90,16.90,4061.11111111
NC,20100801,19.20,19.20,19.20,19.20,3478.94736842
NC,20100901,18.60,18.60,18.60,18.60,1807.69230769
NC,20101001,16.10,16.10,16.10,16.10,11870
NC,20101101,14.90,14.90,14.90,14.90,6918.75
NC,20101201,15.90,15.90,15.90,15.90,2060
NC,20110101,14.70,14.70,14.70,14.70,3128.57142857
NC,20110201,18.00,18.00,18.00,18.00,12236.36363636
NC,20110301,24.30,24.30,24.30,24.30,2881.25
NC,20110401,24.60,24.60,24.60,24.60,933.33333333
NC,20110501,22.80,22.80,22.80,22.80,1600
NC,20110601,20.20,20.20,20.20,20.20,1875
NC,20110701,24.20,24.20,24.20,24.20,990.90909091
NC,20110801,21.00,21.00,21.00,21.00,992.30769231
NC,20110901,20.70,20.70,20.70,20.70,1500
NC,20111001,17.00,17.00,17.00,17.00,10011.11111111
NC,20111101,20.20,20.20,20.20,20.20,7925
NC,20111201,24.00,24.00,24.00,24.00,4720
NC,20120101,22.80,22.80,22.80,22.80,2350
NC,20120201,24.80,24.80,24.80,24.80,1800
NC,20120301,22.80,22.80,22.80,22.80,2681.25
NC,20120401,23.40,23.40,23.40,23.40,1800
NC,20120501,22.00,22.00,22.00,22.00,2133.33333333
NC,20120601,23.00,23.00,23.00,23.00,1950
NC,20120701,24.70,24.70,24.70,24.70,2805.88235294
NC,20120801,23.40,23.40,23.40,23.40,5542.85714286
NC,20120901,24.00,24.00,24.00,24.00,3118.75
NC,20121001,26.50,26.50,26.50,26.50,3856.25
NC,20121101,25.50,25.50,25.50,25.50,3146.66666667
NC,20121201,24.90,24.90,24.90,24.90,5276.92307692
NC,20130101,25.00,25.00,25.00,25.00,2272.72727273
NC,20130201,25.50,25.50,25.50,25.50,4223.07692308
NC,20130301,24.40,24.40,24.40,24.40,6585
NC,20130401,24.00,24.00,24.00,24.00,2912.5
NC,20130501,22.60,22.60,22.60,22.60,3705.26315789
NC,20130601,19.70,19.70,19.70,19.70,1612.5
NC,20130701,19.00,19.00,19.00,19.00,3242.85714286
NC,20130801,18.50,18.50,18.50,18.50,3444.44444444
NC,20130901,19.40,19.40,19.40,19.40,3800
NC,20131001,19.00,19.00,19.00,19.00,1575
NC,20131101,17.60,17.60,17.60,17.60,2761.53846154
NC,20131201,18.20,18.20,18.20,18.20,200
NC,20140101,17.50,17.50,17.50,17.50,1310
NC,20140201,17.50,17.50,17.50,17.50,250
NC,20140301,18.00,18.00,18.00,18.00,1117.64705882
NC,20140401,17.50,17.50,17.50,17.50,611.11111111
NC,20140501,17.70,17.70,17.70,17.70,2008.33333333
NC,20140601,18.50,18.50,18.50,18.50,8464.28571429
NC,20140701,19.70,19.70,19.70,19.70,11343.75
NC,20140801,19.20,19.20,19.20,19.20,2408.33333333
NC,20140901,20.00,20.00,20.00,20.00,5057.14285714
NC,20141001,20.30,20.30,20.30,20.30,1080
NC,20141101,22.10,22.10,22.10,22.10,4533.33333333
NC,20141201,23.70,23.70,23.70,23.70,1223.07692308
NC,20150101,22.80,22.80,22.80,22.80,3044.44444444
NC,20150201,24.80,24.80,24.80,24.80,4212.5
NC,20150301,23.60,23.60,23.60,23.60,4480
NC,20150401,23.60,23.60,23.60,23.60,3400
NC,20150501,23.80,23.80,23.80,23.80,1066.66666667
NC,20150601,22.60,22.60,22.60,22.60,700
NC,20150701,22.50,22.50,22.50,22.50,2000
NC,20150801,22.40,22.40,22.40,22.40,2200
NC,20150901,20.00,20.00,20.00,20.00,1000
