<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NCH,20061201,2.11428571,2.11428571,2.11428571,2.11428571,null
NCH,20070101,2.76190476,2.76190476,2.76190476,2.76190476,null
NCH,20070201,2.81904762,2.81904762,2.81904762,2.81904762,null
NCH,20070301,2.87619048,2.87619048,2.87619048,2.87619048,null
NCH,20070401,2.8952381,2.8952381,2.8952381,2.8952381,null
NCH,20070501,2.87619048,2.87619048,2.87619048,2.87619048,null
NCH,20070601,2.87619048,2.87619048,2.87619048,2.87619048,null
NCH,20070701,2.83809524,2.83809524,2.83809524,2.83809524,null
NCH,20070801,2.76190476,2.76190476,2.76190476,2.76190476,null
NCH,20070901,2.81904762,2.81904762,2.81904762,2.81904762,null
NCH,20071001,2.76190476,2.76190476,2.76190476,2.76190476,null
NCH,20071101,2.76190476,2.76190476,2.76190476,2.76190476,null
NCH,20071201,2.72380952,2.72380952,2.72380952,2.72380952,null
NCH,20080101,2.64761905,2.64761905,2.64761905,2.64761905,null
NCH,20080201,2.4952381,2.4952381,2.4952381,2.4952381,null
NCH,20080301,2.45714286,2.45714286,2.45714286,2.45714286,null
NCH,20080401,2.38095238,2.38095238,2.38095238,2.38095238,null
NCH,20080501,2.15238095,2.15238095,2.15238095,2.15238095,null
NCH,20080601,2.19047619,2.19047619,2.19047619,2.19047619,null
NCH,20080701,2.20952381,2.20952381,2.20952381,2.20952381,null
NCH,20080801,2.26666667,2.26666667,2.26666667,2.26666667,null
NCH,20080901,2.26666667,2.26666667,2.26666667,2.26666667,null
NCH,20081001,2.17142857,2.17142857,2.17142857,2.17142857,null
NCH,20081101,2.00,2.00,2.00,2.00,null
NCH,20081201,1.9047619,1.9047619,1.9047619,1.9047619,null
NCH,20090101,1.84761905,1.84761905,1.84761905,1.84761905,null
NCH,20090201,1.84761905,1.84761905,1.84761905,1.84761905,null
NCH,20090301,1.83809524,1.83809524,1.83809524,1.83809524,null
NCH,20090401,1.83809524,1.83809524,1.83809524,1.83809524,null
NCH,20090501,1.9047619,1.9047619,1.9047619,1.9047619,null
NCH,20090601,1.9047619,1.9047619,1.9047619,1.9047619,null
NCH,20090701,1.9047619,1.9047619,1.9047619,1.9047619,null
NCH,20090801,2.85714286,2.85714286,2.85714286,2.85714286,null
NCH,20090901,2.45714286,2.45714286,2.45714286,2.45714286,null
NCH,20091001,2.28571429,2.28571429,2.28571429,2.28571429,null
NCH,20091101,2.38095238,2.38095238,2.38095238,2.38095238,null
NCH,20091201,2.38095238,2.38095238,2.38095238,2.38095238,null
NCH,20100101,2.28571429,2.28571429,2.28571429,2.28571429,null
NCH,20100201,2.22857143,2.22857143,2.22857143,2.22857143,null
NCH,20100301,2.26666667,2.26666667,2.26666667,2.26666667,null
NCH,20100401,2.28571429,2.28571429,2.28571429,2.28571429,null
NCH,20100501,2.22857143,2.22857143,2.22857143,2.22857143,null
NCH,20100601,2.03809524,2.03809524,2.03809524,2.03809524,null
NCH,20100701,2.03809524,2.03809524,2.03809524,2.03809524,null
NCH,20100801,2.01904762,2.01904762,2.01904762,2.01904762,null
NCH,20100901,1.85714286,1.85714286,1.85714286,1.85714286,null
NCH,20101001,1.31428571,1.31428571,1.31428571,1.31428571,null
NCH,20101101,1.06666667,1.06666667,1.06666667,1.06666667,null
NCH,20101201,1.12380952,1.12380952,1.12380952,1.12380952,null
