<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NEP,20061201,0.795,0.795,0.795,0.795,null
NEP,20070101,0.825,0.825,0.825,0.825,null
NEP,20070201,0.77,0.77,0.77,0.77,null
NEP,20070301,0.715,0.715,0.715,0.715,null
NEP,20070401,0.795,0.795,0.795,0.795,null
NEP,20070501,0.88,0.88,0.88,0.88,null
NEP,20070601,0.82,0.82,0.82,0.82,null
NEP,20070701,0.76,0.76,0.76,0.76,null
NEP,20070801,0.76,0.76,0.76,0.76,null
NEP,20070901,0.55,0.55,0.55,0.55,null
NEP,20071001,0.47,0.47,0.47,0.47,null
NEP,20071101,0.54,0.54,0.54,0.54,null
NEP,20071201,0.47,0.47,0.47,0.47,null
NEP,20080101,0.39,0.39,0.39,0.39,null
NEP,20080201,0.57,0.57,0.57,0.57,null
NEP,20080301,0.58,0.58,0.58,0.58,null
NEP,20080401,0.81,0.81,0.81,0.81,null
NEP,20080501,0.58,0.58,0.58,0.58,null
NEP,20080601,0.45,0.45,0.45,0.45,null
NEP,20080701,0.50,0.50,0.50,0.50,null
NEP,20080801,0.40,0.40,0.40,0.40,null
NEP,20080901,0.31,0.31,0.31,0.31,null
NEP,20081001,0.23,0.23,0.23,0.23,null
NEP,20081101,0.22,0.22,0.22,0.22,null
NEP,20081201,0.25,0.25,0.25,0.25,null
NEP,20090101,0.27,0.27,0.27,0.27,null
NEP,20090201,0.23,0.23,0.23,0.23,null
NEP,20090301,0.22,0.22,0.22,0.22,null
NEP,20090401,0.25,0.25,0.25,0.25,null
NEP,20090501,0.30,0.30,0.30,0.30,null
NEP,20090601,0.33,0.33,0.33,0.33,null
NEP,20090701,0.34,0.34,0.34,0.34,null
NEP,20090801,0.36,0.36,0.36,0.36,null
NEP,20090901,0.43,0.43,0.43,0.43,null
NEP,20091001,0.39,0.39,0.39,0.39,null
NEP,20091101,0.38,0.38,0.38,0.38,null
NEP,20091201,0.39,0.39,0.39,0.39,null
NEP,20100101,0.36,0.36,0.36,0.36,null
NEP,20100201,0.34,0.34,0.34,0.34,null
NEP,20100301,0.35,0.35,0.35,0.35,null
NEP,20100401,0.36,0.36,0.36,0.36,null
NEP,20100501,0.33,0.33,0.33,0.33,null
NEP,20100601,0.32,0.32,0.32,0.32,null
NEP,20100701,0.35,0.35,0.35,0.35,null
NEP,20100801,0.38,0.38,0.38,0.38,null
NEP,20100901,0.38,0.38,0.38,0.38,null
NEP,20101001,0.43,0.43,0.43,0.43,null
NEP,20101101,0.38,0.38,0.38,0.38,null
NEP,20101201,0.42,0.42,0.42,0.42,null
NEP,20110101,0.38,0.38,0.38,0.38,null
NEP,20110201,0.39,0.39,0.39,0.39,null
NEP,20110301,0.43,0.43,0.43,0.43,null
NEP,20110401,0.46,0.46,0.46,0.46,null
NEP,20110501,0.45,0.45,0.45,0.45,null
NEP,20110601,0.67,0.67,0.67,0.67,null
NEP,20110701,0.95,0.95,0.95,0.95,null
NEP,20110801,0.87,0.87,0.87,0.87,null
NEP,20110901,0.59,0.59,0.59,0.59,null
NEP,20111001,0.80,0.80,0.80,0.80,null
NEP,20111101,0.80,0.80,0.80,0.80,null
NEP,20111201,0.70,0.70,0.70,0.70,null
NEP,20120101,0.77,0.77,0.77,0.77,null
NEP,20120201,0.78,0.78,0.78,0.78,null
NEP,20120301,0.66,0.66,0.66,0.66,null
NEP,20120401,0.69,0.69,0.69,0.69,null
NEP,20120501,0.67,0.67,0.67,0.67,null
NEP,20120601,0.76,0.76,0.76,0.76,null
