<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NEW-JittaScore,20061201,3.10,3.10,3.10,3.10,null
NEW-JittaScore,20070101,3.60,3.60,3.60,3.60,null
NEW-JittaScore,20070201,3.60,3.60,3.60,3.60,null
NEW-JittaScore,20070301,3.60,3.60,3.60,3.60,null
NEW-JittaScore,20070401,1.98,1.98,1.98,1.98,null
NEW-JittaScore,20070501,1.98,1.98,1.98,1.98,null
NEW-JittaScore,20070601,1.98,1.98,1.98,1.98,null
NEW-JittaScore,20070701,1.95,1.95,1.95,1.95,null
NEW-JittaScore,20070801,1.95,1.95,1.95,1.95,null
NEW-JittaScore,20070901,1.95,1.95,1.95,1.95,null
NEW-JittaScore,20071001,2.75,2.75,2.75,2.75,null
NEW-JittaScore,20071101,2.75,2.75,2.75,2.75,null
NEW-JittaScore,20071201,2.75,2.75,2.75,2.75,null
NEW-JittaScore,20080101,2.75,2.75,2.75,2.75,null
NEW-JittaScore,20080201,2.75,2.75,2.75,2.75,null
NEW-JittaScore,20080301,2.75,2.75,2.75,2.75,null
NEW-JittaScore,20080401,3.25,3.25,3.25,3.25,null
NEW-JittaScore,20080501,3.25,3.25,3.25,3.25,null
NEW-JittaScore,20080601,3.25,3.25,3.25,3.25,null
NEW-JittaScore,20080701,3.23,3.23,3.23,3.23,null
NEW-JittaScore,20080801,3.23,3.23,3.23,3.23,null
NEW-JittaScore,20080901,3.23,3.23,3.23,3.23,null
NEW-JittaScore,20081001,2.05,2.05,2.05,2.05,null
NEW-JittaScore,20081101,2.05,2.05,2.05,2.05,null
NEW-JittaScore,20081201,2.05,2.05,2.05,2.05,null
NEW-JittaScore,20090101,2.05,2.05,2.05,2.05,null
NEW-JittaScore,20090201,2.05,2.05,2.05,2.05,null
NEW-JittaScore,20090301,2.05,2.05,2.05,2.05,null
NEW-JittaScore,20090401,1.55,1.55,1.55,1.55,null
NEW-JittaScore,20090501,1.55,1.55,1.55,1.55,null
NEW-JittaScore,20090601,1.55,1.55,1.55,1.55,null
NEW-JittaScore,20090701,1.25,1.25,1.25,1.25,null
NEW-JittaScore,20090801,1.25,1.25,1.25,1.25,null
NEW-JittaScore,20090901,1.25,1.25,1.25,1.25,null
NEW-JittaScore,20091001,1.00,1.00,1.00,1.00,null
NEW-JittaScore,20091101,1.00,1.00,1.00,1.00,null
NEW-JittaScore,20091201,1.00,1.00,1.00,1.00,null
NEW-JittaScore,20100101,2.65,2.65,2.65,2.65,null
NEW-JittaScore,20100201,2.65,2.65,2.65,2.65,null
NEW-JittaScore,20100301,2.65,2.65,2.65,2.65,null
NEW-JittaScore,20100401,2.65,2.65,2.65,2.65,null
NEW-JittaScore,20100501,2.65,2.65,2.65,2.65,null
NEW-JittaScore,20100601,2.65,2.65,2.65,2.65,null
NEW-JittaScore,20100701,2.70,2.70,2.70,2.70,null
NEW-JittaScore,20100801,2.70,2.70,2.70,2.70,null
NEW-JittaScore,20100901,2.70,2.70,2.70,2.70,null
NEW-JittaScore,20101001,0.80,0.80,0.80,0.80,null
NEW-JittaScore,20101101,0.80,0.80,0.80,0.80,null
NEW-JittaScore,20101201,0.80,0.80,0.80,0.80,null
NEW-JittaScore,20110101,1.05,1.05,1.05,1.05,null
NEW-JittaScore,20110201,1.05,1.05,1.05,1.05,null
NEW-JittaScore,20110301,1.05,1.05,1.05,1.05,null
NEW-JittaScore,20110401,1.05,1.05,1.05,1.05,null
NEW-JittaScore,20110501,1.05,1.05,1.05,1.05,null
NEW-JittaScore,20110601,1.05,1.05,1.05,1.05,null
NEW-JittaScore,20110701,1.05,1.05,1.05,1.05,null
NEW-JittaScore,20110801,1.05,1.05,1.05,1.05,null
NEW-JittaScore,20110901,1.05,1.05,1.05,1.05,null
NEW-JittaScore,20111001,0.90,0.90,0.90,0.90,null
NEW-JittaScore,20111101,0.90,0.90,0.90,0.90,null
NEW-JittaScore,20111201,0.90,0.90,0.90,0.90,null
NEW-JittaScore,20120101,0.60,0.60,0.60,0.60,null
NEW-JittaScore,20120201,0.60,0.60,0.60,0.60,null
NEW-JittaScore,20120301,0.60,0.60,0.60,0.60,null
NEW-JittaScore,20120401,0.60,0.60,0.60,0.60,null
NEW-JittaScore,20120501,0.60,0.60,0.60,0.60,null
NEW-JittaScore,20120601,0.60,0.60,0.60,0.60,null
NEW-JittaScore,20120701,0.68,0.68,0.68,0.68,null
NEW-JittaScore,20120801,0.68,0.68,0.68,0.68,null
NEW-JittaScore,20120901,0.68,0.68,0.68,0.68,null
NEW-JittaScore,20121001,1.85,1.85,1.85,1.85,null
NEW-JittaScore,20121101,1.85,1.85,1.85,1.85,null
NEW-JittaScore,20121201,1.85,1.85,1.85,1.85,null
NEW-JittaScore,20130101,3.20,3.20,3.20,3.20,null
NEW-JittaScore,20130201,3.20,3.20,3.20,3.20,null
NEW-JittaScore,20130301,3.20,3.20,3.20,3.20,null
NEW-JittaScore,20130401,3.20,3.20,3.20,3.20,null
NEW-JittaScore,20130501,3.20,3.20,3.20,3.20,null
NEW-JittaScore,20130601,3.20,3.20,3.20,3.20,null
NEW-JittaScore,20130701,3.20,3.20,3.20,3.20,null
NEW-JittaScore,20130801,3.20,3.20,3.20,3.20,null
NEW-JittaScore,20130901,3.20,3.20,3.20,3.20,null
NEW-JittaScore,20131001,3.20,3.20,3.20,3.20,null
NEW-JittaScore,20131101,3.20,3.20,3.20,3.20,null
NEW-JittaScore,20131201,3.20,3.20,3.20,3.20,null
NEW-JittaScore,20140101,3.23,3.23,3.23,3.23,null
NEW-JittaScore,20140201,3.23,3.23,3.23,3.23,null
NEW-JittaScore,20140301,3.23,3.23,3.23,3.23,null
NEW-JittaScore,20140401,3.23,3.23,3.23,3.23,null
NEW-JittaScore,20140501,3.23,3.23,3.23,3.23,null
NEW-JittaScore,20140601,3.23,3.23,3.23,3.23,null
NEW-JittaScore,20140701,3.30,3.30,3.30,3.30,null
NEW-JittaScore,20140801,3.30,3.30,3.30,3.30,null
NEW-JittaScore,20140901,3.30,3.30,3.30,3.30,null
NEW-JittaScore,20141001,3.30,3.30,3.30,3.30,null
NEW-JittaScore,20141101,3.30,3.30,3.30,3.30,null
NEW-JittaScore,20141201,3.30,3.30,3.30,3.30,null
NEW-JittaScore,20150101,4.00,4.00,4.00,4.00,null
NEW-JittaScore,20150201,4.00,4.00,4.00,4.00,null
NEW-JittaScore,20150301,4.00,4.00,4.00,4.00,null
NEW-JittaScore,20150401,4.13,4.13,4.13,4.13,null
NEW-JittaScore,20150501,4.13,4.13,4.13,4.13,null
NEW-JittaScore,20150601,4.13,4.13,4.13,4.13,null
NEW-JittaScore,20150701,3.70,3.70,3.70,3.70,null
NEW-JittaScore,20150801,3.70,3.70,3.70,3.70,null
NEW-JittaScore,20150901,3.70,3.70,3.70,3.70,null
NEW-JittaScore,20151001,4.50,4.50,4.50,4.50,null
