<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NEWS,20061201,3.05417503,3.05417503,3.05417503,3.05417503,223220.74291434
NEWS,20070101,2.95565326,2.95565326,2.95565326,2.95565326,19854.07315316
NEWS,20070201,2.77831406,2.77831406,2.77831406,2.77831406,49868.10269168
NEWS,20070301,2.79801842,2.79801842,2.79801842,2.79801842,196763.99691218
NEWS,20070401,2.81772277,2.81772277,2.81772277,2.81772277,410431.93853456
NEWS,20070501,2.42363567,2.42363567,2.42363567,2.42363567,73630.79092707
NEWS,20070601,2.38422696,2.38422696,2.38422696,2.38422696,82016.30506669
NEWS,20070701,2.3645226,2.3645226,2.3645226,2.3645226,42208.88988067
NEWS,20070801,2.64038358,2.64038358,2.64038358,2.64038358,80429.90514959
NEWS,20070901,2.46304438,2.46304438,2.46304438,2.46304438,5964.56280146
NEWS,20071001,2.3645226,2.3645226,2.3645226,2.3645226,15290.1814552
NEWS,20071101,2.40393131,2.40393131,2.40393131,2.40393131,6364.016018
NEWS,20071201,2.28570518,2.28570518,2.28570518,2.28570518,2221.95851698
NEWS,20080101,2.12807034,2.12807034,2.12807034,2.12807034,16938.35273966
NEWS,20080201,2.3645226,2.3645226,2.3645226,2.3645226,12849.07846525
NEWS,20080301,2.1477747,2.1477747,2.1477747,2.1477747,23126.67684905
NEWS,20080401,2.48274873,2.48274873,2.48274873,2.48274873,47442.20255684
NEWS,20080501,2.08866163,2.08866163,2.08866163,2.08866163,578347.22996984
NEWS,20080601,2.10836599,2.10836599,2.10836599,2.10836599,11855.20081934
NEWS,20080701,2.00984421,2.00984421,2.00984421,2.00984421,9368.99362422
NEWS,20080801,2.00984421,2.00984421,2.00984421,2.00984421,6553.5293338
NEWS,20080901,1.9704355,1.9704355,1.9704355,1.9704355,9979.19732026
NEWS,20081001,1.22167001,1.22167001,1.22167001,1.22167001,15593.65494054
NEWS,20081101,1.04433082,1.04433082,1.04433082,1.04433082,10071.92753124
NEWS,20081201,1.65516582,1.65516582,1.65516582,1.65516582,2560.13197871
NEWS,20090101,1.95073115,1.95073115,1.95073115,1.95073115,3034.30808715
NEWS,20090201,1.78324413,1.78324413,1.78324413,1.78324413,3041.29153499
NEWS,20090301,1.4482701,1.4482701,1.4482701,1.4482701,1031.92080939
NEWS,20090401,1.51723534,1.51723534,1.51723534,1.51723534,3170.65990626
NEWS,20090501,1.665018,1.665018,1.665018,1.665018,4121.63091608
NEWS,20090601,1.64531365,1.64531365,1.64531365,1.64531365,8628.18947718
NEWS,20090701,1.42856574,1.42856574,1.42856574,1.42856574,8588.24415553
NEWS,20090801,3.03447068,3.03447068,3.03447068,3.03447068,149708.40800421
NEWS,20090901,4.92608876,4.92608876,4.92608876,4.92608876,1297143.47897931
