<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NPK,20111201,34.00,34.00,34.00,34.00,59500
NPK,20120101,34.50,34.50,34.50,34.50,19742.10526316
NPK,20120201,34.50,34.50,34.50,34.50,3340
NPK,20120301,35.00,35.00,35.00,35.00,2258.82352941
NPK,20120401,36.50,36.50,36.50,36.50,4792.85714286
NPK,20120501,35.75,35.75,35.75,35.75,2184.21052632
NPK,20120601,36.00,36.00,36.00,36.00,4080
NPK,20120701,36.00,36.00,36.00,36.00,2668.75
NPK,20120801,35.00,35.00,35.00,35.00,3393.75
NPK,20120901,33.00,33.00,33.00,33.00,1113.33333333
NPK,20121001,31.00,31.00,31.00,31.00,680
NPK,20121101,33.00,33.00,33.00,33.00,2228.57142857
NPK,20121201,35.00,35.00,35.00,35.00,1528.57142857
NPK,20130101,35.50,35.50,35.50,35.50,1521.42857143
NPK,20130201,35.00,35.00,35.00,35.00,1088.88888889
NPK,20130301,36.00,36.00,36.00,36.00,14921.05263158
NPK,20130401,34.00,34.00,34.00,34.00,3926.66666667
NPK,20130501,27.00,27.00,27.00,27.00,4215.78947368
NPK,20130601,22.00,22.00,22.00,22.00,5769.23076923
NPK,20130701,23.00,23.00,23.00,23.00,1322.22222222
NPK,20130801,20.00,20.00,20.00,20.00,883.33333333
NPK,20130901,20.80,20.80,20.80,20.80,150
NPK,20131001,20.00,20.00,20.00,20.00,250
NPK,20131101,19.00,19.00,19.00,19.00,2366.66666667
NPK,20131201,20.00,20.00,20.00,20.00,783.33333333
NPK,20140101,18.70,18.70,18.70,18.70,1275
NPK,20140201,17.80,17.80,17.80,17.80,125
NPK,20140301,19.00,19.00,19.00,19.00,620
NPK,20140401,18.10,18.10,18.10,18.10,571.42857143
NPK,20140501,20.80,20.80,20.80,20.80,742.85714286
NPK,20140601,21.50,21.50,21.50,21.50,1333.33333333
NPK,20140701,20.50,20.50,20.50,20.50,2618.18181818
NPK,20140801,21.00,21.00,21.00,21.00,790
NPK,20140901,21.50,21.50,21.50,21.50,914.28571429
NPK,20141001,21.90,21.90,21.90,21.90,650
NPK,20141101,22.10,22.10,22.10,22.10,2633.33333333
NPK,20141201,23.10,23.10,23.10,23.10,2673.33333333
NPK,20150101,25.00,25.00,25.00,25.00,564.28571429
NPK,20150201,26.75,26.75,26.75,26.75,1184.61538462
NPK,20150301,23.00,23.00,23.00,23.00,185.71428571
NPK,20150401,24.90,24.90,24.90,24.90,428.57142857
NPK,20150501,24.00,24.00,24.00,24.00,350
NPK,20150601,25.50,25.50,25.50,25.50,150
NPK,20150701,23.90,23.90,23.90,23.90,200
NPK,20150801,27.75,27.75,27.75,27.75,612.5
NPK,20150901,24.90,24.90,24.90,24.90,1011.11111111
NPK,20151001,23.00,23.00,23.00,23.00,1600
NPK,20151101,21.60,21.60,21.60,21.60,24152.38095238
NPK,20151201,21.60,21.60,21.60,21.60,3070.58823529
NPK,20160101,21.10,21.10,21.10,21.10,null
NPK,20160201,20.20,20.20,20.20,20.20,null
NPK,20160301,20.50,20.50,20.50,20.50,null
NPK,20160401,20.60,20.60,20.60,20.60,null
NPK,20160501,21.40,21.40,21.40,21.40,null
