<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NWR-JittaLine,20061201,0.1185,0.1185,0.1185,0.1185,null
NWR-JittaLine,20081001,0.3885,0.3885,0.3885,0.3885,null
NWR-JittaLine,20081101,1.0658,1.0658,1.0658,1.0658,null
NWR-JittaLine,20081201,1.7431,1.7431,1.7431,1.7431,null
NWR-JittaLine,20090101,2.5037,2.5037,2.5037,2.5037,null
NWR-JittaLine,20090201,3.2644,3.2644,3.2644,3.2644,null
NWR-JittaLine,20090301,4.025,4.025,4.025,4.025,null
NWR-JittaLine,20090401,4.7857,4.7857,4.7857,4.7857,null
NWR-JittaLine,20090501,5.5464,5.5464,5.5464,5.5464,null
NWR-JittaLine,20090601,6.307,6.307,6.307,6.307,null
NWR-JittaLine,20090701,7.0677,7.0677,7.0677,7.0677,null
NWR-JittaLine,20090801,7.8283,7.8283,7.8283,7.8283,null
NWR-JittaLine,20090901,8.589,8.589,8.589,8.589,null
NWR-JittaLine,20091001,9.3497,9.3497,9.3497,9.3497,null
NWR-JittaLine,20091101,10.1103,10.1103,10.1103,10.1103,null
NWR-JittaLine,20091201,10.871,10.871,10.871,10.871,null
NWR-JittaLine,20100101,10.0318,10.0318,10.0318,10.0318,null
NWR-JittaLine,20100201,9.1925,9.1925,9.1925,9.1925,null
NWR-JittaLine,20100301,8.3533,8.3533,8.3533,8.3533,null
NWR-JittaLine,20100401,7.5141,7.5141,7.5141,7.5141,null
NWR-JittaLine,20100501,6.6748,6.6748,6.6748,6.6748,null
NWR-JittaLine,20100601,5.8356,5.8356,5.8356,5.8356,null
NWR-JittaLine,20100701,4.9964,4.9964,4.9964,4.9964,null
NWR-JittaLine,20100801,4.1571,4.1571,4.1571,4.1571,null
NWR-JittaLine,20100901,3.3179,3.3179,3.3179,3.3179,null
NWR-JittaLine,20101001,2.4787,2.4787,2.4787,2.4787,null
NWR-JittaLine,20101101,1.6395,1.6395,1.6395,1.6395,null
NWR-JittaLine,20101201,0.8002,0.8002,0.8002,0.8002,null
NWR-JittaLine,20110101,0.737,0.737,0.737,0.737,null
NWR-JittaLine,20110201,0.6737,0.6737,0.6737,0.6737,null
NWR-JittaLine,20110301,0.6105,0.6105,0.6105,0.6105,null
NWR-JittaLine,20110401,0.5472,0.5472,0.5472,0.5472,null
NWR-JittaLine,20110501,0.484,0.484,0.484,0.484,null
NWR-JittaLine,20110601,0.4208,0.4208,0.4208,0.4208,null
NWR-JittaLine,20110701,0.3575,0.3575,0.3575,0.3575,null
