<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
OCC-JittaScore,20061201,6.78,6.78,6.78,6.78,null
OCC-JittaScore,20070101,5.78,5.78,5.78,5.78,null
OCC-JittaScore,20070201,5.78,5.78,5.78,5.78,null
OCC-JittaScore,20070301,5.78,5.78,5.78,5.78,null
OCC-JittaScore,20070401,5.47,5.47,5.47,5.47,null
OCC-JittaScore,20070501,5.47,5.47,5.47,5.47,null
OCC-JittaScore,20070601,5.47,5.47,5.47,5.47,null
OCC-JittaScore,20070701,5.22,5.22,5.22,5.22,null
OCC-JittaScore,20070801,5.22,5.22,5.22,5.22,null
OCC-JittaScore,20070901,5.22,5.22,5.22,5.22,null
OCC-JittaScore,20071001,3.85,3.85,3.85,3.85,null
OCC-JittaScore,20071101,3.85,3.85,3.85,3.85,null
OCC-JittaScore,20071201,3.85,3.85,3.85,3.85,null
OCC-JittaScore,20080101,4.15,4.15,4.15,4.15,null
OCC-JittaScore,20080201,4.15,4.15,4.15,4.15,null
OCC-JittaScore,20080301,4.15,4.15,4.15,4.15,null
OCC-JittaScore,20080401,4.28,4.28,4.28,4.28,null
OCC-JittaScore,20080501,4.28,4.28,4.28,4.28,null
OCC-JittaScore,20080601,4.28,4.28,4.28,4.28,null
OCC-JittaScore,20080701,4.28,4.28,4.28,4.28,null
OCC-JittaScore,20080801,4.28,4.28,4.28,4.28,null
OCC-JittaScore,20080901,4.28,4.28,4.28,4.28,null
OCC-JittaScore,20081001,5.55,5.55,5.55,5.55,null
OCC-JittaScore,20081101,5.55,5.55,5.55,5.55,null
OCC-JittaScore,20081201,5.55,5.55,5.55,5.55,null
OCC-JittaScore,20090101,5.80,5.80,5.80,5.80,null
OCC-JittaScore,20090201,5.80,5.80,5.80,5.80,null
OCC-JittaScore,20090301,5.80,5.80,5.80,5.80,null
OCC-JittaScore,20090401,5.50,5.50,5.50,5.50,null
OCC-JittaScore,20090501,5.50,5.50,5.50,5.50,null
OCC-JittaScore,20090601,5.50,5.50,5.50,5.50,null
OCC-JittaScore,20090701,5.50,5.50,5.50,5.50,null
OCC-JittaScore,20090801,5.50,5.50,5.50,5.50,null
