<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
OCEAN-JittaScore,20130701,3.00,3.00,3.00,3.00,null
OCEAN-JittaScore,20130801,3.00,3.00,3.00,3.00,null
OCEAN-JittaScore,20130901,3.00,3.00,3.00,3.00,null
OCEAN-JittaScore,20131001,3.00,3.00,3.00,3.00,null
OCEAN-JittaScore,20131101,3.00,3.00,3.00,3.00,null
OCEAN-JittaScore,20131201,3.00,3.00,3.00,3.00,null
OCEAN-JittaScore,20140101,3.00,3.00,3.00,3.00,null
OCEAN-JittaScore,20140201,3.00,3.00,3.00,3.00,null
OCEAN-JittaScore,20140301,3.00,3.00,3.00,3.00,null
OCEAN-JittaScore,20140401,3.25,3.25,3.25,3.25,null
OCEAN-JittaScore,20140501,3.25,3.25,3.25,3.25,null
OCEAN-JittaScore,20140601,3.25,3.25,3.25,3.25,null
OCEAN-JittaScore,20140701,3.17,3.17,3.17,3.17,null
OCEAN-JittaScore,20140801,3.17,3.17,3.17,3.17,null
OCEAN-JittaScore,20140901,3.17,3.17,3.17,3.17,null
OCEAN-JittaScore,20141001,5.07,5.07,5.07,5.07,null
OCEAN-JittaScore,20141101,5.07,5.07,5.07,5.07,null
OCEAN-JittaScore,20141201,5.07,5.07,5.07,5.07,null
OCEAN-JittaScore,20150101,4.97,4.97,4.97,4.97,null
OCEAN-JittaScore,20150201,4.97,4.97,4.97,4.97,null
OCEAN-JittaScore,20150301,4.97,4.97,4.97,4.97,null
OCEAN-JittaScore,20150401,4.54,4.54,4.54,4.54,null
OCEAN-JittaScore,20150501,4.54,4.54,4.54,4.54,null
OCEAN-JittaScore,20150601,4.54,4.54,4.54,4.54,null
OCEAN-JittaScore,20150701,4.07,4.07,4.07,4.07,null
OCEAN-JittaScore,20150801,4.07,4.07,4.07,4.07,null
OCEAN-JittaScore,20150901,4.07,4.07,4.07,4.07,null
OCEAN-JittaScore,20151001,2.83,2.83,2.83,2.83,null
OCEAN-JittaScore,20151101,2.83,2.83,2.83,2.83,null
OCEAN-JittaScore,20151201,2.83,2.83,2.83,2.83,null
OCEAN-JittaScore,20160101,0.45,0.45,0.45,0.45,null
OCEAN-JittaScore,20160201,0.45,0.45,0.45,0.45,null
OCEAN-JittaScore,20160301,0.45,0.45,0.45,0.45,null
OCEAN-JittaScore,20160401,0.45,0.45,0.45,0.45,null
OCEAN-JittaScore,20160501,0.45,0.45,0.45,0.45,null
OCEAN-JittaScore,20160601,0.45,0.45,0.45,0.45,null
