<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ORI-JittaLine,20120401,0.0093,0.0093,0.0093,0.0093,null
ORI-JittaLine,20120501,0.0698,0.0698,0.0698,0.0698,null
ORI-JittaLine,20120601,0.1303,0.1303,0.1303,0.1303,null
ORI-JittaLine,20120701,0.1908,0.1908,0.1908,0.1908,null
ORI-JittaLine,20120801,0.2512,0.2512,0.2512,0.2512,null
ORI-JittaLine,20120901,0.3117,0.3117,0.3117,0.3117,null
ORI-JittaLine,20121001,0.3722,0.3722,0.3722,0.3722,null
ORI-JittaLine,20121101,0.4327,0.4327,0.4327,0.4327,null
ORI-JittaLine,20121201,0.4931,0.4931,0.4931,0.4931,null
ORI-JittaLine,20130101,0.5407,0.5407,0.5407,0.5407,null
ORI-JittaLine,20130201,0.5882,0.5882,0.5882,0.5882,null
ORI-JittaLine,20130301,0.6357,0.6357,0.6357,0.6357,null
ORI-JittaLine,20130401,0.6832,0.6832,0.6832,0.6832,null
ORI-JittaLine,20130501,0.7308,0.7308,0.7308,0.7308,null
ORI-JittaLine,20130601,0.7783,0.7783,0.7783,0.7783,null
ORI-JittaLine,20130701,0.8258,0.8258,0.8258,0.8258,null
ORI-JittaLine,20130801,0.8733,0.8733,0.8733,0.8733,null
ORI-JittaLine,20130901,0.9209,0.9209,0.9209,0.9209,null
ORI-JittaLine,20131001,0.9684,0.9684,0.9684,0.9684,null
ORI-JittaLine,20131101,1.0159,1.0159,1.0159,1.0159,null
ORI-JittaLine,20131201,1.0635,1.0635,1.0635,1.0635,null
ORI-JittaLine,20140101,1.0766,1.0766,1.0766,1.0766,null
ORI-JittaLine,20140201,1.0898,1.0898,1.0898,1.0898,null
ORI-JittaLine,20140301,1.103,1.103,1.103,1.103,null
ORI-JittaLine,20140401,1.1161,1.1161,1.1161,1.1161,null
ORI-JittaLine,20140501,1.1293,1.1293,1.1293,1.1293,null
ORI-JittaLine,20140601,1.1425,1.1425,1.1425,1.1425,null
ORI-JittaLine,20140701,1.1556,1.1556,1.1556,1.1556,null
ORI-JittaLine,20140801,1.1688,1.1688,1.1688,1.1688,null
ORI-JittaLine,20140901,1.182,1.182,1.182,1.182,null
ORI-JittaLine,20141001,1.1951,1.1951,1.1951,1.1951,null
ORI-JittaLine,20141101,1.2083,1.2083,1.2083,1.2083,null
ORI-JittaLine,20141201,1.2215,1.2215,1.2215,1.2215,null
ORI-JittaLine,20150101,1.6429,1.6429,1.6429,1.6429,null
ORI-JittaLine,20150201,2.0643,2.0643,2.0643,2.0643,null
ORI-JittaLine,20150301,2.4856,2.4856,2.4856,2.4856,null
ORI-JittaLine,20150401,2.907,2.907,2.907,2.907,null
ORI-JittaLine,20150501,3.3284,3.3284,3.3284,3.3284,null
ORI-JittaLine,20150601,3.7498,3.7498,3.7498,3.7498,null
ORI-JittaLine,20150701,4.1712,4.1712,4.1712,4.1712,null
ORI-JittaLine,20150801,4.5925,4.5925,4.5925,4.5925,null
ORI-JittaLine,20150901,5.0139,5.0139,5.0139,5.0139,null
ORI-JittaLine,20151001,5.4353,5.4353,5.4353,5.4353,null
ORI-JittaLine,20151101,5.8567,5.8567,5.8567,5.8567,null
ORI-JittaLine,20151201,6.2781,6.2781,6.2781,6.2781,null
ORI-JittaLine,20160101,6.2376,6.2376,6.2376,6.2376,null
ORI-JittaLine,20160201,6.1972,6.1972,6.1972,6.1972,null
ORI-JittaLine,20160301,6.1567,6.1567,6.1567,6.1567,null
ORI-JittaLine,20160401,6.1162,6.1162,6.1162,6.1162,null
ORI-JittaLine,20160501,6.0758,6.0758,6.0758,6.0758,null
ORI-JittaLine,20160601,6.0353,6.0353,6.0353,6.0353,null
ORI-JittaLine,20160701,5.9949,5.9949,5.9949,5.9949,null
ORI-JittaLine,20160801,5.9544,5.9544,5.9544,5.9544,null
ORI-JittaLine,20160901,5.914,5.914,5.914,5.914,null
ORI-JittaLine,20161001,5.8735,5.8735,5.8735,5.8735,null
ORI-JittaLine,20161101,5.833,5.833,5.833,5.833,null
ORI-JittaLine,20161201,5.7926,5.7926,5.7926,5.7926,null
