<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PAF-JittaLine,20061201,4.4944,4.4944,4.4944,4.4944,null
PAF-JittaLine,20070101,4.181,4.181,4.181,4.181,null
PAF-JittaLine,20070201,3.8677,3.8677,3.8677,3.8677,null
PAF-JittaLine,20070301,3.5544,3.5544,3.5544,3.5544,null
PAF-JittaLine,20070401,3.241,3.241,3.241,3.241,null
PAF-JittaLine,20070501,2.9277,2.9277,2.9277,2.9277,null
PAF-JittaLine,20070601,2.6143,2.6143,2.6143,2.6143,null
PAF-JittaLine,20070701,2.301,2.301,2.301,2.301,null
PAF-JittaLine,20070801,1.9877,1.9877,1.9877,1.9877,null
PAF-JittaLine,20070901,1.6743,1.6743,1.6743,1.6743,null
PAF-JittaLine,20071001,1.361,1.361,1.361,1.361,null
PAF-JittaLine,20071101,1.0476,1.0476,1.0476,1.0476,null
PAF-JittaLine,20071201,0.7343,0.7343,0.7343,0.7343,null
PAF-JittaLine,20080101,0.6956,0.6956,0.6956,0.6956,null
PAF-JittaLine,20080201,0.6568,0.6568,0.6568,0.6568,null
PAF-JittaLine,20080301,0.6181,0.6181,0.6181,0.6181,null
PAF-JittaLine,20080401,0.5793,0.5793,0.5793,0.5793,null
PAF-JittaLine,20080501,0.5406,0.5406,0.5406,0.5406,null
PAF-JittaLine,20080601,0.5018,0.5018,0.5018,0.5018,null
PAF-JittaLine,20080701,0.4631,0.4631,0.4631,0.4631,null
PAF-JittaLine,20080801,0.4244,0.4244,0.4244,0.4244,null
PAF-JittaLine,20080901,0.3856,0.3856,0.3856,0.3856,null
PAF-JittaLine,20081001,0.3469,0.3469,0.3469,0.3469,null
PAF-JittaLine,20081101,0.3081,0.3081,0.3081,0.3081,null
PAF-JittaLine,20081201,0.2694,0.2694,0.2694,0.2694,null
PAF-JittaLine,20090101,0.0718,0.0718,0.0718,0.0718,null
PAF-JittaLine,20150101,0.0092,0.0092,0.0092,0.0092,null
PAF-JittaLine,20150201,0.1418,0.1418,0.1418,0.1418,null
PAF-JittaLine,20150301,0.2744,0.2744,0.2744,0.2744,null
PAF-JittaLine,20150401,0.407,0.407,0.407,0.407,null
PAF-JittaLine,20150501,0.5396,0.5396,0.5396,0.5396,null
PAF-JittaLine,20150601,0.6722,0.6722,0.6722,0.6722,null
PAF-JittaLine,20150701,0.8048,0.8048,0.8048,0.8048,null
PAF-JittaLine,20150801,0.9374,0.9374,0.9374,0.9374,null
PAF-JittaLine,20150901,1.07,1.07,1.07,1.07,null
PAF-JittaLine,20151001,1.2026,1.2026,1.2026,1.2026,null
PAF-JittaLine,20151101,1.3352,1.3352,1.3352,1.3352,null
PAF-JittaLine,20151201,1.4678,1.4678,1.4678,1.4678,null
