<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PCA-JittaLine,20100101,4.7773,4.7773,4.7773,4.7773,null
PCA-JittaLine,20100201,6.737,6.737,6.737,6.737,null
PCA-JittaLine,20100301,8.6966,8.6966,8.6966,8.6966,null
PCA-JittaLine,20100401,10.6563,10.6563,10.6563,10.6563,null
PCA-JittaLine,20100501,12.6159,12.6159,12.6159,12.6159,null
PCA-JittaLine,20100601,14.5756,14.5756,14.5756,14.5756,null
PCA-JittaLine,20100701,16.5352,16.5352,16.5352,16.5352,null
PCA-JittaLine,20100801,18.4949,18.4949,18.4949,18.4949,null
PCA-JittaLine,20100901,20.4545,20.4545,20.4545,20.4545,null
PCA-JittaLine,20101001,22.4142,22.4142,22.4142,22.4142,null
PCA-JittaLine,20101101,24.3738,24.3738,24.3738,24.3738,null
PCA-JittaLine,20101201,26.3335,26.3335,26.3335,26.3335,null
PCA-JittaLine,20110101,26.6673,26.6673,26.6673,26.6673,null
PCA-JittaLine,20110201,27.0011,27.0011,27.0011,27.0011,null
PCA-JittaLine,20110301,27.3349,27.3349,27.3349,27.3349,null
PCA-JittaLine,20110401,27.6687,27.6687,27.6687,27.6687,null
PCA-JittaLine,20110501,28.0026,28.0026,28.0026,28.0026,null
PCA-JittaLine,20110601,28.3364,28.3364,28.3364,28.3364,null
PCA-JittaLine,20110701,28.6702,28.6702,28.6702,28.6702,null
PCA-JittaLine,20110801,29.004,29.004,29.004,29.004,null
PCA-JittaLine,20110901,29.3378,29.3378,29.3378,29.3378,null
PCA-JittaLine,20111001,29.6716,29.6716,29.6716,29.6716,null
PCA-JittaLine,20111101,30.0055,30.0055,30.0055,30.0055,null
PCA-JittaLine,20111201,30.3393,30.3393,30.3393,30.3393,null
PCA-JittaLine,20120101,31.4821,31.4821,31.4821,31.4821,null
PCA-JittaLine,20120201,32.6248,32.6248,32.6248,32.6248,null
PCA-JittaLine,20120301,33.7676,33.7676,33.7676,33.7676,null
PCA-JittaLine,20120401,34.9104,34.9104,34.9104,34.9104,null
PCA-JittaLine,20120501,36.0532,36.0532,36.0532,36.0532,null
PCA-JittaLine,20120601,37.196,37.196,37.196,37.196,null
PCA-JittaLine,20120701,38.3388,38.3388,38.3388,38.3388,null
PCA-JittaLine,20120801,39.4816,39.4816,39.4816,39.4816,null
PCA-JittaLine,20120901,40.6244,40.6244,40.6244,40.6244,null
PCA-JittaLine,20121001,41.7671,41.7671,41.7671,41.7671,null
PCA-JittaLine,20121101,42.9099,42.9099,42.9099,42.9099,null
PCA-JittaLine,20121201,44.0527,44.0527,44.0527,44.0527,null
PCA-JittaLine,20130101,41.1545,41.1545,41.1545,41.1545,null
PCA-JittaLine,20130201,38.2563,38.2563,38.2563,38.2563,null
PCA-JittaLine,20130301,35.3581,35.3581,35.3581,35.3581,null
PCA-JittaLine,20130401,32.4599,32.4599,32.4599,32.4599,null
PCA-JittaLine,20130501,29.5617,29.5617,29.5617,29.5617,null
PCA-JittaLine,20130601,26.6635,26.6635,26.6635,26.6635,null
PCA-JittaLine,20130701,23.7653,23.7653,23.7653,23.7653,null
PCA-JittaLine,20130801,20.8672,20.8672,20.8672,20.8672,null
PCA-JittaLine,20130901,17.969,17.969,17.969,17.969,null
PCA-JittaLine,20131001,15.0708,15.0708,15.0708,15.0708,null
PCA-JittaLine,20131101,12.1726,12.1726,12.1726,12.1726,null
PCA-JittaLine,20131201,9.2744,9.2744,9.2744,9.2744,null
PCA-JittaLine,20140101,8.7272,8.7272,8.7272,8.7272,null
PCA-JittaLine,20140201,8.18,8.18,8.18,8.18,null
PCA-JittaLine,20140301,7.6328,7.6328,7.6328,7.6328,null
PCA-JittaLine,20140401,7.0856,7.0856,7.0856,7.0856,null
PCA-JittaLine,20140501,6.5384,6.5384,6.5384,6.5384,null
PCA-JittaLine,20140601,5.9912,5.9912,5.9912,5.9912,null
PCA-JittaLine,20140701,5.444,5.444,5.444,5.444,null
PCA-JittaLine,20140801,4.8968,4.8968,4.8968,4.8968,null
PCA-JittaLine,20140901,4.3496,4.3496,4.3496,4.3496,null
PCA-JittaLine,20141001,3.8024,3.8024,3.8024,3.8024,null
PCA-JittaLine,20141101,3.2552,3.2552,3.2552,3.2552,null
PCA-JittaLine,20141201,2.708,2.708,2.708,2.708,null
PCA-JittaLine,20150101,2.691,2.691,2.691,2.691,null
PCA-JittaLine,20150201,2.6741,2.6741,2.6741,2.6741,null
PCA-JittaLine,20150301,2.6571,2.6571,2.6571,2.6571,null
PCA-JittaLine,20150401,2.6402,2.6402,2.6402,2.6402,null
PCA-JittaLine,20150501,2.6232,2.6232,2.6232,2.6232,null
PCA-JittaLine,20150601,2.6063,2.6063,2.6063,2.6063,null
PCA-JittaLine,20150701,2.5893,2.5893,2.5893,2.5893,null
PCA-JittaLine,20150801,2.5724,2.5724,2.5724,2.5724,null
PCA-JittaLine,20150901,2.5554,2.5554,2.5554,2.5554,null
PCA-JittaLine,20151001,2.5385,2.5385,2.5385,2.5385,null
PCA-JittaLine,20151101,2.5215,2.5215,2.5215,2.5215,null
PCA-JittaLine,20151201,2.5046,2.5046,2.5046,2.5046,null
