<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PG-JittaLine,20061201,27.0303,27.0303,27.0303,27.0303,null
PG-JittaLine,20070101,26.5499,26.5499,26.5499,26.5499,null
PG-JittaLine,20070201,26.0696,26.0696,26.0696,26.0696,null
PG-JittaLine,20070301,25.5892,25.5892,25.5892,25.5892,null
PG-JittaLine,20070401,25.1088,25.1088,25.1088,25.1088,null
PG-JittaLine,20070501,24.6284,24.6284,24.6284,24.6284,null
PG-JittaLine,20070601,24.1481,24.1481,24.1481,24.1481,null
PG-JittaLine,20070701,23.6677,23.6677,23.6677,23.6677,null
PG-JittaLine,20070801,23.1873,23.1873,23.1873,23.1873,null
PG-JittaLine,20070901,22.707,22.707,22.707,22.707,null
PG-JittaLine,20071001,22.2266,22.2266,22.2266,22.2266,null
PG-JittaLine,20071101,21.7462,21.7462,21.7462,21.7462,null
PG-JittaLine,20071201,21.2658,21.2658,21.2658,21.2658,null
PG-JittaLine,20080101,20.9702,20.9702,20.9702,20.9702,null
PG-JittaLine,20080201,20.6745,20.6745,20.6745,20.6745,null
PG-JittaLine,20080301,20.3788,20.3788,20.3788,20.3788,null
PG-JittaLine,20080401,20.0832,20.0832,20.0832,20.0832,null
PG-JittaLine,20080501,19.7875,19.7875,19.7875,19.7875,null
PG-JittaLine,20080601,19.4918,19.4918,19.4918,19.4918,null
PG-JittaLine,20080701,19.1962,19.1962,19.1962,19.1962,null
PG-JittaLine,20080801,18.9005,18.9005,18.9005,18.9005,null
PG-JittaLine,20080901,18.6048,18.6048,18.6048,18.6048,null
PG-JittaLine,20081001,18.3091,18.3091,18.3091,18.3091,null
PG-JittaLine,20081101,18.0135,18.0135,18.0135,18.0135,null
PG-JittaLine,20081201,17.7178,17.7178,17.7178,17.7178,null
PG-JittaLine,20090101,17.7998,17.7998,17.7998,17.7998,null
PG-JittaLine,20090201,17.8818,17.8818,17.8818,17.8818,null
PG-JittaLine,20090301,17.9638,17.9638,17.9638,17.9638,null
PG-JittaLine,20090401,18.0458,18.0458,18.0458,18.0458,null
PG-JittaLine,20090501,18.1278,18.1278,18.1278,18.1278,null
PG-JittaLine,20090601,18.2098,18.2098,18.2098,18.2098,null
PG-JittaLine,20090701,18.2918,18.2918,18.2918,18.2918,null
PG-JittaLine,20090801,18.3738,18.3738,18.3738,18.3738,null
PG-JittaLine,20090901,18.4558,18.4558,18.4558,18.4558,null
PG-JittaLine,20091001,18.5378,18.5378,18.5378,18.5378,null
PG-JittaLine,20091101,18.6198,18.6198,18.6198,18.6198,null
PG-JittaLine,20091201,18.7018,18.7018,18.7018,18.7018,null
PG-JittaLine,20100101,18.5908,18.5908,18.5908,18.5908,null
PG-JittaLine,20100201,18.4797,18.4797,18.4797,18.4797,null
PG-JittaLine,20100301,18.3687,18.3687,18.3687,18.3687,null
PG-JittaLine,20100401,18.2576,18.2576,18.2576,18.2576,null
PG-JittaLine,20100501,18.1466,18.1466,18.1466,18.1466,null
PG-JittaLine,20100601,18.0355,18.0355,18.0355,18.0355,null
PG-JittaLine,20100701,17.9245,17.9245,17.9245,17.9245,null
PG-JittaLine,20100801,17.8134,17.8134,17.8134,17.8134,null
PG-JittaLine,20100901,17.7024,17.7024,17.7024,17.7024,null
PG-JittaLine,20101001,17.5914,17.5914,17.5914,17.5914,null
PG-JittaLine,20101101,17.4803,17.4803,17.4803,17.4803,null
PG-JittaLine,20101201,17.3693,17.3693,17.3693,17.3693,null
PG-JittaLine,20110101,17.225,17.225,17.225,17.225,null
PG-JittaLine,20110201,17.0808,17.0808,17.0808,17.0808,null
PG-JittaLine,20110301,16.9366,16.9366,16.9366,16.9366,null
PG-JittaLine,20110401,16.7924,16.7924,16.7924,16.7924,null
PG-JittaLine,20110501,16.6481,16.6481,16.6481,16.6481,null
PG-JittaLine,20110601,16.5039,16.5039,16.5039,16.5039,null
PG-JittaLine,20110701,16.3597,16.3597,16.3597,16.3597,null
PG-JittaLine,20110801,16.2155,16.2155,16.2155,16.2155,null
PG-JittaLine,20110901,16.0713,16.0713,16.0713,16.0713,null
PG-JittaLine,20111001,15.927,15.927,15.927,15.927,null
PG-JittaLine,20111101,15.7828,15.7828,15.7828,15.7828,null
PG-JittaLine,20111201,15.6386,15.6386,15.6386,15.6386,null
PG-JittaLine,20120101,15.4223,15.4223,15.4223,15.4223,null
PG-JittaLine,20120201,15.2059,15.2059,15.2059,15.2059,null
PG-JittaLine,20120301,14.9896,14.9896,14.9896,14.9896,null
PG-JittaLine,20120401,14.7733,14.7733,14.7733,14.7733,null
PG-JittaLine,20120501,14.5569,14.5569,14.5569,14.5569,null
PG-JittaLine,20120601,14.3406,14.3406,14.3406,14.3406,null
PG-JittaLine,20120701,14.1243,14.1243,14.1243,14.1243,null
PG-JittaLine,20120801,13.908,13.908,13.908,13.908,null
PG-JittaLine,20120901,13.6916,13.6916,13.6916,13.6916,null
PG-JittaLine,20121001,13.4753,13.4753,13.4753,13.4753,null
PG-JittaLine,20121101,13.259,13.259,13.259,13.259,null
PG-JittaLine,20121201,13.0426,13.0426,13.0426,13.0426,null
PG-JittaLine,20130101,12.797,12.797,12.797,12.797,null
PG-JittaLine,20130201,12.5513,12.5513,12.5513,12.5513,null
PG-JittaLine,20130301,12.3057,12.3057,12.3057,12.3057,null
PG-JittaLine,20130401,12.06,12.06,12.06,12.06,null
PG-JittaLine,20130501,11.8144,11.8144,11.8144,11.8144,null
PG-JittaLine,20130601,11.5687,11.5687,11.5687,11.5687,null
PG-JittaLine,20130701,11.3231,11.3231,11.3231,11.3231,null
PG-JittaLine,20130801,11.0774,11.0774,11.0774,11.0774,null
PG-JittaLine,20130901,10.8318,10.8318,10.8318,10.8318,null
PG-JittaLine,20131001,10.5861,10.5861,10.5861,10.5861,null
PG-JittaLine,20131101,10.3405,10.3405,10.3405,10.3405,null
PG-JittaLine,20131201,10.0948,10.0948,10.0948,10.0948,null
PG-JittaLine,20140101,9.9103,9.9103,9.9103,9.9103,null
PG-JittaLine,20140201,9.7258,9.7258,9.7258,9.7258,null
PG-JittaLine,20140301,9.5413,9.5413,9.5413,9.5413,null
PG-JittaLine,20140401,9.3567,9.3567,9.3567,9.3567,null
PG-JittaLine,20140501,9.1722,9.1722,9.1722,9.1722,null
PG-JittaLine,20140601,8.9877,8.9877,8.9877,8.9877,null
PG-JittaLine,20140701,8.8032,8.8032,8.8032,8.8032,null
PG-JittaLine,20140801,8.6187,8.6187,8.6187,8.6187,null
PG-JittaLine,20140901,8.4341,8.4341,8.4341,8.4341,null
PG-JittaLine,20141001,8.2496,8.2496,8.2496,8.2496,null
PG-JittaLine,20141101,8.0651,8.0651,8.0651,8.0651,null
PG-JittaLine,20141201,7.8806,7.8806,7.8806,7.8806,null
PG-JittaLine,20150101,7.5775,7.5775,7.5775,7.5775,null
PG-JittaLine,20150201,7.2744,7.2744,7.2744,7.2744,null
PG-JittaLine,20150301,6.9713,6.9713,6.9713,6.9713,null
PG-JittaLine,20150401,6.6682,6.6682,6.6682,6.6682,null
PG-JittaLine,20150501,6.3651,6.3651,6.3651,6.3651,null
PG-JittaLine,20150601,6.062,6.062,6.062,6.062,null
PG-JittaLine,20150701,5.7589,5.7589,5.7589,5.7589,null
PG-JittaLine,20150801,5.4558,5.4558,5.4558,5.4558,null
PG-JittaLine,20150901,5.1527,5.1527,5.1527,5.1527,null
PG-JittaLine,20151001,4.8496,4.8496,4.8496,4.8496,null
PG-JittaLine,20151101,4.5465,4.5465,4.5465,4.5465,null
PG-JittaLine,20151201,4.2434,4.2434,4.2434,4.2434,null
PG-JittaLine,20160101,4.1373,4.1373,4.1373,4.1373,null
PG-JittaLine,20160201,4.0312,4.0312,4.0312,4.0312,null
PG-JittaLine,20160301,3.9251,3.9251,3.9251,3.9251,null
PG-JittaLine,20160401,3.8191,3.8191,3.8191,3.8191,null
PG-JittaLine,20160501,3.713,3.713,3.713,3.713,null
PG-JittaLine,20160601,3.6069,3.6069,3.6069,3.6069,null
PG-JittaLine,20160701,3.5008,3.5008,3.5008,3.5008,null
PG-JittaLine,20160801,3.3947,3.3947,3.3947,3.3947,null
PG-JittaLine,20160901,3.2886,3.2886,3.2886,3.2886,null
PG-JittaLine,20161001,3.1826,3.1826,3.1826,3.1826,null
PG-JittaLine,20161101,3.0765,3.0765,3.0765,3.0765,null
PG-JittaLine,20161201,2.9704,2.9704,2.9704,2.9704,null
