<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PG-JittaScore,20061201,8.13,8.13,8.13,8.13,null
PG-JittaScore,20070101,6.72,6.72,6.72,6.72,null
PG-JittaScore,20070201,6.72,6.72,6.72,6.72,null
PG-JittaScore,20070301,6.72,6.72,6.72,6.72,null
PG-JittaScore,20070401,6.78,6.78,6.78,6.78,null
PG-JittaScore,20070501,6.78,6.78,6.78,6.78,null
PG-JittaScore,20070601,6.78,6.78,6.78,6.78,null
PG-JittaScore,20070701,6.78,6.78,6.78,6.78,null
PG-JittaScore,20070801,6.78,6.78,6.78,6.78,null
PG-JittaScore,20070901,6.78,6.78,6.78,6.78,null
PG-JittaScore,20071001,8.00,8.00,8.00,8.00,null
PG-JittaScore,20071101,8.00,8.00,8.00,8.00,null
PG-JittaScore,20071201,8.00,8.00,8.00,8.00,null
PG-JittaScore,20080101,5.10,5.10,5.10,5.10,null
PG-JittaScore,20080201,5.10,5.10,5.10,5.10,null
PG-JittaScore,20080301,5.10,5.10,5.10,5.10,null
PG-JittaScore,20080401,4.55,4.55,4.55,4.55,null
PG-JittaScore,20080501,4.55,4.55,4.55,4.55,null
PG-JittaScore,20080601,4.55,4.55,4.55,4.55,null
PG-JittaScore,20080701,4.55,4.55,4.55,4.55,null
PG-JittaScore,20080801,4.55,4.55,4.55,4.55,null
PG-JittaScore,20080901,4.55,4.55,4.55,4.55,null
PG-JittaScore,20081001,3.60,3.60,3.60,3.60,null
PG-JittaScore,20081101,3.60,3.60,3.60,3.60,null
PG-JittaScore,20081201,3.60,3.60,3.60,3.60,null
PG-JittaScore,20090101,4.00,4.00,4.00,4.00,null
PG-JittaScore,20090201,4.00,4.00,4.00,4.00,null
PG-JittaScore,20090301,4.00,4.00,4.00,4.00,null
PG-JittaScore,20090401,3.80,3.80,3.80,3.80,null
PG-JittaScore,20090501,3.80,3.80,3.80,3.80,null
PG-JittaScore,20090601,3.80,3.80,3.80,3.80,null
PG-JittaScore,20090701,3.75,3.75,3.75,3.75,null
PG-JittaScore,20090801,3.75,3.75,3.75,3.75,null
PG-JittaScore,20090901,3.75,3.75,3.75,3.75,null
PG-JittaScore,20091001,3.50,3.50,3.50,3.50,null
PG-JittaScore,20091101,3.50,3.50,3.50,3.50,null
PG-JittaScore,20091201,3.50,3.50,3.50,3.50,null
PG-JittaScore,20100101,4.00,4.00,4.00,4.00,null
PG-JittaScore,20100201,4.00,4.00,4.00,4.00,null
PG-JittaScore,20100301,4.00,4.00,4.00,4.00,null
PG-JittaScore,20100401,3.45,3.45,3.45,3.45,null
PG-JittaScore,20100501,3.45,3.45,3.45,3.45,null
PG-JittaScore,20100601,3.45,3.45,3.45,3.45,null
PG-JittaScore,20100701,3.45,3.45,3.45,3.45,null
PG-JittaScore,20100801,3.45,3.45,3.45,3.45,null
PG-JittaScore,20100901,3.45,3.45,3.45,3.45,null
PG-JittaScore,20101001,2.05,2.05,2.05,2.05,null
PG-JittaScore,20101101,2.05,2.05,2.05,2.05,null
PG-JittaScore,20101201,2.05,2.05,2.05,2.05,null
PG-JittaScore,20110101,3.50,3.50,3.50,3.50,null
PG-JittaScore,20110201,3.50,3.50,3.50,3.50,null
PG-JittaScore,20110301,3.50,3.50,3.50,3.50,null
PG-JittaScore,20110401,3.75,3.75,3.75,3.75,null
PG-JittaScore,20110501,3.75,3.75,3.75,3.75,null
PG-JittaScore,20110601,3.75,3.75,3.75,3.75,null
PG-JittaScore,20110701,3.67,3.67,3.67,3.67,null
PG-JittaScore,20110801,3.67,3.67,3.67,3.67,null
PG-JittaScore,20110901,3.67,3.67,3.67,3.67,null
PG-JittaScore,20111001,2.55,2.55,2.55,2.55,null
PG-JittaScore,20111101,2.55,2.55,2.55,2.55,null
PG-JittaScore,20111201,2.55,2.55,2.55,2.55,null
PG-JittaScore,20120101,3.50,3.50,3.50,3.50,null
PG-JittaScore,20120201,3.50,3.50,3.50,3.50,null
PG-JittaScore,20120301,3.50,3.50,3.50,3.50,null
PG-JittaScore,20120401,3.35,3.35,3.35,3.35,null
PG-JittaScore,20120501,3.35,3.35,3.35,3.35,null
PG-JittaScore,20120601,3.35,3.35,3.35,3.35,null
PG-JittaScore,20120701,3.33,3.33,3.33,3.33,null
PG-JittaScore,20120801,3.33,3.33,3.33,3.33,null
PG-JittaScore,20120901,3.33,3.33,3.33,3.33,null
PG-JittaScore,20121001,4.10,4.10,4.10,4.10,null
PG-JittaScore,20121101,4.10,4.10,4.10,4.10,null
PG-JittaScore,20121201,4.10,4.10,4.10,4.10,null
PG-JittaScore,20130101,4.00,4.00,4.00,4.00,null
PG-JittaScore,20130201,4.00,4.00,4.00,4.00,null
PG-JittaScore,20130301,4.00,4.00,4.00,4.00,null
PG-JittaScore,20130401,3.45,3.45,3.45,3.45,null
PG-JittaScore,20130501,3.45,3.45,3.45,3.45,null
PG-JittaScore,20130601,3.45,3.45,3.45,3.45,null
PG-JittaScore,20130701,3.45,3.45,3.45,3.45,null
PG-JittaScore,20130801,3.45,3.45,3.45,3.45,null
PG-JittaScore,20130901,3.45,3.45,3.45,3.45,null
PG-JittaScore,20131001,4.15,4.15,4.15,4.15,null
PG-JittaScore,20131101,4.15,4.15,4.15,4.15,null
PG-JittaScore,20131201,4.15,4.15,4.15,4.15,null
PG-JittaScore,20140101,3.50,3.50,3.50,3.50,null
PG-JittaScore,20140201,3.50,3.50,3.50,3.50,null
PG-JittaScore,20140301,3.50,3.50,3.50,3.50,null
PG-JittaScore,20140401,3.25,3.25,3.25,3.25,null
PG-JittaScore,20140501,3.25,3.25,3.25,3.25,null
PG-JittaScore,20140601,3.25,3.25,3.25,3.25,null
PG-JittaScore,20140701,3.67,3.67,3.67,3.67,null
PG-JittaScore,20140801,3.67,3.67,3.67,3.67,null
PG-JittaScore,20140901,3.67,3.67,3.67,3.67,null
PG-JittaScore,20141001,3.95,3.95,3.95,3.95,null
PG-JittaScore,20141101,3.95,3.95,3.95,3.95,null
PG-JittaScore,20141201,3.95,3.95,3.95,3.95,null
PG-JittaScore,20150101,3.75,3.75,3.75,3.75,null
PG-JittaScore,20150201,3.75,3.75,3.75,3.75,null
PG-JittaScore,20150301,3.75,3.75,3.75,3.75,null
PG-JittaScore,20150401,3.83,3.83,3.83,3.83,null
PG-JittaScore,20150501,3.83,3.83,3.83,3.83,null
PG-JittaScore,20150601,3.83,3.83,3.83,3.83,null
PG-JittaScore,20150701,3.50,3.50,3.50,3.50,null
PG-JittaScore,20150801,3.50,3.50,3.50,3.50,null
PG-JittaScore,20150901,3.50,3.50,3.50,3.50,null
PG-JittaScore,20151001,2.55,2.55,2.55,2.55,null
PG-JittaScore,20151101,2.55,2.55,2.55,2.55,null
PG-JittaScore,20151201,2.55,2.55,2.55,2.55,null
PG-JittaScore,20160101,2.55,2.55,2.55,2.55,null
PG-JittaScore,20160201,2.55,2.55,2.55,2.55,null
PG-JittaScore,20160301,2.55,2.55,2.55,2.55,null
PG-JittaScore,20160401,2.00,2.00,2.00,2.00,null
PG-JittaScore,20160501,2.00,2.00,2.00,2.00,null
PG-JittaScore,20160601,2.00,2.00,2.00,2.00,null
