<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PICO-JittaScore,20061201,6.25,6.25,6.25,6.25,null
PICO-JittaScore,20070101,6.50,6.50,6.50,6.50,null
PICO-JittaScore,20070201,6.50,6.50,6.50,6.50,null
PICO-JittaScore,20070301,6.50,6.50,6.50,6.50,null
PICO-JittaScore,20070401,6.50,6.50,6.50,6.50,null
PICO-JittaScore,20070501,6.50,6.50,6.50,6.50,null
PICO-JittaScore,20070601,6.50,6.50,6.50,6.50,null
PICO-JittaScore,20070701,6.65,6.65,6.65,6.65,null
PICO-JittaScore,20070801,6.65,6.65,6.65,6.65,null
PICO-JittaScore,20070901,6.65,6.65,6.65,6.65,null
PICO-JittaScore,20071001,4.95,4.95,4.95,4.95,null
PICO-JittaScore,20071101,4.95,4.95,4.95,4.95,null
PICO-JittaScore,20071201,4.95,4.95,4.95,4.95,null
PICO-JittaScore,20080101,4.65,4.65,4.65,4.65,null
PICO-JittaScore,20080201,4.65,4.65,4.65,4.65,null
PICO-JittaScore,20080301,4.65,4.65,4.65,4.65,null
PICO-JittaScore,20080401,4.40,4.40,4.40,4.40,null
PICO-JittaScore,20080501,4.40,4.40,4.40,4.40,null
PICO-JittaScore,20080601,4.40,4.40,4.40,4.40,null
PICO-JittaScore,20080701,4.88,4.88,4.88,4.88,null
PICO-JittaScore,20080801,4.88,4.88,4.88,4.88,null
PICO-JittaScore,20080901,4.88,4.88,4.88,4.88,null
PICO-JittaScore,20081001,6.00,6.00,6.00,6.00,null
PICO-JittaScore,20081101,6.00,6.00,6.00,6.00,null
PICO-JittaScore,20081201,6.00,6.00,6.00,6.00,null
PICO-JittaScore,20090101,5.30,5.30,5.30,5.30,null
PICO-JittaScore,20090201,5.30,5.30,5.30,5.30,null
PICO-JittaScore,20090301,5.30,5.30,5.30,5.30,null
PICO-JittaScore,20090401,5.30,5.30,5.30,5.30,null
PICO-JittaScore,20090501,5.30,5.30,5.30,5.30,null
PICO-JittaScore,20090601,5.30,5.30,5.30,5.30,null
