<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PLANB,20150201,4.48,4.48,4.48,4.48,295724066.666667
PLANB,20150301,4.46,4.46,4.46,4.46,16575866.6666667
PLANB,20150401,5.05,5.05,5.05,5.05,44871777.7777778
PLANB,20150501,5.30,5.30,5.30,5.30,29585211.1111111
PLANB,20150601,5.60,5.60,5.60,5.60,26916533.3333333
PLANB,20150701,5.95,5.95,5.95,5.95,24013252.3809524
PLANB,20150801,5.85,5.85,5.85,5.85,8039570
PLANB,20150901,5.75,5.75,5.75,5.75,5062681.81818182
PLANB,20151001,6.30,6.30,6.30,6.30,12296004.7619048
PLANB,20151101,6.95,6.95,6.95,6.95,15407847.6190476
PLANB,20151201,7.10,7.10,7.10,7.10,6637680
PLANB,20160101,6.05,6.05,6.05,6.05,null
PLANB,20160201,5.80,5.80,5.80,5.80,null
PLANB,20160301,6.60,6.60,6.60,6.60,null
PLANB,20160401,6.65,6.65,6.65,6.65,null
PLANB,20160501,6.30,6.30,6.30,6.30,null
