<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PLAT-JittaScore,20150101,3.70,3.70,3.70,3.70,null
PLAT-JittaScore,20150201,3.70,3.70,3.70,3.70,null
PLAT-JittaScore,20150301,3.70,3.70,3.70,3.70,null
PLAT-JittaScore,20150401,3.95,3.95,3.95,3.95,null
PLAT-JittaScore,20150501,3.95,3.95,3.95,3.95,null
PLAT-JittaScore,20150601,3.95,3.95,3.95,3.95,null
PLAT-JittaScore,20150701,3.95,3.95,3.95,3.95,null
PLAT-JittaScore,20150801,3.95,3.95,3.95,3.95,null
PLAT-JittaScore,20150901,3.95,3.95,3.95,3.95,null
PLAT-JittaScore,20151001,3.95,3.95,3.95,3.95,null
PLAT-JittaScore,20151101,3.95,3.95,3.95,3.95,null
PLAT-JittaScore,20151201,3.95,3.95,3.95,3.95,null
PLAT-JittaScore,20160101,4.70,4.70,4.70,4.70,null
PLAT-JittaScore,20160201,4.70,4.70,4.70,4.70,null
PLAT-JittaScore,20160301,4.70,4.70,4.70,4.70,null
PLAT-JittaScore,20160401,4.83,4.83,4.83,4.83,null
PLAT-JittaScore,20160501,4.83,4.83,4.83,4.83,null
PLAT-JittaScore,20160601,4.83,4.83,4.83,4.83,null
