<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PM,20080501,2.72,2.72,2.72,2.72,44791600
PM,20080601,2.02,2.02,2.02,2.02,10893414.2857143
PM,20080701,1.85,1.85,1.85,1.85,6201538.0952381
PM,20080801,1.57,1.57,1.57,1.57,4393900
PM,20080901,1.29,1.29,1.29,1.29,5519859.09090909
PM,20081001,0.76,0.76,0.76,0.76,8035872.72727273
PM,20081101,0.74,0.74,0.74,0.74,7742855
PM,20081201,1.06,1.06,1.06,1.06,6501715
PM,20090101,1.09,1.09,1.09,1.09,10126895
PM,20090201,1.06,1.06,1.06,1.06,17902905.2631579
PM,20090301,1.01,1.01,1.01,1.01,8053222.72727273
PM,20090401,1.15,1.15,1.15,1.15,7382205.55555556
PM,20090501,1.52,1.52,1.52,1.52,5220138.88888889
PM,20090601,1.44,1.44,1.44,1.44,1250222.72727273
PM,20090701,1.66,1.66,1.66,1.66,577105
PM,20090801,1.84,1.84,1.84,1.84,1169575
PM,20090901,1.97,1.97,1.97,1.97,3240122.72727273
PM,20091001,1.92,1.92,1.92,1.92,1074847.61904762
PM,20091101,2.16,2.16,2.16,2.16,4005971.42857143
PM,20091201,2.20,2.20,2.20,2.20,1015900
PM,20100101,2.22,2.22,2.22,2.22,1384330
PM,20100201,2.34,2.34,2.34,2.34,1335545
PM,20100301,2.36,2.36,2.36,2.36,968690.90909091
PM,20100401,2.26,2.26,2.26,2.26,810961.11111111
PM,20100501,1.99,1.99,1.99,1.99,2296737.5
PM,20100601,2.38,2.38,2.38,2.38,2923690.90909091
PM,20100701,2.50,2.50,2.50,2.50,3386440
PM,20100801,2.68,2.68,2.68,2.68,12328140
PM,20100901,2.56,2.56,2.56,2.56,4368063.63636364
PM,20101001,2.50,2.50,2.50,2.50,2728930
PM,20101101,2.44,2.44,2.44,2.44,3223927.27272727
PM,20101201,2.46,2.46,2.46,2.46,1245240
PM,20110101,2.38,2.38,2.38,2.38,5112175
PM,20110201,2.44,2.44,2.44,2.44,2690768.42105263
PM,20110301,2.48,2.48,2.48,2.48,1830300
PM,20110401,2.54,2.54,2.54,2.54,2214076.47058824
PM,20110501,2.44,2.44,2.44,2.44,2688550
PM,20110601,2.46,2.46,2.46,2.46,1614777.27272727
PM,20110701,2.72,2.72,2.72,2.72,7399600
PM,20110801,2.62,2.62,2.62,2.62,4167331.81818182
PM,20110901,2.18,2.18,2.18,2.18,1009927.27272727
PM,20111001,2.28,2.28,2.28,2.28,1335455
PM,20111101,2.68,2.68,2.68,2.68,2486731.81818182
PM,20111201,2.70,2.70,2.70,2.70,1142340
PM,20120101,3.22,3.22,3.22,3.22,9304375
PM,20120201,4.52,4.52,4.52,4.52,10585485.7142857
PM,20120301,4.04,4.04,4.04,4.04,9627147.61904762
PM,20120401,4.84,4.84,4.84,4.84,6860405.88235294
PM,20120501,5.30,5.30,5.30,5.30,17293680.952381
PM,20120601,5.70,5.70,5.70,5.70,6482560
PM,20120701,5.70,5.70,5.70,5.70,2536231.81818182
PM,20120801,5.60,5.60,5.60,5.60,4477428.57142857
PM,20120901,5.60,5.60,5.60,5.60,1556660
PM,20121001,5.50,5.50,5.50,5.50,2618650
PM,20121101,6.90,6.90,6.90,6.90,5248872.72727273
PM,20121201,7.35,7.35,7.35,7.35,2461577.77777778
PM,20130101,8.75,8.75,8.75,8.75,3334818.18181818
PM,20130201,9.55,9.55,9.55,9.55,3330894.73684211
PM,20130301,10.50,10.50,10.50,10.50,10342752.3809524
PM,20130401,11.50,11.50,11.50,11.50,11671689.4736842
PM,20130501,11.30,11.30,11.30,11.30,3207685
PM,20130601,9.80,9.80,9.80,9.80,2639765
PM,20130701,9.95,9.95,9.95,9.95,1083223.80952381
PM,20130801,8.70,8.70,8.70,8.70,1082761.9047619
PM,20130901,8.55,8.55,8.55,8.55,1977819.04761905
PM,20131001,8.60,8.60,8.60,8.60,915768.18181818
PM,20131101,7.70,7.70,7.70,7.70,1006652.38095238
PM,20131201,7.30,7.30,7.30,7.30,764572.22222222
PM,20140101,7.80,7.80,7.80,7.80,1449745.45454545
PM,20140201,8.00,8.00,8.00,8.00,846842.10526316
PM,20140301,8.60,8.60,8.60,8.60,1044338.0952381
PM,20140401,9.30,9.30,9.30,9.30,1038878.94736842
PM,20140501,9.60,9.60,9.60,9.60,699310.52631579
PM,20140601,10.10,10.10,10.10,10.10,591619.04761905
PM,20140701,10.40,10.40,10.40,10.40,712585.71428571
PM,20140801,10.00,10.00,10.00,10.00,552784.21052632
PM,20140901,9.85,9.85,9.85,9.85,533459.09090909
PM,20141001,9.65,9.65,9.65,9.65,245736.36363636
PM,20141101,9.45,9.45,9.45,9.45,482270
PM,20141201,9.00,9.00,9.00,9.00,1261745
PM,20150101,9.60,9.60,9.60,9.60,1923185
PM,20150201,9.85,9.85,9.85,9.85,545060
PM,20150301,10.20,10.20,10.20,10.20,405685.71428571
PM,20150401,10.00,10.00,10.00,10.00,1293505.55555556
PM,20150501,10.50,10.50,10.50,10.50,722333.33333333
PM,20150601,10.30,10.30,10.30,10.30,345890.47619048
PM,20150701,10.10,10.10,10.10,10.10,192514.28571429
PM,20150801,9.70,9.70,9.70,9.70,376515
PM,20150901,9.90,9.90,9.90,9.90,171545.45454546
PM,20151001,10.20,10.20,10.20,10.20,181733.33333333
PM,20151101,10.20,10.20,10.20,10.20,230285.71428571
PM,20151201,10.50,10.50,10.50,10.50,342690
PM,20160101,10.10,10.10,10.10,10.10,null
PM,20160201,9.70,9.70,9.70,9.70,null
PM,20160301,9.95,9.95,9.95,9.95,null
PM,20160401,9.75,9.75,9.75,9.75,null
PM,20160501,9.65,9.65,9.65,9.65,null
