<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PMTA-JittaScore,20150101,6.03,6.03,6.03,6.03,null
PMTA-JittaScore,20150201,6.03,6.03,6.03,6.03,null
PMTA-JittaScore,20150301,6.03,6.03,6.03,6.03,null
PMTA-JittaScore,20150401,5.60,5.60,5.60,5.60,null
PMTA-JittaScore,20150501,5.60,5.60,5.60,5.60,null
PMTA-JittaScore,20150601,5.60,5.60,5.60,5.60,null
PMTA-JittaScore,20150701,5.60,5.60,5.60,5.60,null
PMTA-JittaScore,20150801,5.60,5.60,5.60,5.60,null
PMTA-JittaScore,20150901,5.60,5.60,5.60,5.60,null
PMTA-JittaScore,20151001,5.60,5.60,5.60,5.60,null
PMTA-JittaScore,20151101,5.60,5.60,5.60,5.60,null
PMTA-JittaScore,20151201,5.60,5.60,5.60,5.60,null
PMTA-JittaScore,20160101,5.45,5.45,5.45,5.45,null
PMTA-JittaScore,20160201,5.45,5.45,5.45,5.45,null
PMTA-JittaScore,20160301,5.45,5.45,5.45,5.45,null
PMTA-JittaScore,20160401,5.45,5.45,5.45,5.45,null
PMTA-JittaScore,20160501,5.45,5.45,5.45,5.45,null
PMTA-JittaScore,20160601,5.45,5.45,5.45,5.45,null
