<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
POST,20061201,6.20,6.20,6.20,6.20,null
POST,20070101,6.50,6.50,6.50,6.50,null
POST,20070201,6.30,6.30,6.30,6.30,null
POST,20070301,7.25,7.25,7.25,7.25,null
POST,20070401,6.25,6.25,6.25,6.25,null
POST,20070501,6.10,6.10,6.10,6.10,null
POST,20070601,7.05,7.05,7.05,7.05,null
POST,20070701,6.50,6.50,6.50,6.50,null
POST,20070801,6.25,6.25,6.25,6.25,null
POST,20070901,5.25,5.25,5.25,5.25,null
POST,20071001,5.20,5.20,5.20,5.20,null
POST,20071101,4.98,4.98,4.98,4.98,null
POST,20071201,5.10,5.10,5.10,5.10,null
POST,20080101,4.50,4.50,4.50,4.50,null
POST,20080201,5.40,5.40,5.40,5.40,null
POST,20080301,5.70,5.70,5.70,5.70,null
POST,20080401,5.80,5.80,5.80,5.80,null
POST,20080501,4.50,4.50,4.50,4.50,null
POST,20080601,5.80,5.80,5.80,5.80,null
POST,20080701,5.00,5.00,5.00,5.00,null
POST,20080801,4.50,4.50,4.50,4.50,null
POST,20080901,4.70,4.70,4.70,4.70,null
POST,20081001,5.25,5.25,5.25,5.25,null
POST,20081101,5.65,5.65,5.65,5.65,null
POST,20081201,5.90,5.90,5.90,5.90,null
POST,20090201,4.56,4.56,4.56,4.56,null
POST,20090301,5.55,5.55,5.55,5.55,null
POST,20090601,5.00,5.00,5.00,5.00,null
POST,20090701,4.90,4.90,4.90,4.90,null
POST,20090801,4.90,4.90,4.90,4.90,null
POST,20090901,4.88,4.88,4.88,4.88,null
POST,20091001,4.90,4.90,4.90,4.90,null
POST,20091101,5.10,5.10,5.10,5.10,null
POST,20091201,4.70,4.70,4.70,4.70,null
POST,20100101,4.70,4.70,4.70,4.70,null
POST,20100201,4.70,4.70,4.70,4.70,null
POST,20100301,4.50,4.50,4.50,4.50,null
POST,20100401,4.90,4.90,4.90,4.90,null
POST,20100501,5.50,5.50,5.50,5.50,null
POST,20100601,4.40,4.40,4.40,4.40,null
POST,20100701,4.50,4.50,4.50,4.50,null
POST,20100801,4.42,4.42,4.42,4.42,null
POST,20100901,4.16,4.16,4.16,4.16,null
POST,20101001,4.26,4.26,4.26,4.26,null
POST,20101101,4.26,4.26,4.26,4.26,null
POST,20101201,4.24,4.24,4.24,4.24,null
POST,20110101,4.24,4.24,4.24,4.24,null
POST,20110201,4.24,4.24,4.24,4.24,null
POST,20110301,4.36,4.36,4.36,4.36,null
POST,20110401,4.34,4.34,4.34,4.34,null
POST,20110501,4.00,4.00,4.00,4.00,null
POST,20110601,3.94,3.94,3.94,3.94,null
POST,20110701,3.80,3.80,3.80,3.80,null
POST,20110801,3.70,3.70,3.70,3.70,null
POST,20110901,3.22,3.22,3.22,3.22,null
POST,20111001,3.20,3.20,3.20,3.20,null
POST,20111101,2.84,2.84,2.84,2.84,null
POST,20111201,2.82,2.82,2.82,2.82,null
POST,20120101,2.82,2.82,2.82,2.82,null
POST,20120201,2.92,2.92,2.92,2.92,null
POST,20120301,2.94,2.94,2.94,2.94,null
POST,20120401,2.98,2.98,2.98,2.98,null
POST,20120501,2.84,2.84,2.84,2.84,null
POST,20120601,2.90,2.90,2.90,2.90,null
POST,20120701,7.05,7.05,7.05,7.05,null
POST,20120801,5.55,5.55,5.55,5.55,null
POST,20120901,5.40,5.40,5.40,5.40,null
POST,20121001,5.00,5.00,5.00,5.00,null
POST,20121101,4.00,4.00,4.00,4.00,null
POST,20121201,4.62,4.62,4.62,4.62,null
POST,20130101,4.18,4.18,4.18,4.18,null
POST,20130201,5.85,5.85,5.85,5.85,null
POST,20130301,5.85,5.85,5.85,5.85,null
POST,20130401,7.90,7.90,7.90,7.90,null
POST,20130501,7.05,7.05,7.05,7.05,null
POST,20130601,7.60,7.60,7.60,7.60,null
POST,20130701,7.00,7.00,7.00,7.00,null
