<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PPP-JittaScore,20130101,3.70,3.70,3.70,3.70,null
PPP-JittaScore,20130201,3.70,3.70,3.70,3.70,null
PPP-JittaScore,20130301,3.70,3.70,3.70,3.70,null
PPP-JittaScore,20130401,3.80,3.80,3.80,3.80,null
PPP-JittaScore,20130501,3.80,3.80,3.80,3.80,null
PPP-JittaScore,20130601,3.80,3.80,3.80,3.80,null
PPP-JittaScore,20130701,4.38,4.38,4.38,4.38,null
PPP-JittaScore,20130801,4.38,4.38,4.38,4.38,null
PPP-JittaScore,20130901,4.38,4.38,4.38,4.38,null
PPP-JittaScore,20131001,5.22,5.22,5.22,5.22,null
PPP-JittaScore,20131101,5.22,5.22,5.22,5.22,null
PPP-JittaScore,20131201,5.22,5.22,5.22,5.22,null
PPP-JittaScore,20140101,5.55,5.55,5.55,5.55,null
PPP-JittaScore,20140201,5.55,5.55,5.55,5.55,null
PPP-JittaScore,20140301,5.55,5.55,5.55,5.55,null
PPP-JittaScore,20140401,5.63,5.63,5.63,5.63,null
PPP-JittaScore,20140501,5.63,5.63,5.63,5.63,null
PPP-JittaScore,20140601,5.63,5.63,5.63,5.63,null
PPP-JittaScore,20140701,5.58,5.58,5.58,5.58,null
PPP-JittaScore,20140801,5.58,5.58,5.58,5.58,null
PPP-JittaScore,20140901,5.58,5.58,5.58,5.58,null
PPP-JittaScore,20141001,5.80,5.80,5.80,5.80,null
PPP-JittaScore,20141101,5.80,5.80,5.80,5.80,null
PPP-JittaScore,20141201,5.80,5.80,5.80,5.80,null
PPP-JittaScore,20150101,5.90,5.90,5.90,5.90,null
PPP-JittaScore,20150201,5.90,5.90,5.90,5.90,null
PPP-JittaScore,20150301,5.90,5.90,5.90,5.90,null
PPP-JittaScore,20150401,5.00,5.00,5.00,5.00,null
PPP-JittaScore,20150501,5.00,5.00,5.00,5.00,null
PPP-JittaScore,20150601,5.00,5.00,5.00,5.00,null
PPP-JittaScore,20150701,5.00,5.00,5.00,5.00,null
PPP-JittaScore,20150801,5.00,5.00,5.00,5.00,null
PPP-JittaScore,20150901,5.00,5.00,5.00,5.00,null
PPP-JittaScore,20151001,5.00,5.00,5.00,5.00,null
PPP-JittaScore,20151101,5.00,5.00,5.00,5.00,null
PPP-JittaScore,20151201,5.00,5.00,5.00,5.00,null
PPP-JittaScore,20160101,4.85,4.85,4.85,4.85,null
PPP-JittaScore,20160201,4.85,4.85,4.85,4.85,null
PPP-JittaScore,20160301,4.85,4.85,4.85,4.85,null
PPP-JittaScore,20160401,4.95,4.95,4.95,4.95,null
PPP-JittaScore,20160501,4.95,4.95,4.95,4.95,null
PPP-JittaScore,20160601,4.95,4.95,4.95,4.95,null
