<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PRANDA-JittaScore,20061201,2.95,2.95,2.95,2.95,null
PRANDA-JittaScore,20070101,4.35,4.35,4.35,4.35,null
PRANDA-JittaScore,20070201,4.35,4.35,4.35,4.35,null
PRANDA-JittaScore,20070301,4.35,4.35,4.35,4.35,null
PRANDA-JittaScore,20070401,4.55,4.55,4.55,4.55,null
PRANDA-JittaScore,20070501,4.55,4.55,4.55,4.55,null
PRANDA-JittaScore,20070601,4.55,4.55,4.55,4.55,null
PRANDA-JittaScore,20070701,4.40,4.40,4.40,4.40,null
PRANDA-JittaScore,20070801,4.40,4.40,4.40,4.40,null
PRANDA-JittaScore,20070901,4.40,4.40,4.40,4.40,null
PRANDA-JittaScore,20071001,2.73,2.73,2.73,2.73,null
PRANDA-JittaScore,20071101,2.73,2.73,2.73,2.73,null
PRANDA-JittaScore,20071201,2.73,2.73,2.73,2.73,null
PRANDA-JittaScore,20080101,2.08,2.08,2.08,2.08,null
PRANDA-JittaScore,20080201,2.08,2.08,2.08,2.08,null
PRANDA-JittaScore,20080301,2.08,2.08,2.08,2.08,null
PRANDA-JittaScore,20080401,2.25,2.25,2.25,2.25,null
PRANDA-JittaScore,20080501,2.25,2.25,2.25,2.25,null
PRANDA-JittaScore,20080601,2.25,2.25,2.25,2.25,null
PRANDA-JittaScore,20080701,2.25,2.25,2.25,2.25,null
PRANDA-JittaScore,20080801,2.25,2.25,2.25,2.25,null
PRANDA-JittaScore,20080901,2.25,2.25,2.25,2.25,null
PRANDA-JittaScore,20081001,6.40,6.40,6.40,6.40,null
PRANDA-JittaScore,20081101,6.40,6.40,6.40,6.40,null
PRANDA-JittaScore,20081201,6.40,6.40,6.40,6.40,null
PRANDA-JittaScore,20090101,3.25,3.25,3.25,3.25,null
PRANDA-JittaScore,20090201,3.25,3.25,3.25,3.25,null
PRANDA-JittaScore,20090301,3.25,3.25,3.25,3.25,null
PRANDA-JittaScore,20090401,2.70,2.70,2.70,2.70,null
PRANDA-JittaScore,20090501,2.70,2.70,2.70,2.70,null
PRANDA-JittaScore,20090601,2.70,2.70,2.70,2.70,null
PRANDA-JittaScore,20090701,2.70,2.70,2.70,2.70,null
PRANDA-JittaScore,20090801,2.70,2.70,2.70,2.70,null
PRANDA-JittaScore,20090901,2.70,2.70,2.70,2.70,null
PRANDA-JittaScore,20091001,1.55,1.55,1.55,1.55,null
PRANDA-JittaScore,20091101,1.55,1.55,1.55,1.55,null
PRANDA-JittaScore,20091201,1.55,1.55,1.55,1.55,null
PRANDA-JittaScore,20100101,2.55,2.55,2.55,2.55,null
PRANDA-JittaScore,20100201,2.55,2.55,2.55,2.55,null
PRANDA-JittaScore,20100301,2.55,2.55,2.55,2.55,null
PRANDA-JittaScore,20100401,2.80,2.80,2.80,2.80,null
PRANDA-JittaScore,20100501,2.80,2.80,2.80,2.80,null
PRANDA-JittaScore,20100601,2.80,2.80,2.80,2.80,null
PRANDA-JittaScore,20100701,2.30,2.30,2.30,2.30,null
PRANDA-JittaScore,20100801,2.30,2.30,2.30,2.30,null
PRANDA-JittaScore,20100901,2.30,2.30,2.30,2.30,null
PRANDA-JittaScore,20101001,2.30,2.30,2.30,2.30,null
PRANDA-JittaScore,20101101,2.30,2.30,2.30,2.30,null
PRANDA-JittaScore,20101201,2.30,2.30,2.30,2.30,null
PRANDA-JittaScore,20110101,2.30,2.30,2.30,2.30,null
PRANDA-JittaScore,20110201,2.30,2.30,2.30,2.30,null
PRANDA-JittaScore,20110301,2.30,2.30,2.30,2.30,null
PRANDA-JittaScore,20110401,2.17,2.17,2.17,2.17,null
PRANDA-JittaScore,20110501,2.17,2.17,2.17,2.17,null
PRANDA-JittaScore,20110601,2.17,2.17,2.17,2.17,null
PRANDA-JittaScore,20110701,2.17,2.17,2.17,2.17,null
PRANDA-JittaScore,20110801,2.17,2.17,2.17,2.17,null
PRANDA-JittaScore,20110901,2.17,2.17,2.17,2.17,null
PRANDA-JittaScore,20111001,3.20,3.20,3.20,3.20,null
PRANDA-JittaScore,20111101,3.20,3.20,3.20,3.20,null
PRANDA-JittaScore,20111201,3.20,3.20,3.20,3.20,null
PRANDA-JittaScore,20120101,3.60,3.60,3.60,3.60,null
PRANDA-JittaScore,20120201,3.60,3.60,3.60,3.60,null
PRANDA-JittaScore,20120301,3.60,3.60,3.60,3.60,null
PRANDA-JittaScore,20120401,3.05,3.05,3.05,3.05,null
PRANDA-JittaScore,20120501,3.05,3.05,3.05,3.05,null
PRANDA-JittaScore,20120601,3.05,3.05,3.05,3.05,null
PRANDA-JittaScore,20120701,3.30,3.30,3.30,3.30,null
PRANDA-JittaScore,20120801,3.30,3.30,3.30,3.30,null
PRANDA-JittaScore,20120901,3.30,3.30,3.30,3.30,null
PRANDA-JittaScore,20121001,3.45,3.45,3.45,3.45,null
PRANDA-JittaScore,20121101,3.45,3.45,3.45,3.45,null
PRANDA-JittaScore,20121201,3.45,3.45,3.45,3.45,null
PRANDA-JittaScore,20130101,3.95,3.95,3.95,3.95,null
PRANDA-JittaScore,20130201,3.95,3.95,3.95,3.95,null
PRANDA-JittaScore,20130301,3.95,3.95,3.95,3.95,null
PRANDA-JittaScore,20130401,3.40,3.40,3.40,3.40,null
PRANDA-JittaScore,20130501,3.40,3.40,3.40,3.40,null
PRANDA-JittaScore,20130601,3.40,3.40,3.40,3.40,null
PRANDA-JittaScore,20130701,3.40,3.40,3.40,3.40,null
PRANDA-JittaScore,20130801,3.40,3.40,3.40,3.40,null
PRANDA-JittaScore,20130901,3.40,3.40,3.40,3.40,null
PRANDA-JittaScore,20131001,1.80,1.80,1.80,1.80,null
PRANDA-JittaScore,20131101,1.80,1.80,1.80,1.80,null
PRANDA-JittaScore,20131201,1.80,1.80,1.80,1.80,null
PRANDA-JittaScore,20140101,1.05,1.05,1.05,1.05,null
PRANDA-JittaScore,20140201,1.05,1.05,1.05,1.05,null
PRANDA-JittaScore,20140301,1.05,1.05,1.05,1.05,null
PRANDA-JittaScore,20140401,0.93,0.93,0.93,0.93,null
PRANDA-JittaScore,20140501,0.93,0.93,0.93,0.93,null
PRANDA-JittaScore,20140601,0.93,0.93,0.93,0.93,null
PRANDA-JittaScore,20140701,0.93,0.93,0.93,0.93,null
PRANDA-JittaScore,20140801,0.93,0.93,0.93,0.93,null
PRANDA-JittaScore,20140901,0.93,0.93,0.93,0.93,null
PRANDA-JittaScore,20141001,0.20,0.20,0.20,0.20,null
PRANDA-JittaScore,20141101,0.20,0.20,0.20,0.20,null
PRANDA-JittaScore,20141201,0.20,0.20,0.20,0.20,null
PRANDA-JittaScore,20150101,1.30,1.30,1.30,1.30,null
PRANDA-JittaScore,20150201,1.30,1.30,1.30,1.30,null
PRANDA-JittaScore,20150301,1.30,1.30,1.30,1.30,null
PRANDA-JittaScore,20150401,0.75,0.75,0.75,0.75,null
PRANDA-JittaScore,20150501,0.75,0.75,0.75,0.75,null
PRANDA-JittaScore,20150601,0.75,0.75,0.75,0.75,null
PRANDA-JittaScore,20150701,0.75,0.75,0.75,0.75,null
PRANDA-JittaScore,20150801,0.75,0.75,0.75,0.75,null
PRANDA-JittaScore,20150901,0.75,0.75,0.75,0.75,null
PRANDA-JittaScore,20151001,2.50,2.50,2.50,2.50,null
PRANDA-JittaScore,20151101,2.50,2.50,2.50,2.50,null
PRANDA-JittaScore,20151201,2.50,2.50,2.50,2.50,null
PRANDA-JittaScore,20160101,0.50,0.50,0.50,0.50,null
PRANDA-JittaScore,20160201,0.50,0.50,0.50,0.50,null
PRANDA-JittaScore,20160301,0.50,0.50,0.50,0.50,null
PRANDA-JittaScore,20160401,0.01,0.01,0.01,0.01,null
PRANDA-JittaScore,20160501,0.01,0.01,0.01,0.01,null
PRANDA-JittaScore,20160601,0.01,0.01,0.01,0.01,null
