<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PRANDA,20061201,6.65,6.65,6.65,6.65,406716.05263158
PRANDA,20070101,6.40,6.40,6.40,6.40,878485.71428571
PRANDA,20070201,6.90,6.90,6.90,6.90,522255
PRANDA,20070301,6.30,6.30,6.30,6.30,1399700
PRANDA,20070401,7.00,7.00,7.00,7.00,696611.11111111
PRANDA,20070501,8.05,8.05,8.05,8.05,889055
PRANDA,20070601,8.65,8.65,8.65,8.65,792780.95238095
PRANDA,20070701,9.00,9.00,9.00,9.00,712980.95238095
PRANDA,20070801,8.90,8.90,8.90,8.90,196163.63636364
PRANDA,20070901,8.85,8.85,8.85,8.85,183920
PRANDA,20071001,8.80,8.80,8.80,8.80,78766.66666667
PRANDA,20071101,9.05,9.05,9.05,9.05,178622.72727273
PRANDA,20071201,9.05,9.05,9.05,9.05,172100
PRANDA,20080101,8.20,8.20,8.20,8.20,351431.81818182
PRANDA,20080201,9.00,9.00,9.00,9.00,147070
PRANDA,20080301,8.00,8.00,8.00,8.00,86242.85714286
PRANDA,20080401,7.80,7.80,7.80,7.80,102342.10526316
PRANDA,20080501,8.15,8.15,8.15,8.15,102363.15789474
PRANDA,20080601,7.85,7.85,7.85,7.85,62858.82352941
PRANDA,20080701,7.10,7.10,7.10,7.10,34170
PRANDA,20080801,7.10,7.10,7.10,7.10,41770
PRANDA,20080901,6.85,6.85,6.85,6.85,55404.76190476
PRANDA,20081001,6.00,6.00,6.00,6.00,157536.36363636
PRANDA,20081101,4.96,4.96,4.96,4.96,59795
PRANDA,20081201,4.68,4.68,4.68,4.68,66773.68421053
PRANDA,20090101,4.72,4.72,4.72,4.72,10000
PRANDA,20090201,4.52,4.52,4.52,4.52,66335.29411765
PRANDA,20090301,3.26,3.26,3.26,3.26,1609440.90909091
PRANDA,20090401,3.56,3.56,3.56,3.56,368877.77777778
PRANDA,20090501,4.00,4.00,4.00,4.00,396488.88888889
PRANDA,20090601,4.16,4.16,4.16,4.16,304859.09090909
PRANDA,20090701,4.18,4.18,4.18,4.18,90365
PRANDA,20090801,4.34,4.34,4.34,4.34,150095
PRANDA,20090901,5.20,5.20,5.20,5.20,243063.63636364
PRANDA,20091001,4.90,4.90,4.90,4.90,364590.47619048
PRANDA,20091101,4.82,4.82,4.82,4.82,174495.23809524
PRANDA,20091201,4.82,4.82,4.82,4.82,241795
PRANDA,20100101,4.60,4.60,4.60,4.60,513180
PRANDA,20100201,4.72,4.72,4.72,4.72,111575
PRANDA,20100301,5.20,5.20,5.20,5.20,1085654.54545455
PRANDA,20100401,5.35,5.35,5.35,5.35,406916.66666667
PRANDA,20100501,5.90,5.90,5.90,5.90,624568.75
PRANDA,20100601,6.40,6.40,6.40,6.40,392368.18181818
PRANDA,20100701,6.70,6.70,6.70,6.70,266690
PRANDA,20100801,6.40,6.40,6.40,6.40,870605
PRANDA,20100901,6.30,6.30,6.30,6.30,309627.27272727
PRANDA,20101001,6.25,6.25,6.25,6.25,95090
PRANDA,20101101,6.25,6.25,6.25,6.25,485540.90909091
PRANDA,20101201,6.50,6.50,6.50,6.50,149860
PRANDA,20110101,6.45,6.45,6.45,6.45,319740
PRANDA,20110201,6.60,6.60,6.60,6.60,116926.31578947
PRANDA,20110301,6.35,6.35,6.35,6.35,438456.52173913
PRANDA,20110401,6.45,6.45,6.45,6.45,276152.94117647
PRANDA,20110501,6.65,6.65,6.65,6.65,550366.66666667
PRANDA,20110601,6.70,6.70,6.70,6.70,311936.36363636
PRANDA,20110701,7.20,7.20,7.20,7.20,592668.42105263
PRANDA,20110801,6.40,6.40,6.40,6.40,737472.72727273
PRANDA,20110901,5.75,5.75,5.75,5.75,286309.09090909
PRANDA,20111001,5.70,5.70,5.70,5.70,256060
PRANDA,20111101,5.90,5.90,5.90,5.90,217527.27272727
PRANDA,20111201,6.05,6.05,6.05,6.05,254560
PRANDA,20120101,6.40,6.40,6.40,6.40,295800
PRANDA,20120201,6.90,6.90,6.90,6.90,490561.90476191
PRANDA,20120301,6.55,6.55,6.55,6.55,1206709.52380952
PRANDA,20120401,7.50,7.50,7.50,7.50,2339623.52941176
PRANDA,20120501,6.50,6.50,6.50,6.50,1180366.66666667
PRANDA,20120601,6.60,6.60,6.60,6.60,454465
PRANDA,20120701,6.85,6.85,6.85,6.85,505922.72727273
PRANDA,20120801,7.20,7.20,7.20,7.20,832090.47619048
PRANDA,20120901,7.25,7.25,7.25,7.25,1768615
PRANDA,20121001,7.35,7.35,7.35,7.35,825568.18181818
PRANDA,20121101,7.50,7.50,7.50,7.50,1166559.09090909
PRANDA,20121201,8.45,8.45,8.45,8.45,1681155.55555556
PRANDA,20130101,9.10,9.10,9.10,9.10,1027581.81818182
PRANDA,20130201,10.60,10.60,10.60,10.60,1385673.68421053
PRANDA,20130301,10.80,10.80,10.80,10.80,1775095.23809524
PRANDA,20130401,10.00,10.00,10.00,10.00,789815.78947368
PRANDA,20130501,8.85,8.85,8.85,8.85,1695860
PRANDA,20130601,7.95,7.95,7.95,7.95,555010
PRANDA,20130701,7.90,7.90,7.90,7.90,276571.42857143
PRANDA,20130801,7.05,7.05,7.05,7.05,788928.57142857
PRANDA,20130901,7.10,7.10,7.10,7.10,222566.66666667
PRANDA,20131001,7.15,7.15,7.15,7.15,151709.09090909
PRANDA,20131101,6.95,6.95,6.95,6.95,236495.23809524
PRANDA,20131201,7.10,7.10,7.10,7.10,169983.33333333
PRANDA,20140101,6.95,6.95,6.95,6.95,247463.63636364
PRANDA,20140201,6.70,6.70,6.70,6.70,270715.78947368
PRANDA,20140301,6.75,6.75,6.75,6.75,200776.19047619
PRANDA,20140401,7.15,7.15,7.15,7.15,195015.78947368
PRANDA,20140501,7.00,7.00,7.00,7.00,445431.57894737
PRANDA,20140601,7.05,7.05,7.05,7.05,189833.33333333
PRANDA,20140701,6.75,6.75,6.75,6.75,259090.47619048
PRANDA,20140801,6.70,6.70,6.70,6.70,382015.78947368
PRANDA,20140901,6.60,6.60,6.60,6.60,223131.81818182
PRANDA,20141001,6.40,6.40,6.40,6.40,145340.90909091
PRANDA,20141101,6.25,6.25,6.25,6.25,351005
PRANDA,20141201,5.80,5.80,5.80,5.80,188435
PRANDA,20150101,5.90,5.90,5.90,5.90,111035
PRANDA,20150201,5.90,5.90,5.90,5.90,287485
PRANDA,20150301,5.70,5.70,5.70,5.70,167690.47619048
PRANDA,20150401,5.90,5.90,5.90,5.90,131622.22222222
PRANDA,20150501,5.70,5.70,5.70,5.70,182311.11111111
PRANDA,20150601,5.65,5.65,5.65,5.65,152780.95238095
PRANDA,20150701,5.00,5.00,5.00,5.00,126038.0952381
PRANDA,20150801,4.72,4.72,4.72,4.72,117600
PRANDA,20150901,4.64,4.64,4.64,4.64,78509.09090909
PRANDA,20151001,4.78,4.78,4.78,4.78,183633.33333333
PRANDA,20151101,5.05,5.05,5.05,5.05,212614.28571429
PRANDA,20151201,4.92,4.92,4.92,4.92,113760
PRANDA,20160101,4.66,4.66,4.66,4.66,null
PRANDA,20160201,4.52,4.52,4.52,4.52,null
PRANDA,20160301,4.40,4.40,4.40,4.40,null
PRANDA,20160401,4.04,4.04,4.04,4.04,null
PRANDA,20160501,3.98,3.98,3.98,3.98,null
