<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PRECHA-JittaScore,20061201,2.00,2.00,2.00,2.00,null
PRECHA-JittaScore,20070101,1.25,1.25,1.25,1.25,null
PRECHA-JittaScore,20070201,1.25,1.25,1.25,1.25,null
PRECHA-JittaScore,20070301,1.25,1.25,1.25,1.25,null
PRECHA-JittaScore,20070401,1.13,1.13,1.13,1.13,null
PRECHA-JittaScore,20070501,1.13,1.13,1.13,1.13,null
PRECHA-JittaScore,20070601,1.13,1.13,1.13,1.13,null
PRECHA-JittaScore,20070701,1.13,1.13,1.13,1.13,null
PRECHA-JittaScore,20070801,1.13,1.13,1.13,1.13,null
PRECHA-JittaScore,20070901,1.13,1.13,1.13,1.13,null
PRECHA-JittaScore,20071001,0.90,0.90,0.90,0.90,null
PRECHA-JittaScore,20071101,0.90,0.90,0.90,0.90,null
PRECHA-JittaScore,20071201,0.90,0.90,0.90,0.90,null
PRECHA-JittaScore,20080101,0.01,0.01,0.01,0.01,null
PRECHA-JittaScore,20080201,0.01,0.01,0.01,0.01,null
PRECHA-JittaScore,20080301,0.01,0.01,0.01,0.01,null
PRECHA-JittaScore,20080401,0.01,0.01,0.01,0.01,null
PRECHA-JittaScore,20080501,0.01,0.01,0.01,0.01,null
PRECHA-JittaScore,20080601,0.01,0.01,0.01,0.01,null
PRECHA-JittaScore,20080701,0.01,0.01,0.01,0.01,null
PRECHA-JittaScore,20080801,0.01,0.01,0.01,0.01,null
PRECHA-JittaScore,20080901,0.01,0.01,0.01,0.01,null
PRECHA-JittaScore,20081001,1.15,1.15,1.15,1.15,null
PRECHA-JittaScore,20081101,1.15,1.15,1.15,1.15,null
PRECHA-JittaScore,20081201,1.15,1.15,1.15,1.15,null
PRECHA-JittaScore,20090101,2.30,2.30,2.30,2.30,null
PRECHA-JittaScore,20090201,2.30,2.30,2.30,2.30,null
PRECHA-JittaScore,20090301,2.30,2.30,2.30,2.30,null
PRECHA-JittaScore,20090401,2.17,2.17,2.17,2.17,null
PRECHA-JittaScore,20090501,2.17,2.17,2.17,2.17,null
PRECHA-JittaScore,20090601,2.17,2.17,2.17,2.17,null
PRECHA-JittaScore,20090701,2.55,2.55,2.55,2.55,null
PRECHA-JittaScore,20090801,2.55,2.55,2.55,2.55,null
PRECHA-JittaScore,20090901,2.55,2.55,2.55,2.55,null
PRECHA-JittaScore,20091001,2.90,2.90,2.90,2.90,null
