<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PSL-JittaLine,20061201,63.929,63.929,63.929,63.929,null
PSL-JittaLine,20070101,61.5752,61.5752,61.5752,61.5752,null
PSL-JittaLine,20070201,59.2215,59.2215,59.2215,59.2215,null
PSL-JittaLine,20070301,56.8677,56.8677,56.8677,56.8677,null
PSL-JittaLine,20070401,54.5139,54.5139,54.5139,54.5139,null
PSL-JittaLine,20070501,52.1601,52.1601,52.1601,52.1601,null
PSL-JittaLine,20070601,49.8063,49.8063,49.8063,49.8063,null
PSL-JittaLine,20070701,47.4525,47.4525,47.4525,47.4525,null
PSL-JittaLine,20070801,45.0987,45.0987,45.0987,45.0987,null
PSL-JittaLine,20070901,42.7449,42.7449,42.7449,42.7449,null
PSL-JittaLine,20071001,40.3911,40.3911,40.3911,40.3911,null
PSL-JittaLine,20071101,38.0374,38.0374,38.0374,38.0374,null
PSL-JittaLine,20071201,35.6836,35.6836,35.6836,35.6836,null
PSL-JittaLine,20080101,37.6106,37.6106,37.6106,37.6106,null
PSL-JittaLine,20080201,39.5376,39.5376,39.5376,39.5376,null
PSL-JittaLine,20080301,41.4646,41.4646,41.4646,41.4646,null
PSL-JittaLine,20080401,43.3917,43.3917,43.3917,43.3917,null
PSL-JittaLine,20080501,45.3187,45.3187,45.3187,45.3187,null
PSL-JittaLine,20080601,47.2457,47.2457,47.2457,47.2457,null
PSL-JittaLine,20080701,49.1727,49.1727,49.1727,49.1727,null
PSL-JittaLine,20080801,51.0997,51.0997,51.0997,51.0997,null
PSL-JittaLine,20080901,53.0268,53.0268,53.0268,53.0268,null
PSL-JittaLine,20081001,54.9538,54.9538,54.9538,54.9538,null
PSL-JittaLine,20081101,56.8808,56.8808,56.8808,56.8808,null
PSL-JittaLine,20081201,58.8078,58.8078,58.8078,58.8078,null
PSL-JittaLine,20090101,55.7401,55.7401,55.7401,55.7401,null
PSL-JittaLine,20090201,52.6724,52.6724,52.6724,52.6724,null
PSL-JittaLine,20090301,49.6047,49.6047,49.6047,49.6047,null
PSL-JittaLine,20090401,46.537,46.537,46.537,46.537,null
PSL-JittaLine,20090501,43.4692,43.4692,43.4692,43.4692,null
PSL-JittaLine,20090601,40.4015,40.4015,40.4015,40.4015,null
PSL-JittaLine,20090701,37.3338,37.3338,37.3338,37.3338,null
PSL-JittaLine,20090801,34.2661,34.2661,34.2661,34.2661,null
PSL-JittaLine,20090901,31.1984,31.1984,31.1984,31.1984,null
PSL-JittaLine,20091001,28.1307,28.1307,28.1307,28.1307,null
PSL-JittaLine,20091101,25.063,25.063,25.063,25.063,null
PSL-JittaLine,20091201,21.9953,21.9953,21.9953,21.9953,null
PSL-JittaLine,20100101,21.0273,21.0273,21.0273,21.0273,null
PSL-JittaLine,20100201,20.0594,20.0594,20.0594,20.0594,null
PSL-JittaLine,20100301,19.0914,19.0914,19.0914,19.0914,null
