<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PT-JittaLine,20061201,26.4056,26.4056,26.4056,26.4056,null
PT-JittaLine,20070101,25.5574,25.5574,25.5574,25.5574,null
PT-JittaLine,20070201,24.7092,24.7092,24.7092,24.7092,null
PT-JittaLine,20070301,23.861,23.861,23.861,23.861,null
PT-JittaLine,20070401,23.0129,23.0129,23.0129,23.0129,null
PT-JittaLine,20070501,22.1647,22.1647,22.1647,22.1647,null
PT-JittaLine,20070601,21.3165,21.3165,21.3165,21.3165,null
PT-JittaLine,20070701,20.4683,20.4683,20.4683,20.4683,null
PT-JittaLine,20070801,19.6201,19.6201,19.6201,19.6201,null
PT-JittaLine,20070901,18.7719,18.7719,18.7719,18.7719,null
PT-JittaLine,20071001,17.9237,17.9237,17.9237,17.9237,null
PT-JittaLine,20071101,17.0755,17.0755,17.0755,17.0755,null
PT-JittaLine,20071201,16.2274,16.2274,16.2274,16.2274,null
PT-JittaLine,20080101,15.4476,15.4476,15.4476,15.4476,null
PT-JittaLine,20080201,14.6679,14.6679,14.6679,14.6679,null
PT-JittaLine,20080301,13.8881,13.8881,13.8881,13.8881,null
PT-JittaLine,20080401,13.1084,13.1084,13.1084,13.1084,null
PT-JittaLine,20080501,12.3286,12.3286,12.3286,12.3286,null
PT-JittaLine,20080601,11.5489,11.5489,11.5489,11.5489,null
PT-JittaLine,20080701,10.7691,10.7691,10.7691,10.7691,null
PT-JittaLine,20080801,9.9894,9.9894,9.9894,9.9894,null
PT-JittaLine,20080901,9.2096,9.2096,9.2096,9.2096,null
PT-JittaLine,20081001,8.4299,8.4299,8.4299,8.4299,null
PT-JittaLine,20081101,7.6501,7.6501,7.6501,7.6501,null
PT-JittaLine,20081201,6.8704,6.8704,6.8704,6.8704,null
PT-JittaLine,20090101,6.3673,6.3673,6.3673,6.3673,null
PT-JittaLine,20090201,5.8642,5.8642,5.8642,5.8642,null
PT-JittaLine,20090301,5.3612,5.3612,5.3612,5.3612,null
PT-JittaLine,20090401,4.8581,4.8581,4.8581,4.8581,null
PT-JittaLine,20090501,4.355,4.355,4.355,4.355,null
PT-JittaLine,20090601,3.852,3.852,3.852,3.852,null
PT-JittaLine,20090701,3.3489,3.3489,3.3489,3.3489,null
PT-JittaLine,20090801,2.8458,2.8458,2.8458,2.8458,null
PT-JittaLine,20090901,2.3428,2.3428,2.3428,2.3428,null
PT-JittaLine,20091001,1.8397,1.8397,1.8397,1.8397,null
PT-JittaLine,20091101,1.3367,1.3367,1.3367,1.3367,null
PT-JittaLine,20091201,0.8336,0.8336,0.8336,0.8336,null
PT-JittaLine,20100101,0.901,0.901,0.901,0.901,null
PT-JittaLine,20100201,0.9684,0.9684,0.9684,0.9684,null
PT-JittaLine,20100301,1.0359,1.0359,1.0359,1.0359,null
PT-JittaLine,20100401,1.1033,1.1033,1.1033,1.1033,null
PT-JittaLine,20100501,1.1707,1.1707,1.1707,1.1707,null
PT-JittaLine,20100601,1.2382,1.2382,1.2382,1.2382,null
PT-JittaLine,20100701,1.3056,1.3056,1.3056,1.3056,null
PT-JittaLine,20100801,1.373,1.373,1.373,1.373,null
PT-JittaLine,20100901,1.4404,1.4404,1.4404,1.4404,null
PT-JittaLine,20101001,1.5079,1.5079,1.5079,1.5079,null
PT-JittaLine,20101101,1.5753,1.5753,1.5753,1.5753,null
PT-JittaLine,20101201,1.6427,1.6427,1.6427,1.6427,null
PT-JittaLine,20110101,1.7724,1.7724,1.7724,1.7724,null
PT-JittaLine,20110201,1.9021,1.9021,1.9021,1.9021,null
PT-JittaLine,20110301,2.0318,2.0318,2.0318,2.0318,null
PT-JittaLine,20110401,2.1615,2.1615,2.1615,2.1615,null
PT-JittaLine,20110501,2.2913,2.2913,2.2913,2.2913,null
PT-JittaLine,20110601,2.421,2.421,2.421,2.421,null
PT-JittaLine,20110701,2.5507,2.5507,2.5507,2.5507,null
PT-JittaLine,20110801,2.6804,2.6804,2.6804,2.6804,null
PT-JittaLine,20110901,2.8101,2.8101,2.8101,2.8101,null
PT-JittaLine,20111001,2.9398,2.9398,2.9398,2.9398,null
PT-JittaLine,20111101,3.0695,3.0695,3.0695,3.0695,null
PT-JittaLine,20111201,3.1992,3.1992,3.1992,3.1992,null
PT-JittaLine,20120101,3.5617,3.5617,3.5617,3.5617,null
PT-JittaLine,20120201,3.9242,3.9242,3.9242,3.9242,null
PT-JittaLine,20120301,4.2867,4.2867,4.2867,4.2867,null
PT-JittaLine,20120401,4.6491,4.6491,4.6491,4.6491,null
PT-JittaLine,20120501,5.0116,5.0116,5.0116,5.0116,null
PT-JittaLine,20120601,5.3741,5.3741,5.3741,5.3741,null
PT-JittaLine,20120701,5.7366,5.7366,5.7366,5.7366,null
PT-JittaLine,20120801,6.0991,6.0991,6.0991,6.0991,null
PT-JittaLine,20120901,6.4616,6.4616,6.4616,6.4616,null
PT-JittaLine,20121001,6.8241,6.8241,6.8241,6.8241,null
PT-JittaLine,20121101,7.1866,7.1866,7.1866,7.1866,null
PT-JittaLine,20121201,7.5491,7.5491,7.5491,7.5491,null
PT-JittaLine,20130101,7.7223,7.7223,7.7223,7.7223,null
PT-JittaLine,20130201,7.8955,7.8955,7.8955,7.8955,null
PT-JittaLine,20130301,8.0688,8.0688,8.0688,8.0688,null
PT-JittaLine,20130401,8.242,8.242,8.242,8.242,null
PT-JittaLine,20130501,8.4152,8.4152,8.4152,8.4152,null
PT-JittaLine,20130601,8.5885,8.5885,8.5885,8.5885,null
PT-JittaLine,20130701,8.7617,8.7617,8.7617,8.7617,null
PT-JittaLine,20130801,8.9349,8.9349,8.9349,8.9349,null
