<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PTG,20130501,4.48,4.48,4.48,4.48,null
PTG,20130601,4.06,4.06,4.06,4.06,null
PTG,20130701,4.10,4.10,4.10,4.10,null
PTG,20130801,3.40,3.40,3.40,3.40,null
PTG,20130901,3.90,3.90,3.90,3.90,null
PTG,20131001,4.04,4.04,4.04,4.04,null
PTG,20131101,3.54,3.54,3.54,3.54,null
PTG,20131201,3.72,3.72,3.72,3.72,null
PTG,20140101,3.32,3.32,3.32,3.32,null
PTG,20140201,3.32,3.32,3.32,3.32,null
PTG,20140301,3.60,3.60,3.60,3.60,null
PTG,20140401,3.58,3.58,3.58,3.58,null
PTG,20140501,3.52,3.52,3.52,3.52,null
PTG,20140601,3.52,3.52,3.52,3.52,null
PTG,20140701,3.72,3.72,3.72,3.72,null
PTG,20140801,4.18,4.18,4.18,4.18,null
PTG,20140901,5.25,5.25,5.25,5.25,null
PTG,20141001,5.75,5.75,5.75,5.75,null
PTG,20141101,6.25,6.25,6.25,6.25,null
PTG,20141201,5.90,5.90,5.90,5.90,null
PTG,20150101,5.75,5.75,5.75,5.75,null
PTG,20150201,8.00,8.00,8.00,8.00,null
PTG,20150301,9.95,9.95,9.95,9.95,null
PTG,20150401,10.80,10.80,10.80,10.80,null
PTG,20150501,12.20,12.20,12.20,12.20,null
PTG,20150601,15.30,15.30,15.30,15.30,null
PTG,20150701,14.30,14.30,14.30,14.30,null
PTG,20150801,13.80,13.80,13.80,13.80,null
PTG,20150901,14.70,14.70,14.70,14.70,null
PTG,20151001,15.00,15.00,15.00,15.00,null
PTG,20151101,14.70,14.70,14.70,14.70,null
PTG,20151201,13.00,13.00,13.00,13.00,null
PTG,20160101,13.90,13.90,13.90,13.90,null
PTG,20160201,13.90,13.90,13.90,13.90,null
PTG,20160301,13.90,13.90,13.90,13.90,null
PTG,20160401,14.90,14.90,14.90,14.90,null
PTG,20160501,17.70,17.70,17.70,17.70,null
