<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PTT-JittaScore,20061201,5.84,5.84,5.84,5.84,null
PTT-JittaScore,20070101,6.03,6.03,6.03,6.03,null
PTT-JittaScore,20070201,6.03,6.03,6.03,6.03,null
PTT-JittaScore,20070301,6.03,6.03,6.03,6.03,null
PTT-JittaScore,20070401,6.03,6.03,6.03,6.03,null
PTT-JittaScore,20070501,6.03,6.03,6.03,6.03,null
PTT-JittaScore,20070601,6.03,6.03,6.03,6.03,null
PTT-JittaScore,20070701,5.63,5.63,5.63,5.63,null
PTT-JittaScore,20070801,5.63,5.63,5.63,5.63,null
PTT-JittaScore,20070901,5.63,5.63,5.63,5.63,null
PTT-JittaScore,20071001,5.63,5.63,5.63,5.63,null
PTT-JittaScore,20071101,5.63,5.63,5.63,5.63,null
PTT-JittaScore,20071201,5.63,5.63,5.63,5.63,null
PTT-JittaScore,20080101,6.00,6.00,6.00,6.00,null
PTT-JittaScore,20080201,6.00,6.00,6.00,6.00,null
PTT-JittaScore,20080301,6.00,6.00,6.00,6.00,null
PTT-JittaScore,20080401,6.00,6.00,6.00,6.00,null
PTT-JittaScore,20080501,6.00,6.00,6.00,6.00,null
PTT-JittaScore,20080601,6.00,6.00,6.00,6.00,null
PTT-JittaScore,20080701,6.03,6.03,6.03,6.03,null
PTT-JittaScore,20080801,6.03,6.03,6.03,6.03,null
PTT-JittaScore,20080901,6.03,6.03,6.03,6.03,null
PTT-JittaScore,20081001,6.15,6.15,6.15,6.15,null
PTT-JittaScore,20081101,6.15,6.15,6.15,6.15,null
PTT-JittaScore,20081201,6.15,6.15,6.15,6.15,null
PTT-JittaScore,20090101,3.70,3.70,3.70,3.70,null
PTT-JittaScore,20090201,3.70,3.70,3.70,3.70,null
PTT-JittaScore,20090301,3.70,3.70,3.70,3.70,null
PTT-JittaScore,20090401,3.40,3.40,3.40,3.40,null
PTT-JittaScore,20090501,3.40,3.40,3.40,3.40,null
PTT-JittaScore,20090601,3.40,3.40,3.40,3.40,null
PTT-JittaScore,20090701,3.40,3.40,3.40,3.40,null
PTT-JittaScore,20090801,3.40,3.40,3.40,3.40,null
PTT-JittaScore,20090901,3.40,3.40,3.40,3.40,null
PTT-JittaScore,20091001,2.95,2.95,2.95,2.95,null
PTT-JittaScore,20091101,2.95,2.95,2.95,2.95,null
PTT-JittaScore,20091201,2.95,2.95,2.95,2.95,null
PTT-JittaScore,20100101,3.20,3.20,3.20,3.20,null
PTT-JittaScore,20100201,3.20,3.20,3.20,3.20,null
PTT-JittaScore,20100301,3.20,3.20,3.20,3.20,null
PTT-JittaScore,20100401,3.45,3.45,3.45,3.45,null
PTT-JittaScore,20100501,3.45,3.45,3.45,3.45,null
PTT-JittaScore,20100601,3.45,3.45,3.45,3.45,null
PTT-JittaScore,20100701,3.45,3.45,3.45,3.45,null
PTT-JittaScore,20100801,3.45,3.45,3.45,3.45,null
PTT-JittaScore,20100901,3.45,3.45,3.45,3.45,null
PTT-JittaScore,20101001,2.55,2.55,2.55,2.55,null
PTT-JittaScore,20101101,2.55,2.55,2.55,2.55,null
PTT-JittaScore,20101201,2.55,2.55,2.55,2.55,null
PTT-JittaScore,20110101,4.20,4.20,4.20,4.20,null
PTT-JittaScore,20110201,4.20,4.20,4.20,4.20,null
PTT-JittaScore,20110301,4.20,4.20,4.20,4.20,null
PTT-JittaScore,20110401,4.42,4.42,4.42,4.42,null
PTT-JittaScore,20110501,4.42,4.42,4.42,4.42,null
PTT-JittaScore,20110601,4.42,4.42,4.42,4.42,null
PTT-JittaScore,20110701,4.45,4.45,4.45,4.45,null
PTT-JittaScore,20110801,4.45,4.45,4.45,4.45,null
PTT-JittaScore,20110901,4.45,4.45,4.45,4.45,null
PTT-JittaScore,20111001,3.05,3.05,3.05,3.05,null
PTT-JittaScore,20111101,3.05,3.05,3.05,3.05,null
PTT-JittaScore,20111201,3.05,3.05,3.05,3.05,null
PTT-JittaScore,20120101,4.50,4.50,4.50,4.50,null
PTT-JittaScore,20120201,4.50,4.50,4.50,4.50,null
PTT-JittaScore,20120301,4.50,4.50,4.50,4.50,null
PTT-JittaScore,20120401,4.63,4.63,4.63,4.63,null
PTT-JittaScore,20120501,4.63,4.63,4.63,4.63,null
PTT-JittaScore,20120601,4.63,4.63,4.63,4.63,null
PTT-JittaScore,20120701,4.28,4.28,4.28,4.28,null
PTT-JittaScore,20120801,4.28,4.28,4.28,4.28,null
PTT-JittaScore,20120901,4.28,4.28,4.28,4.28,null
PTT-JittaScore,20121001,4.55,4.55,4.55,4.55,null
PTT-JittaScore,20121101,4.55,4.55,4.55,4.55,null
PTT-JittaScore,20121201,4.55,4.55,4.55,4.55,null
PTT-JittaScore,20130101,5.50,5.50,5.50,5.50,null
PTT-JittaScore,20130201,5.50,5.50,5.50,5.50,null
PTT-JittaScore,20130301,5.50,5.50,5.50,5.50,null
PTT-JittaScore,20130401,5.15,5.15,5.15,5.15,null
PTT-JittaScore,20130501,5.15,5.15,5.15,5.15,null
PTT-JittaScore,20130601,5.15,5.15,5.15,5.15,null
PTT-JittaScore,20130701,5.15,5.15,5.15,5.15,null
PTT-JittaScore,20130801,5.15,5.15,5.15,5.15,null
PTT-JittaScore,20130901,5.15,5.15,5.15,5.15,null
PTT-JittaScore,20131001,4.25,4.25,4.25,4.25,null
PTT-JittaScore,20131101,4.25,4.25,4.25,4.25,null
PTT-JittaScore,20131201,4.25,4.25,4.25,4.25,null
PTT-JittaScore,20140101,4.00,4.00,4.00,4.00,null
PTT-JittaScore,20140201,4.00,4.00,4.00,4.00,null
PTT-JittaScore,20140301,4.00,4.00,4.00,4.00,null
PTT-JittaScore,20140401,3.70,3.70,3.70,3.70,null
PTT-JittaScore,20140501,3.70,3.70,3.70,3.70,null
PTT-JittaScore,20140601,3.70,3.70,3.70,3.70,null
PTT-JittaScore,20140701,4.08,4.08,4.08,4.08,null
PTT-JittaScore,20140801,4.08,4.08,4.08,4.08,null
PTT-JittaScore,20140901,4.08,4.08,4.08,4.08,null
PTT-JittaScore,20141001,3.75,3.75,3.75,3.75,null
PTT-JittaScore,20141101,3.75,3.75,3.75,3.75,null
PTT-JittaScore,20141201,3.75,3.75,3.75,3.75,null
PTT-JittaScore,20150101,2.25,2.25,2.25,2.25,null
PTT-JittaScore,20150201,2.25,2.25,2.25,2.25,null
PTT-JittaScore,20150301,2.25,2.25,2.25,2.25,null
PTT-JittaScore,20150401,1.70,1.70,1.70,1.70,null
PTT-JittaScore,20150501,1.70,1.70,1.70,1.70,null
PTT-JittaScore,20150601,1.70,1.70,1.70,1.70,null
PTT-JittaScore,20150701,1.70,1.70,1.70,1.70,null
PTT-JittaScore,20150801,1.70,1.70,1.70,1.70,null
PTT-JittaScore,20150901,1.70,1.70,1.70,1.70,null
PTT-JittaScore,20151001,0.45,0.45,0.45,0.45,null
PTT-JittaScore,20151101,0.45,0.45,0.45,0.45,null
PTT-JittaScore,20151201,0.45,0.45,0.45,0.45,null
PTT-JittaScore,20160101,0.75,0.75,0.75,0.75,null
PTT-JittaScore,20160201,0.75,0.75,0.75,0.75,null
PTT-JittaScore,20160301,0.75,0.75,0.75,0.75,null
PTT-JittaScore,20160401,0.50,0.50,0.50,0.50,null
PTT-JittaScore,20160501,0.50,0.50,0.50,0.50,null
PTT-JittaScore,20160601,0.50,0.50,0.50,0.50,null
