<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PTTEP,20061201,96.50,96.50,96.50,96.50,8944498.63157895
PTTEP,20070101,94.50,94.50,94.50,94.50,4386352.38095238
PTTEP,20070201,98.00,98.00,98.00,98.00,3033035
PTTEP,20070301,90.00,90.00,90.00,90.00,3967333.33333333
PTTEP,20070401,94.00,94.00,94.00,94.00,3362661.11111111
PTTEP,20070501,104.00,104.00,104.00,104.00,5814760
PTTEP,20070601,108.00,108.00,108.00,108.00,6697823.80952381
PTTEP,20070701,128.00,128.00,128.00,128.00,9450138.0952381
PTTEP,20070801,122.00,122.00,122.00,122.00,7407777.27272727
PTTEP,20070901,136.00,136.00,136.00,136.00,6533120
PTTEP,20071001,162.00,162.00,162.00,162.00,13370150
PTTEP,20071101,152.00,152.00,152.00,152.00,10483809.0909091
PTTEP,20071201,164.00,164.00,164.00,164.00,10104800
PTTEP,20080101,147.00,147.00,147.00,147.00,10386000
PTTEP,20080201,161.00,161.00,161.00,161.00,6727015
PTTEP,20080301,151.00,151.00,151.00,151.00,6055666.66666667
PTTEP,20080401,166.00,166.00,166.00,166.00,4857410.52631579
PTTEP,20080501,187.00,187.00,187.00,187.00,10085000
PTTEP,20080601,193.00,193.00,193.00,193.00,9057400
PTTEP,20080701,150.00,150.00,150.00,150.00,10563280.952381
PTTEP,20080801,149.00,149.00,149.00,149.00,8259275
PTTEP,20080901,127.00,127.00,127.00,127.00,8153059.09090909
PTTEP,20081001,86.00,86.00,86.00,86.00,16954963.6363636
PTTEP,20081101,93.50,93.50,93.50,93.50,13402345
PTTEP,20081201,107.00,107.00,107.00,107.00,10703190
PTTEP,20090101,99.00,99.00,99.00,99.00,12068820
PTTEP,20090201,89.00,89.00,89.00,89.00,6506926.31578947
PTTEP,20090301,97.25,97.25,97.25,97.25,10217327.2727273
PTTEP,20090401,103.50,103.50,103.50,103.50,12376505.5555556
PTTEP,20090501,130.50,130.50,130.50,130.50,16803511.1111111
PTTEP,20090601,133.50,133.50,133.50,133.50,14654277.2727273
PTTEP,20090701,138.00,138.00,138.00,138.00,10477470
PTTEP,20090801,138.50,138.50,138.50,138.50,7380285
PTTEP,20090901,144.50,144.50,144.50,144.50,9046004.54545454
PTTEP,20091001,145.00,145.00,145.00,145.00,13295371.4285714
PTTEP,20091101,130.50,130.50,130.50,130.50,13391166.6666667
PTTEP,20091201,147.00,147.00,147.00,147.00,7483575
PTTEP,20100101,132.00,132.00,132.00,132.00,7516105
PTTEP,20100201,135.00,135.00,135.00,135.00,6120505
PTTEP,20100301,148.50,148.50,148.50,148.50,8435286.36363636
PTTEP,20100401,152.00,152.00,152.00,152.00,8671166.66666667
PTTEP,20100501,145.00,145.00,145.00,145.00,8162162.5
PTTEP,20100601,143.50,143.50,143.50,143.50,5265113.63636364
PTTEP,20100701,149.00,149.00,149.00,149.00,4481120
PTTEP,20100801,143.50,143.50,143.50,143.50,6703820
PTTEP,20100901,154.00,154.00,154.00,154.00,7822450
PTTEP,20101001,171.00,171.00,171.00,171.00,10375800
PTTEP,20101101,167.00,167.00,167.00,167.00,9003890.90909091
PTTEP,20101201,168.00,168.00,168.00,168.00,4830085
PTTEP,20110101,160.50,160.50,160.50,160.50,5655515
PTTEP,20110201,182.00,182.00,182.00,182.00,8624852.63157895
PTTEP,20110301,180.00,180.00,180.00,180.00,5088604.34782609
PTTEP,20110401,185.00,185.00,185.00,185.00,6257970.58823529
PTTEP,20110501,177.50,177.50,177.50,177.50,5343816.66666667
PTTEP,20110601,171.00,171.00,171.00,171.00,3842090.90909091
PTTEP,20110701,184.00,184.00,184.00,184.00,3923321.05263158
PTTEP,20110801,175.00,175.00,175.00,175.00,5508822.72727273
PTTEP,20110901,139.50,139.50,139.50,139.50,4885722.72727273
PTTEP,20111001,161.00,161.00,161.00,161.00,5204310
PTTEP,20111101,155.50,155.50,155.50,155.50,3658731.81818182
PTTEP,20111201,168.50,168.50,168.50,168.50,3474385
PTTEP,20120101,177.00,177.00,177.00,177.00,4207600
PTTEP,20120201,184.50,184.50,184.50,184.50,5396695.23809524
PTTEP,20120301,174.50,174.50,174.50,174.50,4209538.0952381
PTTEP,20120401,177.50,177.50,177.50,177.50,2816764.70588235
PTTEP,20120501,157.00,157.00,157.00,157.00,3874438.0952381
PTTEP,20120601,168.00,168.00,168.00,168.00,3519255
PTTEP,20120701,152.00,152.00,152.00,152.00,4091754.54545455
PTTEP,20120801,149.00,149.00,149.00,149.00,4496223.80952381
PTTEP,20120901,162.50,162.50,162.50,162.50,4168550
PTTEP,20121001,166.00,166.00,166.00,166.00,3052018.18181818
PTTEP,20121101,159.00,159.00,159.00,159.00,4342468.18181818
PTTEP,20121201,164.00,164.00,164.00,164.00,7688750
PTTEP,20130101,166.00,166.00,166.00,166.00,7097681.81818182
PTTEP,20130201,158.00,158.00,158.00,158.00,6129778.94736842
PTTEP,20130301,148.00,148.00,148.00,148.00,5729947.61904762
PTTEP,20130401,154.00,154.00,154.00,154.00,4237168.42105263
PTTEP,20130501,152.00,152.00,152.00,152.00,5595485
PTTEP,20130601,158.50,158.50,158.50,158.50,7140165
PTTEP,20130701,156.00,156.00,156.00,156.00,6569433.33333333
PTTEP,20130801,166.50,166.50,166.50,166.50,6396495.23809524
PTTEP,20130901,163.50,163.50,163.50,163.50,6272757.14285714
PTTEP,20131001,168.50,168.50,168.50,168.50,3370881.81818182
PTTEP,20131101,160.00,160.00,160.00,160.00,3302119.04761905
PTTEP,20131201,166.50,166.50,166.50,166.50,3541211.11111111
PTTEP,20140101,153.00,153.00,153.00,153.00,5662195.45454545
PTTEP,20140201,154.00,154.00,154.00,154.00,5963447.36842105
PTTEP,20140301,157.00,157.00,157.00,157.00,4819428.57142857
PTTEP,20140401,159.50,159.50,159.50,159.50,3474589.47368421
PTTEP,20140501,153.50,153.50,153.50,153.50,4340168.42105263
PTTEP,20140601,167.50,167.50,167.50,167.50,6832804.76190476
PTTEP,20140701,162.50,162.50,162.50,162.50,4663395.23809524
PTTEP,20140801,164.50,164.50,164.50,164.50,3657578.94736842
PTTEP,20140901,160.00,160.00,160.00,160.00,3413350
PTTEP,20141001,146.50,146.50,146.50,146.50,6112259.09090909
PTTEP,20141101,135.50,135.50,135.50,135.50,6131955
PTTEP,20141201,112.00,112.00,112.00,112.00,12836625
PTTEP,20150101,109.00,109.00,109.00,109.00,6335090
PTTEP,20150201,113.00,113.00,113.00,113.00,7160395
PTTEP,20150301,109.00,109.00,109.00,109.00,5074966.66666667
PTTEP,20150401,117.00,117.00,117.00,117.00,6974672.22222222
PTTEP,20150501,108.00,108.00,108.00,108.00,6275061.11111111
PTTEP,20150601,109.00,109.00,109.00,109.00,5493228.57142857
PTTEP,20150701,93.50,93.50,93.50,93.50,9810904.76190476
PTTEP,20150801,79.50,79.50,79.50,79.50,10376755
PTTEP,20150901,70.00,70.00,70.00,70.00,7987090.90909091
PTTEP,20151001,73.00,73.00,73.00,73.00,11757509.5238095
PTTEP,20151101,65.25,65.25,65.25,65.25,6304557.14285714
PTTEP,20151201,57.25,57.25,57.25,57.25,8078625
PTTEP,20160101,57.00,57.00,57.00,57.00,null
PTTEP,20160201,67.75,67.75,67.75,67.75,null
PTTEP,20160301,70.25,70.25,70.25,70.25,null
PTTEP,20160401,75.25,75.25,75.25,75.25,null
PTTEP,20160501,81.25,81.25,81.25,81.25,null
