<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Q-CON,20061201,1.96,1.96,1.96,1.96,617515.84210526
Q-CON,20070101,1.93,1.93,1.93,1.93,186557.14285714
Q-CON,20070201,1.95,1.95,1.95,1.95,340845
Q-CON,20070301,1.88,1.88,1.88,1.88,677947.61904762
Q-CON,20070401,2.08,2.08,2.08,2.08,3845200
Q-CON,20070501,2.02,2.02,2.02,2.02,172595
Q-CON,20070601,2.16,2.16,2.16,2.16,216166.66666667
Q-CON,20070701,2.12,2.12,2.12,2.12,572419.04761905
Q-CON,20070801,1.84,1.84,1.84,1.84,178140.90909091
Q-CON,20070901,1.80,1.80,1.80,1.80,212445
Q-CON,20071001,1.74,1.74,1.74,1.74,186450
Q-CON,20071101,1.65,1.65,1.65,1.65,127270
Q-CON,20071201,1.69,1.69,1.69,1.69,33500
Q-CON,20080101,1.58,1.58,1.58,1.58,48305
Q-CON,20080201,1.69,1.69,1.69,1.69,124635
Q-CON,20080301,1.74,1.74,1.74,1.74,414330
Q-CON,20080401,1.98,1.98,1.98,1.98,1058710.52631579
Q-CON,20080501,2.02,2.02,2.02,2.02,597289.47368421
Q-CON,20080601,1.80,1.80,1.80,1.80,38550
Q-CON,20080701,1.59,1.59,1.59,1.59,46127.77777778
Q-CON,20080801,1.49,1.49,1.49,1.49,94689.47368421
Q-CON,20080901,1.32,1.32,1.32,1.32,44900
Q-CON,20081001,0.82,0.82,0.82,0.82,87380
Q-CON,20081101,0.84,0.84,0.84,0.84,70838.88888889
Q-CON,20081201,0.94,0.94,0.94,0.94,58520
Q-CON,20090101,0.91,0.91,0.91,0.91,118933.33333333
Q-CON,20090201,0.84,0.84,0.84,0.84,69244.44444444
Q-CON,20090301,0.87,0.87,0.87,0.87,30142.85714286
Q-CON,20090401,1.06,1.06,1.06,1.06,89700
Q-CON,20090501,1.63,1.63,1.63,1.63,505772.22222222
Q-CON,20090601,1.66,1.66,1.66,1.66,93066.66666667
Q-CON,20090701,1.67,1.67,1.67,1.67,55500
Q-CON,20090801,1.86,1.86,1.86,1.86,196190
Q-CON,20090901,2.06,2.06,2.06,2.06,527286.36363636
Q-CON,20091001,2.02,2.02,2.02,2.02,309461.90476191
Q-CON,20091101,2.00,2.00,2.00,2.00,178300
Q-CON,20091201,2.82,2.82,2.82,2.82,5090585
Q-CON,20100101,3.16,3.16,3.16,3.16,3818300
Q-CON,20100201,3.96,3.96,3.96,3.96,3288166.66666667
Q-CON,20100301,3.96,3.96,3.96,3.96,396072.72727273
Q-CON,20100401,3.98,3.98,3.98,3.98,51213.33333333
Q-CON,20100501,3.82,3.82,3.82,3.82,11088.88888889
Q-CON,20100601,3.98,3.98,3.98,3.98,12300
Q-CON,20100701,4.06,4.06,4.06,4.06,28333.33333333
Q-CON,20100801,4.28,4.28,4.28,4.28,59285
Q-CON,20100901,4.10,4.10,4.10,4.10,36723.80952381
Q-CON,20101001,4.14,4.14,4.14,4.14,41765
Q-CON,20101101,4.08,4.08,4.08,4.08,56204.54545455
Q-CON,20101201,4.08,4.08,4.08,4.08,33270
Q-CON,20110101,4.12,4.12,4.12,4.12,33042.10526316
Q-CON,20110201,4.10,4.10,4.10,4.10,16400
Q-CON,20110301,4.20,4.20,4.20,4.20,22659.09090909
Q-CON,20110401,4.38,4.38,4.38,4.38,15035.29411765
Q-CON,20110501,5.95,5.95,5.95,5.95,139982.35294118
Q-CON,20110601,5.55,5.55,5.55,5.55,45123.80952381
Q-CON,20110701,5.85,5.85,5.85,5.85,107315.78947368
Q-CON,20110801,5.60,5.60,5.60,5.60,91014.28571429
Q-CON,20110901,5.00,5.00,5.00,5.00,42542.85714286
