<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
QTC-JittaLine,20080101,3.2813,3.2813,3.2813,3.2813,null
QTC-JittaLine,20080201,3.4415,3.4415,3.4415,3.4415,null
QTC-JittaLine,20080301,3.6017,3.6017,3.6017,3.6017,null
QTC-JittaLine,20080401,3.7619,3.7619,3.7619,3.7619,null
QTC-JittaLine,20080501,3.9221,3.9221,3.9221,3.9221,null
QTC-JittaLine,20080601,4.0823,4.0823,4.0823,4.0823,null
QTC-JittaLine,20080701,4.2425,4.2425,4.2425,4.2425,null
QTC-JittaLine,20080801,4.4027,4.4027,4.4027,4.4027,null
QTC-JittaLine,20080901,4.5629,4.5629,4.5629,4.5629,null
QTC-JittaLine,20081001,4.7231,4.7231,4.7231,4.7231,null
QTC-JittaLine,20081101,4.8833,4.8833,4.8833,4.8833,null
QTC-JittaLine,20081201,5.0436,5.0436,5.0436,5.0436,null
QTC-JittaLine,20090101,4.8436,4.8436,4.8436,4.8436,null
QTC-JittaLine,20090201,4.6437,4.6437,4.6437,4.6437,null
QTC-JittaLine,20090301,4.4437,4.4437,4.4437,4.4437,null
QTC-JittaLine,20090401,4.2438,4.2438,4.2438,4.2438,null
QTC-JittaLine,20090501,4.0438,4.0438,4.0438,4.0438,null
QTC-JittaLine,20090601,3.8439,3.8439,3.8439,3.8439,null
QTC-JittaLine,20090701,3.6439,3.6439,3.6439,3.6439,null
QTC-JittaLine,20090801,3.444,3.444,3.444,3.444,null
QTC-JittaLine,20090901,3.244,3.244,3.244,3.244,null
QTC-JittaLine,20091001,3.0441,3.0441,3.0441,3.0441,null
QTC-JittaLine,20091101,2.8441,2.8441,2.8441,2.8441,null
QTC-JittaLine,20091201,2.6442,2.6442,2.6442,2.6442,null
QTC-JittaLine,20100101,2.694,2.694,2.694,2.694,null
QTC-JittaLine,20100201,2.7438,2.7438,2.7438,2.7438,null
QTC-JittaLine,20100301,2.7937,2.7937,2.7937,2.7937,null
QTC-JittaLine,20100401,2.8435,2.8435,2.8435,2.8435,null
QTC-JittaLine,20100501,2.8934,2.8934,2.8934,2.8934,null
QTC-JittaLine,20100601,2.9432,2.9432,2.9432,2.9432,null
QTC-JittaLine,20100701,2.993,2.993,2.993,2.993,null
QTC-JittaLine,20100801,3.0429,3.0429,3.0429,3.0429,null
QTC-JittaLine,20100901,3.0927,3.0927,3.0927,3.0927,null
QTC-JittaLine,20101001,3.1426,3.1426,3.1426,3.1426,null
QTC-JittaLine,20101101,3.1924,3.1924,3.1924,3.1924,null
QTC-JittaLine,20101201,3.2422,3.2422,3.2422,3.2422,null
QTC-JittaLine,20110101,3.4235,3.4235,3.4235,3.4235,null
QTC-JittaLine,20110201,3.6048,3.6048,3.6048,3.6048,null
QTC-JittaLine,20110301,3.786,3.786,3.786,3.786,null
QTC-JittaLine,20110401,3.9673,3.9673,3.9673,3.9673,null
QTC-JittaLine,20110501,4.1485,4.1485,4.1485,4.1485,null
QTC-JittaLine,20110601,4.3298,4.3298,4.3298,4.3298,null
