<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
QTC,20110701,4.40,4.40,4.40,4.40,74802200
QTC,20110801,3.00,3.00,3.00,3.00,11486190.9090909
QTC,20110901,2.12,2.12,2.12,2.12,6636586.36363636
QTC,20111001,2.04,2.04,2.04,2.04,3130700
QTC,20111101,2.86,2.86,2.86,2.86,13444172.7272727
QTC,20111201,3.00,3.00,3.00,3.00,8318835
QTC,20120101,3.12,3.12,3.12,3.12,6027270
QTC,20120201,3.78,3.78,3.78,3.78,11323142.8571429
QTC,20120301,3.54,3.54,3.54,3.54,6615104.76190476
QTC,20120401,3.76,3.76,3.76,3.76,3469764.70588235
QTC,20120501,3.20,3.20,3.20,3.20,2989023.80952381
QTC,20120601,3.26,3.26,3.26,3.26,956120
QTC,20120701,3.28,3.28,3.28,3.28,625181.81818182
QTC,20120801,3.38,3.38,3.38,3.38,1071957.14285714
QTC,20120901,3.72,3.72,3.72,3.72,1585355
QTC,20121001,4.20,4.20,4.20,4.20,1963190.90909091
QTC,20121101,3.94,3.94,3.94,3.94,2589704.54545455
QTC,20121201,4.68,4.68,4.68,4.68,5274094.44444444
QTC,20130101,5.85,5.85,5.85,5.85,3512854.54545455
QTC,20130201,6.80,6.80,6.80,6.80,6554200
QTC,20130301,6.45,6.45,6.45,6.45,1973223.80952381
QTC,20130401,7.20,7.20,7.20,7.20,4598557.89473684
QTC,20130501,6.60,6.60,6.60,6.60,2125305
QTC,20130601,5.65,5.65,5.65,5.65,551965
QTC,20130701,6.35,6.35,6.35,6.35,824809.52380952
QTC,20130801,5.60,5.60,5.60,5.60,948166.66666667
QTC,20130901,5.95,5.95,5.95,5.95,269790.47619048
QTC,20131001,5.80,5.80,5.80,5.80,118095.45454546
QTC,20131101,4.98,4.98,4.98,4.98,122676.19047619
QTC,20131201,4.68,4.68,4.68,4.68,50622.22222222
QTC,20140101,4.20,4.20,4.20,4.20,88722.72727273
QTC,20140201,3.84,3.84,3.84,3.84,357289.47368421
QTC,20140301,4.14,4.14,4.14,4.14,2516733.33333333
QTC,20140401,4.04,4.04,4.04,4.04,1858031.57894737
QTC,20140501,3.72,3.72,3.72,3.72,674384.21052632
QTC,20140601,3.74,3.74,3.74,3.74,575104.76190476
QTC,20140701,3.68,3.68,3.68,3.68,638123.80952381
QTC,20140801,4.16,4.16,4.16,4.16,1496726.31578947
QTC,20140901,5.55,5.55,5.55,5.55,2718340.90909091
QTC,20141001,5.25,5.25,5.25,5.25,2998604.54545455
QTC,20141101,5.15,5.15,5.15,5.15,2089050
QTC,20141201,4.78,4.78,4.78,4.78,721145
QTC,20150101,5.50,5.50,5.50,5.50,1687600
QTC,20150201,5.35,5.35,5.35,5.35,1623800
QTC,20150301,4.98,4.98,4.98,4.98,825257.14285714
QTC,20150401,4.74,4.74,4.74,4.74,428377.77777778
QTC,20150501,4.38,4.38,4.38,4.38,284666.66666667
QTC,20150601,4.32,4.32,4.32,4.32,129119.04761905
QTC,20150701,4.66,4.66,4.66,4.66,862409.52380952
QTC,20150801,4.16,4.16,4.16,4.16,309120
QTC,20150901,4.72,4.72,4.72,4.72,480704.54545455
QTC,20151001,5.05,5.05,5.05,5.05,623100
QTC,20151101,5.00,5.00,5.00,5.00,1090290.47619048
QTC,20151201,5.10,5.10,5.10,5.10,416170
QTC,20160101,5.50,5.50,5.50,5.50,null
QTC,20160201,5.40,5.40,5.40,5.40,null
QTC,20160301,5.50,5.50,5.50,5.50,null
QTC,20160401,9.10,9.10,9.10,9.10,null
QTC,20160501,10.70,10.70,10.70,10.70,null
