<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RCI,20061201,1.7115314,1.7115314,1.7115314,1.7115314,554601.36288404
RCI,20070101,1.801612,1.801612,1.801612,1.801612,295688.41097511
RCI,20070201,1.79260394,1.79260394,1.79260394,1.79260394,451484.55938349
RCI,20070301,1.72053946,1.72053946,1.72053946,1.72053946,612533.31373295
RCI,20070401,1.7565717,1.7565717,1.7565717,1.7565717,167581.94719997
RCI,20070501,1.65748304,1.65748304,1.65748304,1.65748304,471255.74207987
RCI,20070601,1.64847498,1.64847498,1.64847498,1.64847498,327976.1204331
RCI,20070701,1.68450722,1.68450722,1.68450722,1.68450722,566460.95671147
RCI,20070801,1.42327348,1.42327348,1.42327348,1.42327348,149966.22601368
RCI,20070901,1.45029766,1.45029766,1.45029766,1.45029766,99525.24869558
RCI,20071001,1.22509616,1.22509616,1.22509616,1.22509616,191939.21887732
RCI,20071101,1.10799138,1.10799138,1.10799138,1.10799138,101400.41836218
RCI,20071201,1.11699944,1.11699944,1.11699944,1.11699944,88295.92609285
RCI,20080101,0.98187854,0.98187854,0.98187854,0.98187854,55804.19091347
RCI,20080201,1.06295108,1.06295108,1.06295108,1.06295108,49386.32735572
RCI,20080301,1.1710478,1.1710478,1.1710478,1.1710478,63179.53033173
RCI,20080401,1.14402362,1.14402362,1.14402362,1.14402362,840405.26513273
RCI,20080501,1.19807198,1.19807198,1.19807198,1.19807198,4265143.29019419
RCI,20080601,1.0809672,1.0809672,1.0809672,1.0809672,195354.15003474
RCI,20080701,1.02691884,1.02691884,1.02691884,1.02691884,58135.43648688
RCI,20080801,0.97287048,0.97287048,0.97287048,0.97287048,10504.48154209
RCI,20080901,0.82874152,0.82874152,0.82874152,0.82874152,37588.55957887
RCI,20081001,0.62155614,0.62155614,0.62155614,0.62155614,47020.39062795
RCI,20081101,0.44139494,0.44139494,0.44139494,0.44139494,44279.78943302
RCI,20081201,0.5404836,0.5404836,0.5404836,0.5404836,29409.55954146
RCI,20090101,0.450403,0.450403,0.450403,0.450403,59650.28356087
RCI,20090201,0.48643524,0.48643524,0.48643524,0.48643524,63276.66556395
RCI,20090301,0.38734658,0.38734658,0.38734658,0.38734658,65182.36631047
RCI,20090401,0.44139494,0.44139494,0.44139494,0.44139494,99037.23258208
RCI,20090501,0.450403,0.450403,0.450403,0.450403,131240.49154005
RCI,20090601,0.50445136,0.50445136,0.50445136,0.50445136,465971.58544681
RCI,20090701,0.4954433,0.4954433,0.4954433,0.4954433,159412.79254357
RCI,20090801,0.83774958,0.83774958,0.83774958,0.83774958,2261485.8249168
RCI,20090901,0.82874152,0.82874152,0.82874152,0.82874152,3128208.61640474
RCI,20091001,1.04493496,1.04493496,1.04493496,1.04493496,11169351.7223676
