<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RICHY-JittaLine,20110101,0.5304,0.5304,0.5304,0.5304,null
RICHY-JittaLine,20110201,0.4891,0.4891,0.4891,0.4891,null
RICHY-JittaLine,20110301,0.4477,0.4477,0.4477,0.4477,null
RICHY-JittaLine,20110401,0.4064,0.4064,0.4064,0.4064,null
RICHY-JittaLine,20110501,0.365,0.365,0.365,0.365,null
RICHY-JittaLine,20110601,0.3237,0.3237,0.3237,0.3237,null
RICHY-JittaLine,20110701,0.2823,0.2823,0.2823,0.2823,null
RICHY-JittaLine,20110801,0.241,0.241,0.241,0.241,null
RICHY-JittaLine,20110901,0.1997,0.1997,0.1997,0.1997,null
RICHY-JittaLine,20111001,0.1583,0.1583,0.1583,0.1583,null
RICHY-JittaLine,20111101,0.117,0.117,0.117,0.117,null
RICHY-JittaLine,20111201,0.0756,0.0756,0.0756,0.0756,null
RICHY-JittaLine,20120101,0.1402,0.1402,0.1402,0.1402,null
RICHY-JittaLine,20120201,0.2048,0.2048,0.2048,0.2048,null
RICHY-JittaLine,20120301,0.2694,0.2694,0.2694,0.2694,null
RICHY-JittaLine,20120401,0.334,0.334,0.334,0.334,null
RICHY-JittaLine,20120501,0.3985,0.3985,0.3985,0.3985,null
RICHY-JittaLine,20120601,0.4631,0.4631,0.4631,0.4631,null
RICHY-JittaLine,20120701,0.5277,0.5277,0.5277,0.5277,null
RICHY-JittaLine,20120801,0.5923,0.5923,0.5923,0.5923,null
RICHY-JittaLine,20120901,0.6569,0.6569,0.6569,0.6569,null
RICHY-JittaLine,20121001,0.7214,0.7214,0.7214,0.7214,null
RICHY-JittaLine,20121101,0.786,0.786,0.786,0.786,null
RICHY-JittaLine,20121201,0.8506,0.8506,0.8506,0.8506,null
RICHY-JittaLine,20130101,1.0526,1.0526,1.0526,1.0526,null
RICHY-JittaLine,20130201,1.2547,1.2547,1.2547,1.2547,null
RICHY-JittaLine,20130301,1.4567,1.4567,1.4567,1.4567,null
RICHY-JittaLine,20130401,1.6588,1.6588,1.6588,1.6588,null
RICHY-JittaLine,20130501,1.8608,1.8608,1.8608,1.8608,null
RICHY-JittaLine,20130601,2.0629,2.0629,2.0629,2.0629,null
RICHY-JittaLine,20130701,2.2649,2.2649,2.2649,2.2649,null
RICHY-JittaLine,20130801,2.4669,2.4669,2.4669,2.4669,null
RICHY-JittaLine,20130901,2.669,2.669,2.669,2.669,null
RICHY-JittaLine,20131001,2.871,2.871,2.871,2.871,null
RICHY-JittaLine,20131101,3.0731,3.0731,3.0731,3.0731,null
RICHY-JittaLine,20131201,3.2751,3.2751,3.2751,3.2751,null
RICHY-JittaLine,20140101,3.404,3.404,3.404,3.404,null
RICHY-JittaLine,20140201,3.5329,3.5329,3.5329,3.5329,null
RICHY-JittaLine,20140301,3.6619,3.6619,3.6619,3.6619,null
RICHY-JittaLine,20140401,3.7908,3.7908,3.7908,3.7908,null
RICHY-JittaLine,20140501,3.9197,3.9197,3.9197,3.9197,null
RICHY-JittaLine,20140601,4.0486,4.0486,4.0486,4.0486,null
RICHY-JittaLine,20140701,4.1775,4.1775,4.1775,4.1775,null
RICHY-JittaLine,20140801,4.3064,4.3064,4.3064,4.3064,null
RICHY-JittaLine,20140901,4.4353,4.4353,4.4353,4.4353,null
RICHY-JittaLine,20141001,4.5643,4.5643,4.5643,4.5643,null
RICHY-JittaLine,20141101,4.6932,4.6932,4.6932,4.6932,null
RICHY-JittaLine,20141201,4.8221,4.8221,4.8221,4.8221,null
RICHY-JittaLine,20150101,4.4682,4.4682,4.4682,4.4682,null
RICHY-JittaLine,20150201,4.1142,4.1142,4.1142,4.1142,null
RICHY-JittaLine,20150301,3.7603,3.7603,3.7603,3.7603,null
RICHY-JittaLine,20150401,3.4064,3.4064,3.4064,3.4064,null
RICHY-JittaLine,20150501,3.0524,3.0524,3.0524,3.0524,null
RICHY-JittaLine,20150601,2.6985,2.6985,2.6985,2.6985,null
RICHY-JittaLine,20150701,2.3446,2.3446,2.3446,2.3446,null
RICHY-JittaLine,20150801,1.9907,1.9907,1.9907,1.9907,null
RICHY-JittaLine,20150901,1.6367,1.6367,1.6367,1.6367,null
RICHY-JittaLine,20151001,1.2828,1.2828,1.2828,1.2828,null
RICHY-JittaLine,20151101,0.9289,0.9289,0.9289,0.9289,null
RICHY-JittaLine,20151201,0.5749,0.5749,0.5749,0.5749,null
RICHY-JittaLine,20160101,0.5893,0.5893,0.5893,0.5893,null
RICHY-JittaLine,20160201,0.6037,0.6037,0.6037,0.6037,null
RICHY-JittaLine,20160301,0.6181,0.6181,0.6181,0.6181,null
RICHY-JittaLine,20160401,0.6324,0.6324,0.6324,0.6324,null
RICHY-JittaLine,20160501,0.6468,0.6468,0.6468,0.6468,null
RICHY-JittaLine,20160601,0.6612,0.6612,0.6612,0.6612,null
RICHY-JittaLine,20160701,0.6756,0.6756,0.6756,0.6756,null
RICHY-JittaLine,20160801,0.6899,0.6899,0.6899,0.6899,null
RICHY-JittaLine,20160901,0.7043,0.7043,0.7043,0.7043,null
RICHY-JittaLine,20161001,0.7187,0.7187,0.7187,0.7187,null
RICHY-JittaLine,20161101,0.7331,0.7331,0.7331,0.7331,null
RICHY-JittaLine,20161201,0.7474,0.7474,0.7474,0.7474,null
