<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ROH-JittaLine,20061201,46.0309,46.0309,46.0309,46.0309,null
ROH-JittaLine,20070101,45.397,45.397,45.397,45.397,null
ROH-JittaLine,20070201,44.7632,44.7632,44.7632,44.7632,null
ROH-JittaLine,20070301,44.1293,44.1293,44.1293,44.1293,null
ROH-JittaLine,20070401,43.4955,43.4955,43.4955,43.4955,null
ROH-JittaLine,20070501,42.8616,42.8616,42.8616,42.8616,null
ROH-JittaLine,20070601,42.2277,42.2277,42.2277,42.2277,null
ROH-JittaLine,20070701,41.5939,41.5939,41.5939,41.5939,null
ROH-JittaLine,20070801,40.96,40.96,40.96,40.96,null
ROH-JittaLine,20070901,40.3262,40.3262,40.3262,40.3262,null
ROH-JittaLine,20071001,39.6923,39.6923,39.6923,39.6923,null
ROH-JittaLine,20071101,39.0585,39.0585,39.0585,39.0585,null
ROH-JittaLine,20071201,38.4246,38.4246,38.4246,38.4246,null
ROH-JittaLine,20080101,38.1757,38.1757,38.1757,38.1757,null
ROH-JittaLine,20080201,37.9268,37.9268,37.9268,37.9268,null
ROH-JittaLine,20080301,37.678,37.678,37.678,37.678,null
ROH-JittaLine,20080401,37.4291,37.4291,37.4291,37.4291,null
ROH-JittaLine,20080501,37.1802,37.1802,37.1802,37.1802,null
ROH-JittaLine,20080601,36.9314,36.9314,36.9314,36.9314,null
ROH-JittaLine,20080701,36.6825,36.6825,36.6825,36.6825,null
ROH-JittaLine,20080801,36.4336,36.4336,36.4336,36.4336,null
ROH-JittaLine,20080901,36.1847,36.1847,36.1847,36.1847,null
ROH-JittaLine,20081001,35.9359,35.9359,35.9359,35.9359,null
ROH-JittaLine,20081101,35.687,35.687,35.687,35.687,null
ROH-JittaLine,20081201,35.4381,35.4381,35.4381,35.4381,null
ROH-JittaLine,20090101,32.7422,32.7422,32.7422,32.7422,null
ROH-JittaLine,20090201,30.0463,30.0463,30.0463,30.0463,null
ROH-JittaLine,20090301,27.3504,27.3504,27.3504,27.3504,null
ROH-JittaLine,20090401,24.6545,24.6545,24.6545,24.6545,null
ROH-JittaLine,20090501,21.9586,21.9586,21.9586,21.9586,null
ROH-JittaLine,20090601,19.2627,19.2627,19.2627,19.2627,null
ROH-JittaLine,20090701,16.5668,16.5668,16.5668,16.5668,null
ROH-JittaLine,20090801,13.8709,13.8709,13.8709,13.8709,null
ROH-JittaLine,20090901,11.175,11.175,11.175,11.175,null
ROH-JittaLine,20091001,8.4792,8.4792,8.4792,8.4792,null
ROH-JittaLine,20091101,5.7833,5.7833,5.7833,5.7833,null
ROH-JittaLine,20091201,3.0874,3.0874,3.0874,3.0874,null
ROH-JittaLine,20100101,2.8735,2.8735,2.8735,2.8735,null
ROH-JittaLine,20100201,2.6597,2.6597,2.6597,2.6597,null
ROH-JittaLine,20100301,2.4459,2.4459,2.4459,2.4459,null
ROH-JittaLine,20100401,2.2321,2.2321,2.2321,2.2321,null
ROH-JittaLine,20100501,2.0182,2.0182,2.0182,2.0182,null
ROH-JittaLine,20100601,1.8044,1.8044,1.8044,1.8044,null
ROH-JittaLine,20100701,1.5906,1.5906,1.5906,1.5906,null
ROH-JittaLine,20100801,1.3768,1.3768,1.3768,1.3768,null
ROH-JittaLine,20100901,1.1629,1.1629,1.1629,1.1629,null
ROH-JittaLine,20101001,0.9491,0.9491,0.9491,0.9491,null
ROH-JittaLine,20101101,0.7353,0.7353,0.7353,0.7353,null
ROH-JittaLine,20101201,0.5215,0.5215,0.5215,0.5215,null
ROH-JittaLine,20110101,1.0972,1.0972,1.0972,1.0972,null
ROH-JittaLine,20110201,1.6729,1.6729,1.6729,1.6729,null
ROH-JittaLine,20110301,2.2487,2.2487,2.2487,2.2487,null
ROH-JittaLine,20110401,2.8244,2.8244,2.8244,2.8244,null
ROH-JittaLine,20110501,3.4001,3.4001,3.4001,3.4001,null
ROH-JittaLine,20110601,3.9759,3.9759,3.9759,3.9759,null
ROH-JittaLine,20110701,4.5516,4.5516,4.5516,4.5516,null
ROH-JittaLine,20110801,5.1273,5.1273,5.1273,5.1273,null
ROH-JittaLine,20110901,5.703,5.703,5.703,5.703,null
ROH-JittaLine,20111001,6.2788,6.2788,6.2788,6.2788,null
ROH-JittaLine,20111101,6.8545,6.8545,6.8545,6.8545,null
ROH-JittaLine,20111201,7.4302,7.4302,7.4302,7.4302,null
ROH-JittaLine,20120101,8.2679,8.2679,8.2679,8.2679,null
ROH-JittaLine,20120201,9.1055,9.1055,9.1055,9.1055,null
ROH-JittaLine,20120301,9.9432,9.9432,9.9432,9.9432,null
ROH-JittaLine,20120401,10.7808,10.7808,10.7808,10.7808,null
ROH-JittaLine,20120501,11.6184,11.6184,11.6184,11.6184,null
ROH-JittaLine,20120601,12.4561,12.4561,12.4561,12.4561,null
ROH-JittaLine,20120701,13.2937,13.2937,13.2937,13.2937,null
ROH-JittaLine,20120801,14.1313,14.1313,14.1313,14.1313,null
ROH-JittaLine,20120901,14.969,14.969,14.969,14.969,null
ROH-JittaLine,20121001,15.8066,15.8066,15.8066,15.8066,null
ROH-JittaLine,20121101,16.6443,16.6443,16.6443,16.6443,null
ROH-JittaLine,20121201,17.4819,17.4819,17.4819,17.4819,null
ROH-JittaLine,20130101,16.5126,16.5126,16.5126,16.5126,null
ROH-JittaLine,20130201,15.5433,15.5433,15.5433,15.5433,null
ROH-JittaLine,20130301,14.574,14.574,14.574,14.574,null
ROH-JittaLine,20130401,13.6047,13.6047,13.6047,13.6047,null
ROH-JittaLine,20130501,12.6354,12.6354,12.6354,12.6354,null
ROH-JittaLine,20130601,11.6661,11.6661,11.6661,11.6661,null
ROH-JittaLine,20130701,10.6969,10.6969,10.6969,10.6969,null
ROH-JittaLine,20130801,9.7276,9.7276,9.7276,9.7276,null
ROH-JittaLine,20130901,8.7583,8.7583,8.7583,8.7583,null
ROH-JittaLine,20131001,7.789,7.789,7.789,7.789,null
ROH-JittaLine,20131101,6.8197,6.8197,6.8197,6.8197,null
ROH-JittaLine,20131201,5.8504,5.8504,5.8504,5.8504,null
ROH-JittaLine,20140101,5.4669,5.4669,5.4669,5.4669,null
ROH-JittaLine,20140201,5.0833,5.0833,5.0833,5.0833,null
ROH-JittaLine,20140301,4.6998,4.6998,4.6998,4.6998,null
ROH-JittaLine,20140401,4.3162,4.3162,4.3162,4.3162,null
ROH-JittaLine,20140501,3.9327,3.9327,3.9327,3.9327,null
ROH-JittaLine,20140601,3.5491,3.5491,3.5491,3.5491,null
ROH-JittaLine,20140701,3.1656,3.1656,3.1656,3.1656,null
ROH-JittaLine,20140801,2.7821,2.7821,2.7821,2.7821,null
ROH-JittaLine,20140901,2.3985,2.3985,2.3985,2.3985,null
ROH-JittaLine,20141001,2.015,2.015,2.015,2.015,null
ROH-JittaLine,20141101,1.6314,1.6314,1.6314,1.6314,null
ROH-JittaLine,20141201,1.2479,1.2479,1.2479,1.2479,null
ROH-JittaLine,20150101,1.3786,1.3786,1.3786,1.3786,null
ROH-JittaLine,20150201,1.5093,1.5093,1.5093,1.5093,null
ROH-JittaLine,20150301,1.64,1.64,1.64,1.64,null
ROH-JittaLine,20150401,1.7708,1.7708,1.7708,1.7708,null
ROH-JittaLine,20150501,1.9015,1.9015,1.9015,1.9015,null
ROH-JittaLine,20150601,2.0322,2.0322,2.0322,2.0322,null
ROH-JittaLine,20150701,2.1629,2.1629,2.1629,2.1629,null
ROH-JittaLine,20150801,2.2936,2.2936,2.2936,2.2936,null
ROH-JittaLine,20150901,2.4243,2.4243,2.4243,2.4243,null
ROH-JittaLine,20151001,2.5551,2.5551,2.5551,2.5551,null
ROH-JittaLine,20151101,2.6858,2.6858,2.6858,2.6858,null
ROH-JittaLine,20151201,2.8165,2.8165,2.8165,2.8165,null
ROH-JittaLine,20160101,2.8472,2.8472,2.8472,2.8472,null
ROH-JittaLine,20160201,2.8778,2.8778,2.8778,2.8778,null
ROH-JittaLine,20160301,2.9085,2.9085,2.9085,2.9085,null
ROH-JittaLine,20160401,2.9391,2.9391,2.9391,2.9391,null
ROH-JittaLine,20160501,2.9698,2.9698,2.9698,2.9698,null
ROH-JittaLine,20160601,3.0004,3.0004,3.0004,3.0004,null
ROH-JittaLine,20160701,3.0311,3.0311,3.0311,3.0311,null
ROH-JittaLine,20160801,3.0618,3.0618,3.0618,3.0618,null
ROH-JittaLine,20160901,3.0924,3.0924,3.0924,3.0924,null
ROH-JittaLine,20161001,3.1231,3.1231,3.1231,3.1231,null
ROH-JittaLine,20161101,3.1537,3.1537,3.1537,3.1537,null
ROH-JittaLine,20161201,3.1844,3.1844,3.1844,3.1844,null
