<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SALEE-JittaScore,20061201,2.90,2.90,2.90,2.90,null
SALEE-JittaScore,20070101,3.95,3.95,3.95,3.95,null
SALEE-JittaScore,20070201,3.95,3.95,3.95,3.95,null
SALEE-JittaScore,20070301,3.95,3.95,3.95,3.95,null
SALEE-JittaScore,20070401,3.77,3.77,3.77,3.77,null
SALEE-JittaScore,20070501,3.77,3.77,3.77,3.77,null
SALEE-JittaScore,20070601,3.77,3.77,3.77,3.77,null
SALEE-JittaScore,20070701,4.08,4.08,4.08,4.08,null
SALEE-JittaScore,20070801,4.08,4.08,4.08,4.08,null
SALEE-JittaScore,20070901,4.08,4.08,4.08,4.08,null
SALEE-JittaScore,20071001,2.75,2.75,2.75,2.75,null
SALEE-JittaScore,20071101,2.75,2.75,2.75,2.75,null
SALEE-JittaScore,20071201,2.75,2.75,2.75,2.75,null
SALEE-JittaScore,20080101,0.70,0.70,0.70,0.70,null
SALEE-JittaScore,20080201,0.70,0.70,0.70,0.70,null
SALEE-JittaScore,20080301,0.70,0.70,0.70,0.70,null
SALEE-JittaScore,20080401,0.75,0.75,0.75,0.75,null
SALEE-JittaScore,20080501,0.75,0.75,0.75,0.75,null
SALEE-JittaScore,20080601,0.75,0.75,0.75,0.75,null
SALEE-JittaScore,20080701,0.47,0.47,0.47,0.47,null
SALEE-JittaScore,20080801,0.47,0.47,0.47,0.47,null
SALEE-JittaScore,20080901,0.47,0.47,0.47,0.47,null
SALEE-JittaScore,20081001,2.22,2.22,2.22,2.22,null
SALEE-JittaScore,20081101,2.22,2.22,2.22,2.22,null
SALEE-JittaScore,20081201,2.22,2.22,2.22,2.22,null
SALEE-JittaScore,20090101,2.47,2.47,2.47,2.47,null
SALEE-JittaScore,20090201,2.47,2.47,2.47,2.47,null
SALEE-JittaScore,20090301,2.47,2.47,2.47,2.47,null
SALEE-JittaScore,20090401,1.82,1.82,1.82,1.82,null
SALEE-JittaScore,20090501,1.82,1.82,1.82,1.82,null
SALEE-JittaScore,20090601,1.82,1.82,1.82,1.82,null
SALEE-JittaScore,20090701,2.19,2.19,2.19,2.19,null
SALEE-JittaScore,20090801,2.19,2.19,2.19,2.19,null
SALEE-JittaScore,20090901,2.19,2.19,2.19,2.19,null
SALEE-JittaScore,20091001,1.80,1.80,1.80,1.80,null
SALEE-JittaScore,20091101,1.80,1.80,1.80,1.80,null
SALEE-JittaScore,20091201,1.80,1.80,1.80,1.80,null
SALEE-JittaScore,20100101,1.90,1.90,1.90,1.90,null
SALEE-JittaScore,20100201,1.90,1.90,1.90,1.90,null
SALEE-JittaScore,20100301,1.90,1.90,1.90,1.90,null
SALEE-JittaScore,20100401,2.10,2.10,2.10,2.10,null
SALEE-JittaScore,20100501,2.10,2.10,2.10,2.10,null
SALEE-JittaScore,20100601,2.10,2.10,2.10,2.10,null
SALEE-JittaScore,20100701,1.98,1.98,1.98,1.98,null
SALEE-JittaScore,20100801,1.98,1.98,1.98,1.98,null
SALEE-JittaScore,20100901,1.98,1.98,1.98,1.98,null
SALEE-JittaScore,20101001,2.50,2.50,2.50,2.50,null
SALEE-JittaScore,20101101,2.50,2.50,2.50,2.50,null
SALEE-JittaScore,20101201,2.50,2.50,2.50,2.50,null
SALEE-JittaScore,20110101,3.25,3.25,3.25,3.25,null
SALEE-JittaScore,20110201,3.25,3.25,3.25,3.25,null
SALEE-JittaScore,20110301,3.25,3.25,3.25,3.25,null
SALEE-JittaScore,20110401,2.70,2.70,2.70,2.70,null
SALEE-JittaScore,20110501,2.70,2.70,2.70,2.70,null
