<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SAM-JittaScore,20061201,3.75,3.75,3.75,3.75,null
SAM-JittaScore,20070101,3.00,3.00,3.00,3.00,null
SAM-JittaScore,20070201,3.00,3.00,3.00,3.00,null
SAM-JittaScore,20070301,3.00,3.00,3.00,3.00,null
SAM-JittaScore,20070401,3.25,3.25,3.25,3.25,null
SAM-JittaScore,20070501,3.25,3.25,3.25,3.25,null
SAM-JittaScore,20070601,3.25,3.25,3.25,3.25,null
SAM-JittaScore,20070701,2.83,2.83,2.83,2.83,null
SAM-JittaScore,20070801,2.83,2.83,2.83,2.83,null
SAM-JittaScore,20070901,2.83,2.83,2.83,2.83,null
SAM-JittaScore,20071001,2.00,2.00,2.00,2.00,null
SAM-JittaScore,20071101,2.00,2.00,2.00,2.00,null
SAM-JittaScore,20071201,2.00,2.00,2.00,2.00,null
SAM-JittaScore,20080101,1.45,1.45,1.45,1.45,null
SAM-JittaScore,20080201,1.45,1.45,1.45,1.45,null
SAM-JittaScore,20080301,1.45,1.45,1.45,1.45,null
SAM-JittaScore,20080401,0.90,0.90,0.90,0.90,null
SAM-JittaScore,20080501,0.90,0.90,0.90,0.90,null
SAM-JittaScore,20080601,0.90,0.90,0.90,0.90,null
SAM-JittaScore,20080701,1.15,1.15,1.15,1.15,null
SAM-JittaScore,20080801,1.15,1.15,1.15,1.15,null
SAM-JittaScore,20080901,1.15,1.15,1.15,1.15,null
SAM-JittaScore,20081001,1.08,1.08,1.08,1.08,null
SAM-JittaScore,20081101,1.08,1.08,1.08,1.08,null
SAM-JittaScore,20081201,1.08,1.08,1.08,1.08,null
SAM-JittaScore,20090101,1.00,1.00,1.00,1.00,null
SAM-JittaScore,20090201,1.00,1.00,1.00,1.00,null
SAM-JittaScore,20090301,1.00,1.00,1.00,1.00,null
SAM-JittaScore,20090401,1.13,1.13,1.13,1.13,null
SAM-JittaScore,20090501,1.13,1.13,1.13,1.13,null
SAM-JittaScore,20090601,1.13,1.13,1.13,1.13,null
SAM-JittaScore,20090701,0.88,0.88,0.88,0.88,null
SAM-JittaScore,20090801,0.88,0.88,0.88,0.88,null
SAM-JittaScore,20090901,0.88,0.88,0.88,0.88,null
SAM-JittaScore,20091001,1.00,1.00,1.00,1.00,null
SAM-JittaScore,20091101,1.00,1.00,1.00,1.00,null
SAM-JittaScore,20091201,1.00,1.00,1.00,1.00,null
SAM-JittaScore,20100101,0.90,0.90,0.90,0.90,null
SAM-JittaScore,20100201,0.90,0.90,0.90,0.90,null
SAM-JittaScore,20100301,0.90,0.90,0.90,0.90,null
SAM-JittaScore,20100401,1.07,1.07,1.07,1.07,null
SAM-JittaScore,20100501,1.07,1.07,1.07,1.07,null
SAM-JittaScore,20100601,1.07,1.07,1.07,1.07,null
SAM-JittaScore,20100701,1.15,1.15,1.15,1.15,null
SAM-JittaScore,20100801,1.15,1.15,1.15,1.15,null
SAM-JittaScore,20100901,1.15,1.15,1.15,1.15,null
SAM-JittaScore,20101001,1.40,1.40,1.40,1.40,null
SAM-JittaScore,20101101,1.40,1.40,1.40,1.40,null
SAM-JittaScore,20101201,1.40,1.40,1.40,1.40,null
SAM-JittaScore,20110101,1.84,1.84,1.84,1.84,null
SAM-JittaScore,20110201,1.84,1.84,1.84,1.84,null
SAM-JittaScore,20110301,1.84,1.84,1.84,1.84,null
SAM-JittaScore,20110401,2.06,2.06,2.06,2.06,null
SAM-JittaScore,20110501,2.06,2.06,2.06,2.06,null
SAM-JittaScore,20110601,2.06,2.06,2.06,2.06,null
SAM-JittaScore,20110701,1.66,1.66,1.66,1.66,null
SAM-JittaScore,20110801,1.66,1.66,1.66,1.66,null
SAM-JittaScore,20110901,1.66,1.66,1.66,1.66,null
SAM-JittaScore,20111001,1.15,1.15,1.15,1.15,null
SAM-JittaScore,20111101,1.15,1.15,1.15,1.15,null
SAM-JittaScore,20111201,1.15,1.15,1.15,1.15,null
SAM-JittaScore,20120101,1.34,1.34,1.34,1.34,null
SAM-JittaScore,20120201,1.34,1.34,1.34,1.34,null
SAM-JittaScore,20120301,1.34,1.34,1.34,1.34,null
SAM-JittaScore,20120401,0.79,0.79,0.79,0.79,null
SAM-JittaScore,20120501,0.79,0.79,0.79,0.79,null
SAM-JittaScore,20120601,0.79,0.79,0.79,0.79,null
SAM-JittaScore,20120701,1.09,1.09,1.09,1.09,null
SAM-JittaScore,20120801,1.09,1.09,1.09,1.09,null
SAM-JittaScore,20120901,1.09,1.09,1.09,1.09,null
SAM-JittaScore,20121001,2.15,2.15,2.15,2.15,null
SAM-JittaScore,20121101,2.15,2.15,2.15,2.15,null
SAM-JittaScore,20121201,2.15,2.15,2.15,2.15,null
SAM-JittaScore,20130101,2.35,2.35,2.35,2.35,null
SAM-JittaScore,20130201,2.35,2.35,2.35,2.35,null
SAM-JittaScore,20130301,2.35,2.35,2.35,2.35,null
SAM-JittaScore,20130401,2.23,2.23,2.23,2.23,null
SAM-JittaScore,20130501,2.23,2.23,2.23,2.23,null
SAM-JittaScore,20130601,2.23,2.23,2.23,2.23,null
SAM-JittaScore,20130701,2.23,2.23,2.23,2.23,null
SAM-JittaScore,20130801,2.23,2.23,2.23,2.23,null
SAM-JittaScore,20130901,2.23,2.23,2.23,2.23,null
SAM-JittaScore,20131001,2.35,2.35,2.35,2.35,null
SAM-JittaScore,20131101,2.35,2.35,2.35,2.35,null
SAM-JittaScore,20131201,2.35,2.35,2.35,2.35,null
SAM-JittaScore,20140101,1.60,1.60,1.60,1.60,null
SAM-JittaScore,20140201,1.60,1.60,1.60,1.60,null
