<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SAMTEL,20061201,9.25,9.25,9.25,9.25,846136.84210526
SAMTEL,20070101,8.30,8.30,8.30,8.30,192157.14285714
SAMTEL,20070201,8.45,8.45,8.45,8.45,150305
SAMTEL,20070301,8.85,8.85,8.85,8.85,449309.52380952
SAMTEL,20070401,8.70,8.70,8.70,8.70,187688.88888889
SAMTEL,20070501,8.50,8.50,8.50,8.50,410825
SAMTEL,20070601,8.70,8.70,8.70,8.70,757295.23809524
SAMTEL,20070701,8.20,8.20,8.20,8.20,181390.47619048
SAMTEL,20070801,7.75,7.75,7.75,7.75,74427.27272727
SAMTEL,20070901,8.05,8.05,8.05,8.05,81750
SAMTEL,20071001,7.85,7.85,7.85,7.85,73904.54545455
SAMTEL,20071101,7.80,7.80,7.80,7.80,31663.63636364
SAMTEL,20071201,8.10,8.10,8.10,8.10,37217.64705882
SAMTEL,20080101,7.60,7.60,7.60,7.60,249795.45454546
SAMTEL,20080201,7.40,7.40,7.40,7.40,50760
SAMTEL,20080301,7.75,7.75,7.75,7.75,51142.85714286
SAMTEL,20080401,7.75,7.75,7.75,7.75,45178.94736842
SAMTEL,20080501,7.80,7.80,7.80,7.80,90384.21052632
SAMTEL,20080601,7.40,7.40,7.40,7.40,126652.38095238
SAMTEL,20080701,7.75,7.75,7.75,7.75,297895
SAMTEL,20080801,7.80,7.80,7.80,7.80,21520
SAMTEL,20080901,7.40,7.40,7.40,7.40,115368.18181818
SAMTEL,20081001,6.50,6.50,6.50,6.50,189595.45454546
SAMTEL,20081101,6.30,6.30,6.30,6.30,115440
SAMTEL,20081201,6.15,6.15,6.15,6.15,121690
SAMTEL,20090101,6.60,6.60,6.60,6.60,335300
SAMTEL,20090201,6.70,6.70,6.70,6.70,477657.89473684
SAMTEL,20090301,7.40,7.40,7.40,7.40,291681.81818182
SAMTEL,20090401,7.25,7.25,7.25,7.25,100888.88888889
SAMTEL,20090501,7.40,7.40,7.40,7.40,279322.22222222
SAMTEL,20090601,7.60,7.60,7.60,7.60,298581.81818182
SAMTEL,20090701,8.10,8.10,8.10,8.10,757930
SAMTEL,20090801,8.10,8.10,8.10,8.10,837620
SAMTEL,20090901,8.25,8.25,8.25,8.25,1288904.54545455
SAMTEL,20091001,7.90,7.90,7.90,7.90,821780.95238095
SAMTEL,20091101,7.60,7.60,7.60,7.60,1154576.19047619
SAMTEL,20091201,7.80,7.80,7.80,7.80,266005
SAMTEL,20100101,7.70,7.70,7.70,7.70,2877270
SAMTEL,20100201,7.65,7.65,7.65,7.65,2341685
SAMTEL,20100301,7.45,7.45,7.45,7.45,2690940.90909091
SAMTEL,20100401,7.10,7.10,7.10,7.10,2062072.22222222
SAMTEL,20100501,6.90,6.90,6.90,6.90,1464818.75
SAMTEL,20100601,7.65,7.65,7.65,7.65,8352877.27272727
SAMTEL,20100701,8.25,8.25,8.25,8.25,17113640
SAMTEL,20100801,9.95,9.95,9.95,9.95,30691880
SAMTEL,20100901,10.80,10.80,10.80,10.80,12885159.0909091
SAMTEL,20101001,10.80,10.80,10.80,10.80,6426290
SAMTEL,20101101,12.10,12.10,12.10,12.10,15021372.7272727
SAMTEL,20101201,12.40,12.40,12.40,12.40,2344375
SAMTEL,20110101,12.20,12.20,12.20,12.20,8225320
SAMTEL,20110201,10.90,10.90,10.90,10.90,3670310.52631579
SAMTEL,20110301,11.90,11.90,11.90,11.90,1431126.08695652
SAMTEL,20110401,13.50,13.50,13.50,13.50,3002364.70588235
SAMTEL,20110501,12.50,12.50,12.50,12.50,1270977.77777778
SAMTEL,20110601,11.90,11.90,11.90,11.90,1058077.27272727
SAMTEL,20110701,13.70,13.70,13.70,13.70,5136536.84210526
SAMTEL,20110801,12.10,12.10,12.10,12.10,5862054.54545455
SAMTEL,20110901,10.00,10.00,10.00,10.00,2206168.18181818
SAMTEL,20111001,10.40,10.40,10.40,10.40,1737200
SAMTEL,20111101,12.10,12.10,12.10,12.10,3960890.90909091
SAMTEL,20111201,11.30,11.30,11.30,11.30,2789990
SAMTEL,20120101,12.30,12.30,12.30,12.30,3630455
