<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SCC-JittaLine,20061201,532.25,532.25,532.25,532.25,null
SCC-JittaLine,20070101,523.6971,523.6971,523.6971,523.6971,null
SCC-JittaLine,20070201,515.1441,515.1441,515.1441,515.1441,null
SCC-JittaLine,20070301,506.5912,506.5912,506.5912,506.5912,null
SCC-JittaLine,20070401,498.0383,498.0383,498.0383,498.0383,null
SCC-JittaLine,20070501,489.4854,489.4854,489.4854,489.4854,null
SCC-JittaLine,20070601,480.9324,480.9324,480.9324,480.9324,null
SCC-JittaLine,20070701,472.3795,472.3795,472.3795,472.3795,null
SCC-JittaLine,20070801,463.8266,463.8266,463.8266,463.8266,null
SCC-JittaLine,20070901,455.2737,455.2737,455.2737,455.2737,null
SCC-JittaLine,20071001,446.7207,446.7207,446.7207,446.7207,null
SCC-JittaLine,20071101,438.1678,438.1678,438.1678,438.1678,null
SCC-JittaLine,20071201,429.6149,429.6149,429.6149,429.6149,null
SCC-JittaLine,20080101,413.9238,413.9238,413.9238,413.9238,null
SCC-JittaLine,20080201,398.2328,398.2328,398.2328,398.2328,null
SCC-JittaLine,20080301,382.5417,382.5417,382.5417,382.5417,null
SCC-JittaLine,20080401,366.8507,366.8507,366.8507,366.8507,null
SCC-JittaLine,20080501,351.1596,351.1596,351.1596,351.1596,null
SCC-JittaLine,20080601,335.4685,335.4685,335.4685,335.4685,null
SCC-JittaLine,20080701,319.7775,319.7775,319.7775,319.7775,null
SCC-JittaLine,20080801,304.0864,304.0864,304.0864,304.0864,null
SCC-JittaLine,20080901,288.3954,288.3954,288.3954,288.3954,null
SCC-JittaLine,20081001,272.7043,272.7043,272.7043,272.7043,null
SCC-JittaLine,20081101,257.0132,257.0132,257.0132,257.0132,null
SCC-JittaLine,20081201,241.3222,241.3222,241.3222,241.3222,null
SCC-JittaLine,20090101,246.5961,246.5961,246.5961,246.5961,null
SCC-JittaLine,20090201,251.87,251.87,251.87,251.87,null
SCC-JittaLine,20090301,257.1439,257.1439,257.1439,257.1439,null
SCC-JittaLine,20090401,262.4179,262.4179,262.4179,262.4179,null
SCC-JittaLine,20090501,267.6918,267.6918,267.6918,267.6918,null
SCC-JittaLine,20090601,272.9657,272.9657,272.9657,272.9657,null
SCC-JittaLine,20090701,278.2396,278.2396,278.2396,278.2396,null
SCC-JittaLine,20090801,283.5135,283.5135,283.5135,283.5135,null
SCC-JittaLine,20090901,288.7875,288.7875,288.7875,288.7875,null
SCC-JittaLine,20091001,294.0614,294.0614,294.0614,294.0614,null
SCC-JittaLine,20091101,299.3353,299.3353,299.3353,299.3353,null
SCC-JittaLine,20091201,304.6092,304.6092,304.6092,304.6092,null
SCC-JittaLine,20100101,313.8498,313.8498,313.8498,313.8498,null
SCC-JittaLine,20100201,323.0904,323.0904,323.0904,323.0904,null
SCC-JittaLine,20100301,332.331,332.331,332.331,332.331,null
SCC-JittaLine,20100401,341.5716,341.5716,341.5716,341.5716,null
SCC-JittaLine,20100501,350.8122,350.8122,350.8122,350.8122,null
SCC-JittaLine,20100601,360.0528,360.0528,360.0528,360.0528,null
SCC-JittaLine,20100701,369.2934,369.2934,369.2934,369.2934,null
SCC-JittaLine,20100801,378.534,378.534,378.534,378.534,null
SCC-JittaLine,20100901,387.7746,387.7746,387.7746,387.7746,null
SCC-JittaLine,20101001,397.0152,397.0152,397.0152,397.0152,null
SCC-JittaLine,20101101,406.2558,406.2558,406.2558,406.2558,null
SCC-JittaLine,20101201,415.4964,415.4964,415.4964,415.4964,null
SCC-JittaLine,20110101,408.9887,408.9887,408.9887,408.9887,null
SCC-JittaLine,20110201,402.481,402.481,402.481,402.481,null
SCC-JittaLine,20110301,395.9733,395.9733,395.9733,395.9733,null
SCC-JittaLine,20110401,389.4656,389.4656,389.4656,389.4656,null
SCC-JittaLine,20110501,382.9579,382.9579,382.9579,382.9579,null
SCC-JittaLine,20110601,376.4502,376.4502,376.4502,376.4502,null
SCC-JittaLine,20110701,369.9426,369.9426,369.9426,369.9426,null
SCC-JittaLine,20110801,363.4349,363.4349,363.4349,363.4349,null
SCC-JittaLine,20110901,356.9272,356.9272,356.9272,356.9272,null
SCC-JittaLine,20111001,350.4195,350.4195,350.4195,350.4195,null
SCC-JittaLine,20111101,343.9118,343.9118,343.9118,343.9118,null
SCC-JittaLine,20111201,337.4041,337.4041,337.4041,337.4041,null
SCC-JittaLine,20120101,330.1907,330.1907,330.1907,330.1907,null
SCC-JittaLine,20120201,322.9773,322.9773,322.9773,322.9773,null
SCC-JittaLine,20120301,315.764,315.764,315.764,315.764,null
SCC-JittaLine,20120401,308.5506,308.5506,308.5506,308.5506,null
SCC-JittaLine,20120501,301.3372,301.3372,301.3372,301.3372,null
SCC-JittaLine,20120601,294.1239,294.1239,294.1239,294.1239,null
SCC-JittaLine,20120701,286.9105,286.9105,286.9105,286.9105,null
SCC-JittaLine,20120801,279.6971,279.6971,279.6971,279.6971,null
