<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SCN,20150201,11.80,11.80,11.80,11.80,343343520
SCN,20150301,11.90,11.90,11.90,11.90,57138728.5714286
SCN,20150401,13.10,13.10,13.10,13.10,16922072.2222222
SCN,20150501,14.30,14.30,14.30,14.30,18524916.6666667
SCN,20150601,14.30,14.30,14.30,14.30,5207576.19047619
SCN,20150701,12.20,12.20,12.20,12.20,4605800
SCN,20150801,10.80,10.80,10.80,10.80,6854920
SCN,20150901,9.30,9.30,9.30,9.30,4199454.54545455
SCN,20151001,9.60,9.60,9.60,9.60,41025500
SCN,20151101,8.15,8.15,8.15,8.15,15828814.2857143
SCN,20151201,7.15,7.15,7.15,7.15,4890720
SCN,20160101,7.25,7.25,7.25,7.25,null
SCN,20160201,6.45,6.45,6.45,6.45,null
SCN,20160301,6.75,6.75,6.75,6.75,null
SCN,20160401,7.35,7.35,7.35,7.35,null
SCN,20160501,7.30,7.30,7.30,7.30,null
