<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SE-ED,20061201,5.95041441,5.95041441,5.95041441,5.95041441,null
SE-ED,20070101,5.7438028,5.7438028,5.7438028,5.7438028,null
SE-ED,20070201,6.23967067,6.23967067,6.23967067,6.23967067,null
SE-ED,20070301,6.19834835,6.19834835,6.19834835,6.19834835,null
SE-ED,20070401,6.65289389,6.65289389,6.65289389,6.65289389,null
SE-ED,20070501,6.69421621,6.69421621,6.69421621,6.69421621,null
SE-ED,20070601,7.06611712,7.06611712,7.06611712,7.06611712,null
SE-ED,20070701,7.47934034,7.47934034,7.47934034,7.47934034,null
SE-ED,20070801,6.77686086,6.77686086,6.77686086,6.77686086,null
SE-ED,20070901,7.2314064,7.2314064,7.2314064,7.2314064,null
SE-ED,20071001,7.06611712,7.06611712,7.06611712,7.06611712,null
SE-ED,20071101,7.31405105,7.31405105,7.31405105,7.31405105,null
SE-ED,20071201,7.85124124,7.85124124,7.85124124,7.85124124,null
SE-ED,20080101,7.68595195,7.68595195,7.68595195,7.68595195,null
SE-ED,20080201,7.85124124,7.85124124,7.85124124,7.85124124,null
SE-ED,20080301,7.89256356,7.89256356,7.89256356,7.89256356,null
SE-ED,20080401,7.80991892,7.80991892,7.80991892,7.80991892,null
SE-ED,20080501,7.7685966,7.7685966,7.7685966,7.7685966,null
SE-ED,20080601,7.7685966,7.7685966,7.7685966,7.7685966,null
SE-ED,20080701,7.14876176,7.14876176,7.14876176,7.14876176,null
SE-ED,20080801,7.31405105,7.31405105,7.31405105,7.31405105,null
SE-ED,20080901,6.19834835,6.19834835,6.19834835,6.19834835,null
SE-ED,20081001,4.54545545,4.54545545,4.54545545,4.54545545,null
SE-ED,20081101,4.71074474,4.71074474,4.71074474,4.71074474,null
SE-ED,20081201,4.83471171,4.83471171,4.83471171,4.83471171,null
SE-ED,20090101,5.04132332,5.04132332,5.04132332,5.04132332,null
SE-ED,20090201,5.41322422,5.41322422,5.41322422,5.41322422,null
SE-ED,20090301,5.3719019,5.3719019,5.3719019,5.3719019,null
SE-ED,20090401,5.61983583,5.61983583,5.61983583,5.61983583,null
SE-ED,20090501,5.66115816,5.66115816,5.66115816,5.66115816,null
SE-ED,20090601,6.03305906,6.03305906,6.03305906,6.03305906,null
SE-ED,20090701,6.03305906,6.03305906,6.03305906,6.03305906,null
SE-ED,20090801,6.1157037,6.1157037,6.1157037,6.1157037,null
SE-ED,20090901,6.40495996,6.40495996,6.40495996,6.40495996,null
SE-ED,20091001,6.36363764,6.36363764,6.36363764,6.36363764,null
SE-ED,20091101,6.4876046,6.4876046,6.4876046,6.4876046,null
SE-ED,20091201,6.65289389,6.65289389,6.65289389,6.65289389,null
SE-ED,20100101,6.52892693,6.52892693,6.52892693,6.52892693,null
SE-ED,20100201,6.81818318,6.81818318,6.81818318,6.81818318,null
SE-ED,20100301,7.43801802,7.43801802,7.43801802,7.43801802,null
SE-ED,20100401,7.47934034,7.47934034,7.47934034,7.47934034,null
SE-ED,20100501,7.2314064,7.2314064,7.2314064,7.2314064,null
SE-ED,20100601,7.35537337,7.35537337,7.35537337,7.35537337,null
SE-ED,20100701,7.39669569,7.39669569,7.39669569,7.39669569,null
SE-ED,20100801,7.52066266,7.52066266,7.52066266,7.52066266,null
SE-ED,20100901,7.68595195,7.68595195,7.68595195,7.68595195,null
SE-ED,20101001,8.22314214,8.22314214,8.22314214,8.22314214,null
SE-ED,20101101,8.5123984,8.5123984,8.5123984,8.5123984,null
SE-ED,20101201,8.76033233,8.76033233,8.76033233,8.76033233,null
SE-ED,20110101,8.34710911,8.34710911,8.34710911,8.34710911,null
SE-ED,20110201,8.42975375,8.42975375,8.42975375,8.42975375,null
SE-ED,20110301,8.26446446,8.26446446,8.26446446,8.26446446,null
SE-ED,20110401,8.5123984,8.5123984,8.5123984,8.5123984,null
SE-ED,20110501,8.34710911,8.34710911,8.34710911,8.34710911,null
SE-ED,20110601,8.26446446,8.26446446,8.26446446,8.26446446,null
SE-ED,20110701,8.76033233,8.76033233,8.76033233,8.76033233,null
SE-ED,20110801,9.09091091,9.09091091,9.09091091,9.09091091,null
SE-ED,20110901,8.42975375,8.42975375,8.42975375,8.42975375,null
SE-ED,20111001,8.34710911,8.34710911,8.34710911,8.34710911,null
SE-ED,20111101,8.5123984,8.5123984,8.5123984,8.5123984,null
SE-ED,20111201,8.59504304,8.59504304,8.59504304,8.59504304,null
SE-ED,20120101,9.09091091,9.09091091,9.09091091,9.09091091,null
SE-ED,20120201,9.83471271,9.83471271,9.83471271,9.83471271,null
SE-ED,20120301,9.91735736,9.91735736,9.91735736,9.91735736,null
SE-ED,20120401,10.49586987,10.49586987,10.49586987,10.49586987,null
SE-ED,20120501,10.909092,10.909092,10.909092,10.909092,null
SE-ED,20120601,10.7272738,10.7272738,10.7272738,10.7272738,null
SE-ED,20120701,11.1818193,11.1818193,11.1818193,11.1818193,null
SE-ED,20120801,10.8181829,10.8181829,10.8181829,10.8181829,null
SE-ED,20120901,10.3636374,10.3636374,10.3636374,10.3636374,null
SE-ED,20121001,10.0909101,10.0909101,10.0909101,10.0909101,null
SE-ED,20121101,8.95454635,8.95454635,8.95454635,8.95454635,null
SE-ED,20121201,8.8181827,8.8181827,8.8181827,8.8181827,null
SE-ED,20130101,8.7272736,8.7272736,8.7272736,8.7272736,null
SE-ED,20130201,9.04545545,9.04545545,9.04545545,9.04545545,null
SE-ED,20130301,8.77272815,8.77272815,8.77272815,8.77272815,null
SE-ED,20130401,8.9090918,8.9090918,8.9090918,8.9090918,null
SE-ED,20130501,6.15,6.15,6.15,6.15,null
