<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SFP-JittaLine,20061201,12.4471,12.4471,12.4471,12.4471,null
SFP-JittaLine,20070101,12.7484,12.7484,12.7484,12.7484,null
SFP-JittaLine,20070201,13.0497,13.0497,13.0497,13.0497,null
SFP-JittaLine,20070301,13.3509,13.3509,13.3509,13.3509,null
SFP-JittaLine,20070401,13.6522,13.6522,13.6522,13.6522,null
SFP-JittaLine,20070501,13.9535,13.9535,13.9535,13.9535,null
SFP-JittaLine,20070601,14.2548,14.2548,14.2548,14.2548,null
SFP-JittaLine,20070701,14.5561,14.5561,14.5561,14.5561,null
SFP-JittaLine,20070801,14.8574,14.8574,14.8574,14.8574,null
SFP-JittaLine,20070901,15.1587,15.1587,15.1587,15.1587,null
SFP-JittaLine,20071001,15.46,15.46,15.46,15.46,null
SFP-JittaLine,20071101,15.7613,15.7613,15.7613,15.7613,null
SFP-JittaLine,20071201,16.0625,16.0625,16.0625,16.0625,null
SFP-JittaLine,20080101,24.0171,24.0171,24.0171,24.0171,null
SFP-JittaLine,20080201,31.9717,31.9717,31.9717,31.9717,null
SFP-JittaLine,20080301,39.9263,39.9263,39.9263,39.9263,null
SFP-JittaLine,20080401,47.8809,47.8809,47.8809,47.8809,null
SFP-JittaLine,20080501,55.8355,55.8355,55.8355,55.8355,null
SFP-JittaLine,20080601,63.7901,63.7901,63.7901,63.7901,null
SFP-JittaLine,20080701,71.7447,71.7447,71.7447,71.7447,null
SFP-JittaLine,20080801,79.6993,79.6993,79.6993,79.6993,null
SFP-JittaLine,20080901,87.6539,87.6539,87.6539,87.6539,null
SFP-JittaLine,20081001,95.6085,95.6085,95.6085,95.6085,null
SFP-JittaLine,20081101,103.5631,103.5631,103.5631,103.5631,null
SFP-JittaLine,20081201,111.5177,111.5177,111.5177,111.5177,null
SFP-JittaLine,20090101,120.4989,120.4989,120.4989,120.4989,null
SFP-JittaLine,20090201,129.4801,129.4801,129.4801,129.4801,null
SFP-JittaLine,20090301,138.4613,138.4613,138.4613,138.4613,null
SFP-JittaLine,20090401,147.4425,147.4425,147.4425,147.4425,null
SFP-JittaLine,20090501,156.4238,156.4238,156.4238,156.4238,null
SFP-JittaLine,20090601,165.405,165.405,165.405,165.405,null
SFP-JittaLine,20090701,174.3862,174.3862,174.3862,174.3862,null
SFP-JittaLine,20090801,183.3674,183.3674,183.3674,183.3674,null
SFP-JittaLine,20090901,192.3486,192.3486,192.3486,192.3486,null
SFP-JittaLine,20091001,201.3298,201.3298,201.3298,201.3298,null
SFP-JittaLine,20091101,210.311,210.311,210.311,210.311,null
SFP-JittaLine,20091201,219.2922,219.2922,219.2922,219.2922,null
SFP-JittaLine,20100101,206.4054,206.4054,206.4054,206.4054,null
SFP-JittaLine,20100201,193.5186,193.5186,193.5186,193.5186,null
SFP-JittaLine,20100301,180.6318,180.6318,180.6318,180.6318,null
SFP-JittaLine,20100401,167.745,167.745,167.745,167.745,null
SFP-JittaLine,20100501,154.8582,154.8582,154.8582,154.8582,null
SFP-JittaLine,20100601,141.9713,141.9713,141.9713,141.9713,null
SFP-JittaLine,20100701,129.0845,129.0845,129.0845,129.0845,null
