<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SGF-JittaLine,20080101,0.2023,0.2023,0.2023,0.2023,null
SGF-JittaLine,20080201,0.434,0.434,0.434,0.434,null
SGF-JittaLine,20080301,0.6657,0.6657,0.6657,0.6657,null
SGF-JittaLine,20080401,0.8975,0.8975,0.8975,0.8975,null
SGF-JittaLine,20080501,1.1292,1.1292,1.1292,1.1292,null
SGF-JittaLine,20080601,1.3609,1.3609,1.3609,1.3609,null
SGF-JittaLine,20080701,1.5927,1.5927,1.5927,1.5927,null
SGF-JittaLine,20080801,1.8244,1.8244,1.8244,1.8244,null
SGF-JittaLine,20080901,2.0561,2.0561,2.0561,2.0561,null
SGF-JittaLine,20081001,2.2878,2.2878,2.2878,2.2878,null
SGF-JittaLine,20081101,2.5196,2.5196,2.5196,2.5196,null
SGF-JittaLine,20081201,2.7513,2.7513,2.7513,2.7513,null
SGF-JittaLine,20090101,2.5373,2.5373,2.5373,2.5373,null
SGF-JittaLine,20090201,2.3232,2.3232,2.3232,2.3232,null
SGF-JittaLine,20090301,2.1092,2.1092,2.1092,2.1092,null
SGF-JittaLine,20090401,1.8951,1.8951,1.8951,1.8951,null
SGF-JittaLine,20090501,1.6811,1.6811,1.6811,1.6811,null
SGF-JittaLine,20090601,1.4671,1.4671,1.4671,1.4671,null
SGF-JittaLine,20090701,1.253,1.253,1.253,1.253,null
SGF-JittaLine,20090801,1.039,1.039,1.039,1.039,null
SGF-JittaLine,20090901,0.825,0.825,0.825,0.825,null
SGF-JittaLine,20091001,0.6109,0.6109,0.6109,0.6109,null
SGF-JittaLine,20091101,0.3969,0.3969,0.3969,0.3969,null
SGF-JittaLine,20091201,0.1828,0.1828,0.1828,0.1828,null
SGF-JittaLine,20100101,0.1452,0.1452,0.1452,0.1452,null
SGF-JittaLine,20100201,0.1075,0.1075,0.1075,0.1075,null
SGF-JittaLine,20100301,0.0699,0.0699,0.0699,0.0699,null
SGF-JittaLine,20100401,0.0322,0.0322,0.0322,0.0322,null
SGF-JittaLine,20120801,0.0013,0.0013,0.0013,0.0013,null
SGF-JittaLine,20120901,0.0124,0.0124,0.0124,0.0124,null
SGF-JittaLine,20121001,0.0235,0.0235,0.0235,0.0235,null
SGF-JittaLine,20121101,0.0346,0.0346,0.0346,0.0346,null
SGF-JittaLine,20121201,0.0456,0.0456,0.0456,0.0456,null
SGF-JittaLine,20130101,0.0423,0.0423,0.0423,0.0423,null
SGF-JittaLine,20130201,0.039,0.039,0.039,0.039,null
SGF-JittaLine,20130301,0.0357,0.0357,0.0357,0.0357,null
SGF-JittaLine,20130401,0.0324,0.0324,0.0324,0.0324,null
SGF-JittaLine,20130501,0.0291,0.0291,0.0291,0.0291,null
SGF-JittaLine,20130601,0.0258,0.0258,0.0258,0.0258,null
SGF-JittaLine,20130701,0.0225,0.0225,0.0225,0.0225,null
SGF-JittaLine,20130801,0.0191,0.0191,0.0191,0.0191,null
SGF-JittaLine,20130901,0.0158,0.0158,0.0158,0.0158,null
SGF-JittaLine,20131001,0.0125,0.0125,0.0125,0.0125,null
SGF-JittaLine,20131101,0.0092,0.0092,0.0092,0.0092,null
SGF-JittaLine,20131201,0.0059,0.0059,0.0059,0.0059,null
SGF-JittaLine,20140101,0.0089,0.0089,0.0089,0.0089,null
SGF-JittaLine,20140201,0.0119,0.0119,0.0119,0.0119,null
SGF-JittaLine,20140301,0.0149,0.0149,0.0149,0.0149,null
SGF-JittaLine,20140401,0.0179,0.0179,0.0179,0.0179,null
SGF-JittaLine,20140501,0.0209,0.0209,0.0209,0.0209,null
SGF-JittaLine,20140601,0.0239,0.0239,0.0239,0.0239,null
SGF-JittaLine,20140701,0.0269,0.0269,0.0269,0.0269,null
SGF-JittaLine,20140801,0.0298,0.0298,0.0298,0.0298,null
SGF-JittaLine,20140901,0.0328,0.0328,0.0328,0.0328,null
SGF-JittaLine,20141001,0.0358,0.0358,0.0358,0.0358,null
SGF-JittaLine,20141101,0.0388,0.0388,0.0388,0.0388,null
SGF-JittaLine,20141201,0.0418,0.0418,0.0418,0.0418,null
SGF-JittaLine,20150101,0.0389,0.0389,0.0389,0.0389,null
SGF-JittaLine,20150201,0.036,0.036,0.036,0.036,null
SGF-JittaLine,20150301,0.0331,0.0331,0.0331,0.0331,null
SGF-JittaLine,20150401,0.0302,0.0302,0.0302,0.0302,null
SGF-JittaLine,20150501,0.0273,0.0273,0.0273,0.0273,null
SGF-JittaLine,20150601,0.0245,0.0245,0.0245,0.0245,null
SGF-JittaLine,20150701,0.0216,0.0216,0.0216,0.0216,null
SGF-JittaLine,20150801,0.0187,0.0187,0.0187,0.0187,null
SGF-JittaLine,20150901,0.0158,0.0158,0.0158,0.0158,null
SGF-JittaLine,20151001,0.0129,0.0129,0.0129,0.0129,null
SGF-JittaLine,20151101,0.01,0.01,0.01,0.01,null
SGF-JittaLine,20151201,0.0071,0.0071,0.0071,0.0071,null
