<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SGP-JittaScore,20080101,2.95,2.95,2.95,2.95,null
SGP-JittaScore,20080201,2.95,2.95,2.95,2.95,null
SGP-JittaScore,20080301,2.95,2.95,2.95,2.95,null
SGP-JittaScore,20080401,3.20,3.20,3.20,3.20,null
SGP-JittaScore,20080501,3.20,3.20,3.20,3.20,null
SGP-JittaScore,20080601,3.20,3.20,3.20,3.20,null
SGP-JittaScore,20080701,3.20,3.20,3.20,3.20,null
SGP-JittaScore,20080801,3.20,3.20,3.20,3.20,null
SGP-JittaScore,20080901,3.20,3.20,3.20,3.20,null
SGP-JittaScore,20081001,3.50,3.50,3.50,3.50,null
SGP-JittaScore,20081101,3.50,3.50,3.50,3.50,null
SGP-JittaScore,20081201,3.50,3.50,3.50,3.50,null
SGP-JittaScore,20090101,3.95,3.95,3.95,3.95,null
SGP-JittaScore,20090201,3.95,3.95,3.95,3.95,null
SGP-JittaScore,20090301,3.95,3.95,3.95,3.95,null
SGP-JittaScore,20090401,4.17,4.17,4.17,4.17,null
SGP-JittaScore,20090501,4.17,4.17,4.17,4.17,null
SGP-JittaScore,20090601,4.17,4.17,4.17,4.17,null
SGP-JittaScore,20090701,4.15,4.15,4.15,4.15,null
SGP-JittaScore,20090801,4.15,4.15,4.15,4.15,null
SGP-JittaScore,20090901,4.15,4.15,4.15,4.15,null
SGP-JittaScore,20091001,5.02,5.02,5.02,5.02,null
SGP-JittaScore,20091101,5.02,5.02,5.02,5.02,null
SGP-JittaScore,20091201,5.02,5.02,5.02,5.02,null
SGP-JittaScore,20100101,4.02,4.02,4.02,4.02,null
SGP-JittaScore,20100201,4.02,4.02,4.02,4.02,null
SGP-JittaScore,20100301,4.02,4.02,4.02,4.02,null
SGP-JittaScore,20100401,4.19,4.19,4.19,4.19,null
SGP-JittaScore,20100501,4.19,4.19,4.19,4.19,null
SGP-JittaScore,20100601,4.19,4.19,4.19,4.19,null
SGP-JittaScore,20100701,3.79,3.79,3.79,3.79,null
SGP-JittaScore,20100801,3.79,3.79,3.79,3.79,null
SGP-JittaScore,20100901,3.79,3.79,3.79,3.79,null
SGP-JittaScore,20101001,4.98,4.98,4.98,4.98,null
SGP-JittaScore,20101101,4.98,4.98,4.98,4.98,null
SGP-JittaScore,20101201,4.98,4.98,4.98,4.98,null
SGP-JittaScore,20110101,6.08,6.08,6.08,6.08,null
SGP-JittaScore,20110201,6.08,6.08,6.08,6.08,null
SGP-JittaScore,20110301,6.08,6.08,6.08,6.08,null
SGP-JittaScore,20110401,5.85,5.85,5.85,5.85,null
SGP-JittaScore,20110501,5.85,5.85,5.85,5.85,null
SGP-JittaScore,20110601,5.85,5.85,5.85,5.85,null
SGP-JittaScore,20110701,6.28,6.28,6.28,6.28,null
SGP-JittaScore,20110801,6.28,6.28,6.28,6.28,null
SGP-JittaScore,20110901,6.28,6.28,6.28,6.28,null
SGP-JittaScore,20111001,5.44,5.44,5.44,5.44,null
SGP-JittaScore,20111101,5.44,5.44,5.44,5.44,null
SGP-JittaScore,20111201,5.44,5.44,5.44,5.44,null
SGP-JittaScore,20120101,3.49,3.49,3.49,3.49,null
SGP-JittaScore,20120201,3.49,3.49,3.49,3.49,null
SGP-JittaScore,20120301,3.49,3.49,3.49,3.49,null
SGP-JittaScore,20120401,3.64,3.64,3.64,3.64,null
SGP-JittaScore,20120501,3.64,3.64,3.64,3.64,null
SGP-JittaScore,20120601,3.64,3.64,3.64,3.64,null
SGP-JittaScore,20120701,3.19,3.19,3.19,3.19,null
SGP-JittaScore,20120801,3.19,3.19,3.19,3.19,null
SGP-JittaScore,20120901,3.19,3.19,3.19,3.19,null
SGP-JittaScore,20121001,2.79,2.79,2.79,2.79,null
SGP-JittaScore,20121101,2.79,2.79,2.79,2.79,null
SGP-JittaScore,20121201,2.79,2.79,2.79,2.79,null
SGP-JittaScore,20130101,2.99,2.99,2.99,2.99,null
SGP-JittaScore,20130201,2.99,2.99,2.99,2.99,null
SGP-JittaScore,20130301,2.99,2.99,2.99,2.99,null
SGP-JittaScore,20130401,2.69,2.69,2.69,2.69,null
SGP-JittaScore,20130501,2.69,2.69,2.69,2.69,null
SGP-JittaScore,20130601,2.69,2.69,2.69,2.69,null
SGP-JittaScore,20130701,2.69,2.69,2.69,2.69,null
SGP-JittaScore,20130801,2.69,2.69,2.69,2.69,null
SGP-JittaScore,20130901,2.69,2.69,2.69,2.69,null
SGP-JittaScore,20131001,3.30,3.30,3.30,3.30,null
SGP-JittaScore,20131101,3.30,3.30,3.30,3.30,null
SGP-JittaScore,20131201,3.30,3.30,3.30,3.30,null
SGP-JittaScore,20140101,4.55,4.55,4.55,4.55,null
SGP-JittaScore,20140201,4.55,4.55,4.55,4.55,null
SGP-JittaScore,20140301,4.55,4.55,4.55,4.55,null
SGP-JittaScore,20140401,3.75,3.75,3.75,3.75,null
SGP-JittaScore,20140501,3.75,3.75,3.75,3.75,null
SGP-JittaScore,20140601,3.75,3.75,3.75,3.75,null
SGP-JittaScore,20140701,4.13,4.13,4.13,4.13,null
SGP-JittaScore,20140801,4.13,4.13,4.13,4.13,null
SGP-JittaScore,20140901,4.13,4.13,4.13,4.13,null
SGP-JittaScore,20141001,3.25,3.25,3.25,3.25,null
SGP-JittaScore,20141101,3.25,3.25,3.25,3.25,null
SGP-JittaScore,20141201,3.25,3.25,3.25,3.25,null
SGP-JittaScore,20150101,1.95,1.95,1.95,1.95,null
SGP-JittaScore,20150201,1.95,1.95,1.95,1.95,null
SGP-JittaScore,20150301,1.95,1.95,1.95,1.95,null
SGP-JittaScore,20150401,1.82,1.82,1.82,1.82,null
SGP-JittaScore,20150501,1.82,1.82,1.82,1.82,null
SGP-JittaScore,20150601,1.82,1.82,1.82,1.82,null
SGP-JittaScore,20150701,1.82,1.82,1.82,1.82,null
